Symbol,Increased_25_pct,Start_Date,End_Date,Percentage_Change,In_2020,Start_Month,End_Month
360ONE,Yes,2021-01-18,2021-07-19,34.80%,No,1,7
360ONE,Yes,2021-02-01,2021-08-02,40.94%,No,2,8
360ONE,Yes,2021-03-01,2021-08-30,35.98%,No,3,8
360ONE,Yes,2021-03-05,2021-09-01,38.14%,No,3,9
360ONE,Yes,2021-04-06,2021-10-04,25.61%,No,4,10
360ONE,Yes,2021-05-03,2021-11-01,43.74%,No,5,11
360ONE,Yes,2021-06-01,2021-11-29,26.76%,No,6,11
360ONE,Yes,2021-06-04,2021-12-01,29.24%,No,6,12
360ONE,Yes,2021-07-01,2021-12-28,29.07%,No,7,12
360ONE,Yes,2021-07-09,2022-01-05,29.39%,No,7,1
360ONE,Yes,2023-05-02,2023-10-30,26.08%,No,5,10
360ONE,Yes,2023-08-02,2024-01-29,27.65%,No,8,1
360ONE,Yes,2023-08-10,2024-02-06,25.00%,No,8,2
360ONE,Yes,2023-09-01,2024-02-28,52.17%,No,9,2
360ONE,Yes,2023-09-04,2024-03-04,47.46%,No,9,3
360ONE,Yes,2023-10-03,2024-04-01,41.00%,No,10,4
360ONE,Yes,2023-11-01,2024-04-29,51.25%,No,11,4
360ONE,Yes,2023-11-03,2024-05-02,48.54%,No,11,5
360ONE,Yes,2023-12-01,2024-05-29,38.16%,No,12,5
360ONE,Yes,2023-12-04,2024-06-03,30.96%,No,12,6
360ONE,Yes,2024-02-01,2024-07-30,79.35%,No,2,7
360ONE,Yes,2024-04-01,2024-09-30,50.24%,No,4,9
ABB,Yes,2016-01-11,2016-07-11,27.48%,No,1,7
ABB,Yes,2016-02-01,2016-08-01,25.95%,No,2,8
ABB,Yes,2016-10-14,2017-04-12,26.16%,No,10,4
ABB,Yes,2016-11-01,2017-05-02,28.93%,No,11,5
ABB,Yes,2016-12-01,2017-05-30,38.96%,No,12,5
ABB,Yes,2016-12-05,2017-06-05,38.26%,No,12,6
ABB,Yes,2017-02-01,2017-07-31,28.58%,No,2,7
ABB,Yes,2021-01-01,2021-06-30,47.22%,No,1,6
ABB,Yes,2021-03-01,2021-08-30,26.46%,No,3,8
ABB,Yes,2021-03-05,2021-09-01,26.95%,No,3,9
ABB,Yes,2021-04-01,2021-09-28,29.32%,No,4,9
ABB,Yes,2021-04-05,2021-10-04,36.02%,No,4,10
ABB,Yes,2021-05-03,2021-11-01,49.40%,No,5,11
ABB,Yes,2021-06-11,2021-12-08,26.94%,No,6,12
ABB,Yes,2021-07-06,2022-01-03,25.47%,No,7,1
ABB,Yes,2021-08-02,2022-01-31,36.69%,No,8,1
ABB,Yes,2021-08-05,2022-02-01,37.25%,No,8,2
ABB,Yes,2022-05-02,2022-10-31,48.67%,No,5,10
ABB,Yes,2022-06-01,2022-11-28,26.34%,No,6,11
ABB,Yes,2023-09-01,2024-02-28,26.50%,No,9,2
ABB,Yes,2023-09-04,2024-03-04,30.68%,No,9,3
ABB,Yes,2023-11-01,2024-04-29,59.11%,No,11,4
ABCAPITAL,Yes,2021-01-01,2021-06-30,31.59%,No,1,6
ABCAPITAL,Yes,2021-01-04,2021-07-05,29.32%,No,1,7
ABCAPITAL,Yes,2021-02-01,2021-08-02,38.47%,No,2,8
ABCAPITAL,Yes,2022-05-11,2022-11-07,25.49%,No,5,11
ABCAPITAL,Yes,2022-06-01,2022-11-28,35.56%,No,6,11
ABCAPITAL,Yes,2022-06-06,2022-12-05,53.73%,No,6,12
ABCAPITAL,Yes,2022-07-01,2022-12-28,63.82%,No,7,12
ABCAPITAL,Yes,2022-07-04,2023-01-02,72.28%,No,7,1
ABCAPITAL,Yes,2022-08-01,2023-01-30,26.25%,No,8,1
ABCAPITAL,Yes,2022-08-05,2023-02-01,29.77%,No,8,2
ABCAPITAL,Yes,2022-09-01,2023-02-28,28.16%,No,9,2
ABCAPITAL,Yes,2022-09-02,2023-03-01,32.52%,No,9,3
ABCAPITAL,Yes,2022-10-03,2023-04-03,40.14%,No,10,4
ABCAPITAL,Yes,2022-10-31,2023-05-02,43.73%,No,10,5
ABCAPITAL,Yes,2022-11-01,2023-05-02,42.03%,No,11,5
ABCAPITAL,Yes,2022-12-23,2023-06-21,25.64%,No,12,6
ABCAPITAL,Yes,2023-02-01,2023-07-31,43.50%,No,2,7
ABCAPITAL,Yes,2023-03-13,2023-09-11,29.55%,No,3,9
ABCAPITAL,Yes,2023-11-01,2024-04-29,41.48%,No,11,4
ABCAPITAL,Yes,2023-12-01,2024-05-29,32.93%,No,12,5
ABCAPITAL,Yes,2024-04-01,2024-09-30,30.59%,No,4,9
ABCAPITAL,Yes,2025-04-04,2025-10-01,59.27%,No,4,10
ABCAPITAL,Yes,2025-05-02,2025-10-29,57.89%,No,5,10
ACC,Yes,2016-01-11,2016-07-11,25.19%,No,1,7
ACC,Yes,2016-02-01,2016-08-01,33.41%,No,2,8
ACC,Yes,2016-03-01,2016-08-29,33.48%,No,3,8
ACC,Yes,2016-03-08,2016-09-06,37.77%,No,3,9
ACC,Yes,2016-11-15,2017-05-15,26.56%,No,11,5
ACC,Yes,2016-12-19,2017-06-19,29.03%,No,12,6
ACC,Yes,2021-04-20,2021-10-18,26.21%,No,4,10
ACC,Yes,2021-05-03,2021-11-01,25.09%,No,5,11
ACC,Yes,2022-06-16,2022-12-13,27.60%,No,6,12
ACC,Yes,2023-07-06,2024-01-02,25.19%,No,7,1
ACC,Yes,2023-08-02,2024-01-29,26.46%,No,8,1
ACC,Yes,2023-08-09,2024-02-05,25.11%,No,8,2
ACC,Yes,2023-09-01,2024-02-28,27.94%,No,9,2
ACC,Yes,2023-09-04,2024-03-04,30.94%,No,9,3
ACC,Yes,2023-10-03,2024-04-01,25.05%,No,10,4
ACC,Yes,2023-11-01,2024-04-29,36.97%,No,11,4
ACC,Yes,2023-12-01,2024-05-29,33.48%,No,12,5
ADANIENSOL,Yes,2023-08-16,2024-02-12,30.72%,No,8,2
ADANIENSOL,Yes,2023-09-01,2024-02-28,30.49%,No,9,2
ADANIENSOL,Yes,2023-09-04,2024-03-04,30.18%,No,9,3
ADANIENSOL,Yes,2023-10-03,2024-04-01,37.67%,No,10,4
ADANIENSOL,Yes,2023-11-01,2024-04-29,41.48%,No,11,4
ADANIENSOL,Yes,2023-11-03,2024-05-02,37.54%,No,11,5
ADANIENSOL,Yes,2023-12-01,2024-05-29,27.03%,No,12,5
ADANIENSOL,Yes,2023-12-04,2024-06-03,35.22%,No,12,6
ADANIENSOL,Yes,2025-01-13,2025-07-14,27.84%,No,1,7
ADANIENT,Yes,2016-02-12,2016-08-10,25.76%,No,2,8
ADANIENT,Yes,2016-08-09,2017-02-06,25.26%,No,8,2
ADANIENT,Yes,2016-09-01,2017-02-28,39.72%,No,9,2
ADANIENT,Yes,2016-09-02,2017-03-01,37.83%,No,9,3
ADANIENT,Yes,2016-10-03,2017-04-03,66.87%,No,10,4
ADANIENT,Yes,2016-11-01,2017-05-02,68.91%,No,11,5
ADANIENT,Yes,2016-12-01,2017-05-30,75.58%,No,12,5
ADANIENT,Yes,2016-12-05,2017-06-05,68.70%,No,12,6
ADANIENT,Yes,2017-01-02,2017-07-03,77.39%,No,1,7
ADANIENT,Yes,2017-02-01,2017-07-31,52.57%,No,2,7
ADANIENT,Yes,2017-03-02,2017-08-29,27.74%,No,3,8
ADANIENT,Yes,2017-03-06,2017-09-04,37.81%,No,3,9
ADANIENT,Yes,2017-05-08,2017-11-06,31.36%,No,5,11
ADANIENT,Yes,2017-06-01,2017-11-28,28.15%,No,6,11
ADANIENT,Yes,2017-06-23,2017-12-20,28.04%,No,6,12
ADANIENT,Yes,2017-07-07,2018-01-03,31.97%,No,7,1
ADANIENT,Yes,2017-08-01,2018-01-29,52.18%,No,8,1
ADANIENT,Yes,2018-04-02,2018-10-01,57.14%,No,4,10
ADANIENT,Yes,2018-05-02,2018-10-29,107.50%,No,5,10
ADANIENT,Yes,2018-07-02,2018-12-31,139.60%,No,7,12
ADANIENT,Yes,2021-01-01,2021-06-30,206.94%,No,1,6
ADANIENT,Yes,2021-04-01,2021-09-28,34.42%,No,4,9
ADANIENT,Yes,2021-10-01,2022-03-30,36.78%,No,10,3
ADANIENT,Yes,2022-01-31,2022-08-01,55.18%,No,1,8
ADANIENT,Yes,2023-11-01,2024-04-29,38.96%,No,11,4
ADANIGREEN,Yes,2018-06-18,2018-12-17,41.75%,No,6,12
ADANIGREEN,Yes,2018-07-02,2018-12-31,66.07%,No,7,12
ADANIGREEN,Yes,2018-07-05,2019-01-01,38.93%,No,7,1
