Company Name,Symbol,Market Cap,Earnings_2025,Earnings_2024,Earnings_2023,Earnings_2022,Earnings_2021,Earnings_2020
360 ONE WAM Ltd.,360ONE,459092426752,10153000000.0,8042100000.0,6579300000.0,5777400000.0,,
ABB India Ltd.,ABB,1111177297920,,18716400000.0,12420500000.0,10162300000.0,5197100000.0,
ACC Ltd.,ACC,332856000512,24021200000.0,23349200000.0,,6494400000.0,18629900000.0,
APL Apollo Tubes Ltd.,APLAPOLLO,481286684672,7570600000.0,7324400000.0,6418600000.0,6189800000.0,,
AU Small Finance Bank Ltd.,AUBANK,730959708160,21059266000.0,15347190000.0,14279253000.0,11298342000.0,,
Adani Energy Solutions Ltd.,ADANIENSOL,1194435411968,10599700000.0,11372800000.0,12563300000.0,12046100000.0,,
Adani Enterprises Ltd.,ADANIENT,2905820626944,70990000000.0,32407800000.0,24639800000.0,7765600000.0,,
Adani Green Energy Ltd.,ADANIGREEN,1694225268736,14440000000.0,11000000000.0,9740000000.0,4890000000.0,,
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,3238278987776,110923100000.0,81106400000.0,53088500000.0,48860300000.0,,
Adani Power Ltd.,ADANIPOWER,2802644680704,129387700000.0,208287900000.0,107266400000.0,49115800000.0,,
Adani Total Gas Ltd.,ATGL,645478547456,6544100000.0,6675000000.0,5464900000.0,5094000000.0,,
Aditya Birla Capital Ltd.,ABCAPITAL,910418509824,33323200000.0,33349800000.0,47957700000.0,17059700000.0,,
Alkem Laboratories Ltd.,ALKEM,677156356096,21654800000.0,17957700000.0,9841700000.0,16456200000.0,,
Ambuja Cements Ltd.,AMBUJACEM,1356527566848,41674300000.0,35734000000.0,,,27803800000.0,23654400000.0
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,1013897494528,14459000000.0,8986000000.0,8191000000.0,10556000000.0,,
Ashok Leyland Ltd.,ASHOKLEY,985339068416,31068000000.0,24835200000.0,12387100000.0,-3586100000.0,,
Asian Paints Ltd.,ASIANPAINT,2675425411072,36672300000.0,54602300000.0,41064500000.0,30305700000.0,,
Astral Ltd.,ASTRAL,393008349184,5238000000.0,5461000000.0,4566000000.0,4838000000.0,,
Aurobindo Pharma Ltd.,AUROPHARMA,684242370560,34858800000.0,31729700000.0,19275000000.0,26481500000.0,,
Avenue Supermarts Ltd.,DMART,2509747257344,27080200000.0,25361700000.0,23785100000.0,14925500000.0,,
Axis Bank Ltd.,AXISBANK,3785934241792,280551100000.0,263862000000.0,108184500000.0,141192900000.0,,
BSE Ltd.,BSE,1058331754496,13258900000.0,7783900000.0,2206700000.0,2543300000.0,,
Bajaj Auto Ltd.,BAJAJ-AUTO,2515234455552,73247300000.0,77082400000.0,60602100000.0,61658700000.0,,
Bajaj Finance Ltd.,BAJFINANCE,6205190701056,166378200000.0,144511700000.0,115076900000.0,70282300000.0,,
Bajaj Finserv Ltd.,BAJAJFINSV,3249491148800,88723100000.0,81477900000.0,64172800000.0,45567700000.0,,
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG,1233853349888,65206700000.0,72672100000.0,48505200000.0,40556800000.0,,
Bajaj Housing Finance Ltd.,BAJAJHFL,794882408448,21629000000.0,17312200000.0,12578000000.0,7096200000.0,,
Bank of Baroda,BANKBARODA,1463059349504,207163280000.0,187673789000.0,149052030000.0,78496924000.0,,
Bank of India,BANKINDIA,634550812672,95482797000.0,65644637000.0,38379536000.0,34925765000.0,,
Bharat Dynamics Ltd.,BDL,496912105472,5496452000.0,6127206000.0,3521749000.0,4999244000.0,,
Bharat Electronics Ltd.,BEL,2836194131968,53214400000.0,39845200000.0,29844200000.0,23988700000.0,,
Bharat Forge Ltd.,BHARATFORG,678872481792,9411530000.0,9511280000.0,5283640000.0,10817560000.0,,
Bharat Heavy Electricals Ltd.,BHEL,972714409984,5339000000.0,2822200000.0,6374400000.0,4460300000.0,,
Bharat Petroleum Corporation Ltd.,BPCL,1597220847616,133365500000.0,268588400000.0,21310500000.0,116815000000.0,,
