,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-09-30,0.0,0.216781,11877000000.0,0.0,0.0,4303000000.0,2186000000.0,5157000000.0,11877000000.0,9691000000.0,-3851000000.0,3851000000.0,4303000000.0,4303000000.0,17405000000.0,430730731.0,430730731.0,9.99,9.99,4303000000.0,4303000000.0,0.0,4303000000.0,-271000000.0,4574000000.0,4574000000.0,1266000000.0,5840000000.0,2661000000.0,0.0,-3851000000.0,3851000000.0,6912000000.0,12248000000.0,7846000000.0,2186000000.0,2186000000.0,19160000000.0,5157000000.0,24317000000.0,24317000000.0,650446466367.213
2025-06-30,0.0,0.289786,10387000000.0,0.0,0.0,2925000000.0,2162000000.0,7134000000.0,10387000000.0,8225000000.0,-3839000000.0,3839000000.0,2925000000.0,2925000000.0,16297000000.0,430780560.0,430780560.0,6.79,6.79,2925000000.0,2925000000.0,0.0,2925000000.0,-190000000.0,3115000000.0,3115000000.0,1271000000.0,4386000000.0,1614000000.0,0.0,-3839000000.0,3839000000.0,6776000000.0,9163000000.0,5032000000.0,2162000000.0,2162000000.0,15939000000.0,7134000000.0,23073000000.0,23073000000.0,713154850731.709
2025-03-31,68100000.0,0.3,4773000000.0,227000000.0,227000000.0,250000000.0,2167000000.0,-512000000.0,5000000000.0,2833000000.0,33000000.0,1962000000.0,91100000.0,250000000.0,10382000000.0,,,,,250000000.0,250000000.0,0.0,250000000.0,-181000000.0,431000000.0,431000000.0,440000000.0,871000000.0,-3135000000.0,20000000.0,33000000.0,1962000000.0,3460000000.0,10894000000.0,1129000000.0,2167000000.0,2167000000.0,14354000000.0,-1020000000.0,13842000000.0,13842000000.0,
2024-12-31,0.0,0.3,6265000000.0,0.0,0.0,177000000.0,2047000000.0,2345000000.0,6265000000.0,4218000000.0,-3451000000.0,3451000000.0,177000000.0,177000000.0,12691000000.0,431707317.0,431707317.0,0.41,0.41,177000000.0,177000000.0,0.0,177000000.0,-145000000.0,322000000.0,322000000.0,445000000.0,767000000.0,434000000.0,0.0,-3451000000.0,3451000000.0,3854000000.0,10346000000.0,6436000000.0,2047000000.0,2047000000.0,14200000000.0,2345000000.0,16545000000.0,16545000000.0,730471388083.6036
2024-09-30,0.0,0.3,7396000000.0,0.0,0.0,1922000000.0,2004000000.0,8618000000.0,7396000000.0,5392000000.0,-3565000000.0,3565000000.0,1922000000.0,1922000000.0,18735000000.0,408936170.0,408936170.0,4.7,4.7,1922000000.0,1922000000.0,0.0,1922000000.0,-424000000.0,2346000000.0,2346000000.0,-519000000.0,1827000000.0,1194000000.0,0.0,-3565000000.0,3565000000.0,4309000000.0,10117000000.0,6071000000.0,2004000000.0,2004000000.0,14426000000.0,8618000000.0,23044000000.0,23044000000.0,753721925981.2659
2024-06-30,,,,,,,,,,,,,,,,401034483.0,401034483.0,5.8,5.8,,,,,,,,,,,,,,,,,,,,,,,757398952924.218
