,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Impairment Of Capital Assets,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-09-30,53420954.395863,0.227033,5825900000.0,235300000.0,235300000.0,3219200000.0,1058400000.0,10334800000.0,6061200000.0,5002800000.0,-748800000.0,748800000.0,3037320954.395863,3219200000.0,18809500000.0,755680751.0,755680751.0,4.26,4.26,3219200000.0,3219200000.0,0.0,3219200000.0,-69000000.0,3288200000.0,0.0,3288200000.0,965800000.0,4254000000.0,225800000.0,235300000.0,,-235300000.0,0.0,-748800000.0,748800000.0,4504900000.0,8474700000.0,4250100000.0,1058400000.0,1058400000.0,12979600000.0,10334800000.0,23314400000.0,23314400000.0,732859183095.1814
2025-06-30,30187058.219471,0.239011,5089900000.0,126300000.0,126300000.0,2602800000.0,1014800000.0,9752000000.0,5216200000.0,4201400000.0,-695700000.0,695700000.0,2506687058.219471,2602800000.0,17775300000.0,754434783.0,754434783.0,3.45,3.45,2602800000.0,2602800000.0,0.0,2602800000.0,-65000000.0,2667800000.0,0.0,2667800000.0,837900000.0,3505700000.0,154000000.0,126300000.0,,,,-695700000.0,695700000.0,3891900000.0,8023300000.0,3881000000.0,1014800000.0,1014800000.0,11915200000.0,9752000000.0,21667200000.0,21667200000.0,598690415731.7197
2025-03-31,-123112304.521568,0.205163,4367752000.0,-600072000.0,-600072000.0,1838952000.0,1022348000.0,9555580000.0,3767680000.0,2745332000.0,-77303000.0,379759000.0,2315911695.478432,1838952000.0,16247114000.0,,,,,1838952000.0,1838952000.0,0.0,1838952000.0,-41294000.0,1880246000.0,0.0,1880246000.0,485327000.0,2365573000.0,-232249000.0,-602656000.0,-35394000.0,142755000.0,,-77303000.0,379759000.0,3236308000.0,6691534000.0,-3753210000.0,1022348000.0,609495000.0,9927842000.0,9555580000.0,19483422000.0,19483422000.0,
2024-12-31,21373062.743835,0.089803,3980700000.0,238000000.0,238000000.0,2479000000.0,973300000.0,8672400000.0,4218700000.0,3245400000.0,-451500000.0,451500000.0,2262373062.743835,2479000000.0,16504700000.0,755792683.0,755792683.0,3.28,3.28,2479000000.0,2479000000.0,0.0,2479000000.0,-64000000.0,2543000000.0,0.0,2543000000.0,250900000.0,2793900000.0,208900000.0,238000000.0,-238000000.0,0.0,,-451500000.0,451500000.0,2777900000.0,7832300000.0,3916600000.0,973300000.0,973300000.0,10610200000.0,8672400000.0,19282600000.0,19282600000.0,543414662297.453
2024-09-30,-155624091.170274,0.260372,4523000000.0,-597700000.0,-597700000.0,1764600000.0,950500000.0,8696700000.0,3925300000.0,2974800000.0,-364300000.0,364300000.0,2206675908.829726,1764600000.0,16486100000.0,754102564.0,754102564.0,2.34,2.34,1764600000.0,1764600000.0,0.0,1764600000.0,-166200000.0,1930800000.0,0.0,1930800000.0,679700000.0,2610500000.0,132400000.0,-597700000.0,-3000000.0,600700000.0,0.0,-364300000.0,364300000.0,3397800000.0,7789400000.0,3935700000.0,950500000.0,950500000.0,11187200000.0,8696700000.0,19883900000.0,19883900000.0,463300566061.5366
2024-06-30,,,,,,,,,,,,,,,,754363636.0,754363636.0,2.2,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,357428048328.4586
