,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-06-30,-51341453.478898,0.262751,7790800000.0,-195400000.0,-195400000.0,4524500000.0,593500000.0,17613400000.0,7595400000.0,7001900000.0,-864900000.0,864900000.0,4668558546.521102,4524500000.0,30066700000.0,1023642534.0,1023642534.0,4.42,4.42,4524500000.0,4524500000.0,0.0,4524500000.0,0.0,4524500000.0,4524500000.0,1612500000.0,6137000000.0,845200000.0,-195400000.0,195400000.0,,-864900000.0,864900000.0,6352100000.0,12453300000.0,5831200000.0,593500000.0,593500000.0,3138300000.0,3138300000.0,18805400000.0,17613400000.0,36418800000.0,36418800000.0,1195995346709.5137
2025-03-31,-52083602.814699,0.355762,7772500000.0,-146400000.0,-146400000.0,4119900000.0,725500000.0,20444600000.0,7626100000.0,6900600000.0,1775200000.0,505600000.0,4214216397.185301,4119900000.0,28744300000.0,,,,,4119900000.0,4119900000.0,0.0,4119900000.0,0.0,4119900000.0,4119900000.0,2275100000.0,6395000000.0,-2283800000.0,-417700000.0,,313600000.0,1775200000.0,505600000.0,7033800000.0,8299700000.0,-11175600000.0,725500000.0,607600000.0,15761100000.0,14269500000.0,15333500000.0,20444600000.0,35778100000.0,35778100000.0,
2024-12-31,-15441669.356022,0.269019,8390400000.0,-57400000.0,-57400000.0,4983100000.0,618900000.0,17282000000.0,8333000000.0,7714100000.0,-897100000.0,897100000.0,5025058330.643978,4983100000.0,30550600000.0,1023223819.0,1023223819.0,4.87,4.87,4983100000.0,4983100000.0,0.0,4983100000.0,0.0,4983100000.0,4983100000.0,1833900000.0,6817000000.0,831000000.0,-57400000.0,,,-897100000.0,897100000.0,6940500000.0,13268600000.0,6238000000.0,618900000.0,618900000.0,3643700000.0,3643700000.0,20209100000.0,17282000000.0,37491100000.0,37491100000.0,1088913114449.432
2024-09-30,-17614170.888405,0.304743,8456300000.0,-57800000.0,-57800000.0,4913100000.0,501000000.0,16282200000.0,8398500000.0,7897500000.0,-830900000.0,830900000.0,4953285829.111595,4913100000.0,29375700000.0,1023562500.0,1023562500.0,4.8,4.8,4913100000.0,4913100000.0,0.0,4913100000.0,0.0,4913100000.0,4913100000.0,2153500000.0,7066600000.0,859900000.0,-57800000.0,,,-830900000.0,830900000.0,7095400000.0,13093500000.0,6039100000.0,501000000.0,501000000.0,3639500000.0,3639500000.0,20188900000.0,16282200000.0,36471100000.0,36471100000.0,1397307375709.5337
2024-06-30,-60941291.554741,0.300203,8015400000.0,-203000000.0,-203000000.0,4506900000.0,494600000.0,14707700000.0,7812400000.0,7317800000.0,-877500000.0,877500000.0,4648958708.445259,4506900000.0,26358100000.0,1024295455.0,1021972789.0,4.4,4.41,4506900000.0,4506900000.0,0.0,4506900000.0,0.0,4506900000.0,4506900000.0,1933400000.0,6440300000.0,771100000.0,-203000000.0,,203000000.0,-877500000.0,877500000.0,6749700000.0,11650400000.0,5259800000.0,494600000.0,494600000.0,3308200000.0,3308200000.0,18400100000.0,14707700000.0,33107800000.0,33107800000.0,1372541517029.1938
