,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-09-30,,,,,,,,,,,,,,429940156.0,427891602.0,16.71,16.79,,,,,,,,,,,,,,,,,,,,,,1183655144032.5
2025-06-30,0.0,0.24159,10060200000.0,7475500000.0,172700000.0,1107800000.0,10060200000.0,9887500000.0,-30700000.0,30700000.0,7475500000.0,7475500000.0,2124100000.0,429379667.0,427782546.0,17.41,17.475,7475500000.0,7475500000.0,0.0,7475500000.0,0.0,7475500000.0,7475500000.0,2381300000.0,9856800000.0,2330100000.0,-30700000.0,30700000.0,7557400000.0,1016300000.0,843600000.0,172700000.0,172700000.0,8573700000.0,1107800000.0,9681500000.0,9681500000.0,1110480669385.7607
2025-03-31,0.0,0.235441,8543100000.0,6384600000.0,166400000.0,611300000.0,8543100000.0,8376700000.0,184600000.0,26000000.0,6384600000.0,6384600000.0,1877600000.0,,,,,6384600000.0,6384600000.0,0.0,6384600000.0,0.0,6384600000.0,6384600000.0,1966100000.0,8350700000.0,-4289700000.0,184600000.0,26000000.0,7136000000.0,1266300000.0,-293800000.0,166400000.0,166400000.0,8402300000.0,611300000.0,9013600000.0,9013600000.0,
2024-12-31,0.0,0.23634,8569700000.0,6413600000.0,148900000.0,964400000.0,8569700000.0,8420800000.0,-22300000.0,22300000.0,6413600000.0,6413600000.0,1856400000.0,429003344.0,427288474.0,14.95,15.01,6413600000.0,6413600000.0,0.0,6413600000.0,0.0,6413600000.0,6413600000.0,1984900000.0,8398500000.0,930900000.0,-22300000.0,22300000.0,7489900000.0,892000000.0,743100000.0,148900000.0,148900000.0,8381900000.0,964400000.0,9346300000.0,9346300000.0,880577493370.29
2024-09-30,0.0,0.328281,8744200000.0,5766100000.0,137400000.0,968400000.0,8744200000.0,8606800000.0,-22700000.0,22700000.0,5766100000.0,5766100000.0,1975100000.0,428865749.0,427276769.0,13.445,13.495,5766100000.0,5766100000.0,0.0,5766100000.0,0.0,5766100000.0,5766100000.0,2818000000.0,8584100000.0,1709800000.0,-22700000.0,22700000.0,6897000000.0,1006700000.0,869300000.0,137400000.0,137400000.0,7903700000.0,968400000.0,8872100000.0,8872100000.0,901576097500.8955
2024-06-30,0.0,0.197394,7678300000.0,6037600000.0,132700000.0,1012300000.0,7678300000.0,7545600000.0,-23100000.0,23100000.0,6037600000.0,6037600000.0,1933400000.0,428502484.0,426987270.0,14.09,14.14,6037600000.0,6037600000.0,0.0,6037600000.0,0.0,6037600000.0,6037600000.0,1484900000.0,7522500000.0,1734700000.0,-23100000.0,23100000.0,5819000000.0,921100000.0,788400000.0,132700000.0,132700000.0,6740100000.0,1012300000.0,7752400000.0,7752400000.0,836839643014.9402
