,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-06-30,0.0,0.324729,6176700000.0,0.0,0.0,1988700000.0,1520100000.0,34829700000.0,6176700000.0,4656600000.0,-166700000.0,166700000.0,1988700000.0,1988700000.0,47765300000.0,193641675.0,193453307.0,10.27,10.28,1988700000.0,1988700000.0,0.0,1988700000.0,-1043200000.0,3031900000.0,0.0,3031900000.0,1458000000.0,4489900000.0,715700000.0,0.0,-166700000.0,166700000.0,3941800000.0,12935600000.0,7511200000.0,1520100000.0,1520100000.0,16877400000.0,34829700000.0,51707100000.0,51707100000.0,601138912621.383
2025-03-31,-67440000.0,0.3,5074900000.0,-224800000.0,-224800000.0,465300000.0,1366900000.0,37902900000.0,4850100000.0,3483200000.0,828300000.0,147100000.0,622660000.0,465300000.0,45704200000.0,,,,,465300000.0,465300000.0,0.0,465300000.0,-1116600000.0,1581900000.0,0.0,1581900000.0,1754200000.0,3336100000.0,-1870500000.0,126900000.0,828300000.0,147100000.0,4468700000.0,7801300000.0,-7632700000.0,1366900000.0,41900000.0,12270000000.0,37902900000.0,50172900000.0,50172900000.0,
2024-12-31,0.0,0.343126,5681800000.0,0.0,0.0,1935900000.0,1266600000.0,31541900000.0,5681800000.0,4415200000.0,-150300000.0,150300000.0,1935900000.0,1935900000.0,43174400000.0,193783784.0,193396603.0,9.99,10.01,1935900000.0,1935900000.0,0.0,1935900000.0,-865600000.0,2801500000.0,0.0,2801500000.0,1463400000.0,4264900000.0,773800000.0,0.0,-150300000.0,150300000.0,3642100000.0,11632500000.0,7132000000.0,1266600000.0,1266600000.0,15274600000.0,31541900000.0,46816500000.0,46816500000.0,690814979498.4089
2024-09-30,0.0,0.297591,5608100000.0,0.0,0.0,2067900000.0,1186500000.0,32608600000.0,5608100000.0,4421600000.0,-162400000.0,162400000.0,2067900000.0,2067900000.0,44109100000.0,193623596.0,193442470.0,10.68,10.69,2067900000.0,2067900000.0,0.0,2067900000.0,-923800000.0,2991700000.0,0.0,2991700000.0,1267500000.0,4259200000.0,706900000.0,0.0,-162400000.0,162400000.0,3716000000.0,11500500000.0,7304700000.0,1186500000.0,1186500000.0,15216500000.0,32608600000.0,47825100000.0,47825100000.0,837782241336.0791
2024-06-30,-9543567.789717,0.321332,5960800000.0,-29700000.0,-29700000.0,2268000000.0,1102200000.0,29738400000.0,5931100000.0,4828900000.0,-157100000.0,157100000.0,2288156432.210283,2268000000.0,40124200000.0,193680615.0,193350384.0,11.71,11.73,2268000000.0,2268000000.0,0.0,2268000000.0,-899800000.0,3167800000.0,0.0,3167800000.0,1501200000.0,4671800000.0,647400000.0,-29700000.0,-157100000.0,157100000.0,4212700000.0,10385800000.0,6565100000.0,1102200000.0,1102200000.0,14598500000.0,29738400000.0,44336900000.0,44336900000.0,822252341320.0312
