,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-06-30,0.0,0.260063,10269200000.0,0.0,0.0,6724100000.0,966800000.0,17217500000.0,10269200000.0,9302400000.0,-137700000.0,137700000.0,6724100000.0,6724100000.0,29088000000.0,1019575436.0,1017261725.0,6.595,6.61,6724100000.0,6724100000.0,0.0,6724100000.0,-57200000.0,6781300000.0,6781300000.0,2383400000.0,9164700000.0,857100000.0,0.0,-137700000.0,137700000.0,8443000000.0,11870500000.0,6261700000.0,966800000.0,966800000.0,20313500000.0,17217500000.0,37531000000.0,37531000000.0,1537998151040.448
2025-03-31,473312157.026084,0.258048,4957900000.0,1834200000.0,1834200000.0,4223400000.0,886500000.0,14768800000.0,6792100000.0,5905600000.0,11000000.0,143500000.0,2862512157.026084,4223400000.0,25383100000.0,,,,,4223400000.0,4223400000.0,0.0,4223400000.0,-51800000.0,4275200000.0,4275200000.0,1486900000.0,5762100000.0,-1552700000.0,-364300000.0,11000000.0,143500000.0,5563700000.0,10614300000.0,-3610200000.0,886500000.0,512100000.0,16178000000.0,14768800000.0,30946800000.0,30946800000.0,
2024-12-31,0.0,0.258966,8537100000.0,0.0,0.0,5524200000.0,895000000.0,15387800000.0,8537100000.0,7642100000.0,-124500000.0,124500000.0,5524200000.0,5524200000.0,26600300000.0,1019225092.0,1017348066.0,5.42,5.43,5524200000.0,5524200000.0,0.0,5524200000.0,-46600000.0,5570800000.0,5570800000.0,1946800000.0,7517600000.0,557800000.0,0.0,-124500000.0,124500000.0,7088800000.0,11212500000.0,5976900000.0,895000000.0,895000000.0,18301300000.0,15387800000.0,33689100000.0,33689100000.0,1462516580064.6782
2024-09-30,0.0,0.254861,8247100000.0,0.0,0.0,5345600000.0,878800000.0,14766600000.0,8247100000.0,7368300000.0,-117300000.0,117300000.0,5345600000.0,5345600000.0,25539800000.0,1020152672.0,1016273764.0,5.24,5.26,5345600000.0,5345600000.0,0.0,5345600000.0,-57400000.0,5403000000.0,5403000000.0,1848000000.0,7251000000.0,571200000.0,0.0,-117300000.0,117300000.0,6809300000.0,10773200000.0,5538200000.0,878800000.0,878800000.0,17582500000.0,14766600000.0,32349100000.0,32349100000.0,1689933630117.525
2024-06-30,0.0,0.257734,8658700000.0,0.0,0.0,5669200000.0,844200000.0,15685400000.0,8658700000.0,7814500000.0,-118200000.0,118200000.0,5669200000.0,5669200000.0,26670300000.0,1017809695.0,1016896861.0,5.57,5.575,5669200000.0,5669200000.0,0.0,5669200000.0,-43500000.0,5712700000.0,5712700000.0,1983600000.0,7696300000.0,539400000.0,0.0,-118200000.0,118200000.0,7283200000.0,10984900000.0,5968700000.0,844200000.0,844200000.0,18268100000.0,15685400000.0,33953500000.0,33953500000.0,1582062862881.7761
