,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-06-30,457071420.545746,0.238443,4427800000.0,1916900000.0,1916900000.0,2846700000.0,321300000.0,2660200000.0,6344700000.0,6023400000.0,-1713900000.0,2285400000.0,571500000.0,1386871420.545746,2846700000.0,3786600000.0,409597122.0,397583799.0,6.95,7.16,2846700000.0,2846700000.0,0.0,2846700000.0,,2846700000.0,2846700000.0,891300000.0,3738000000.0,685800000.0,9600000.0,,-9600000.0,-1713900000.0,2285400000.0,571500000.0,2841200000.0,1126400000.0,805100000.0,321300000.0,321300000.0,3967600000.0,2660200000.0,6627800000.0,6627800000.0,472510630501.31506
2025-03-31,895961707.836063,0.230271,1645100000.0,3890900000.0,3890900000.0,2496000000.0,196700000.0,1456900000.0,5536000000.0,5339300000.0,-1238200000.0,2096600000.0,943800000.0,-498938292.163937,2496000000.0,3741300000.0,,,,,2496000000.0,2496000000.0,0.0,2496000000.0,0.0,2496000000.0,2496000000.0,746700000.0,3242700000.0,-2880100000.0,-49400000.0,-1500000.0,50900000.0,-1238200000.0,2096600000.0,943800000.0,3469900000.0,2284400000.0,-745100000.0,196700000.0,-56300000.0,5754300000.0,1456900000.0,7211200000.0,7211200000.0,
2024-12-31,264933717.948718,0.229459,4827300000.0,1154600000.0,1154600000.0,2764700000.0,171700000.0,2510200000.0,5981900000.0,5810200000.0,-1680000000.0,2222200000.0,542200000.0,1875033717.948718,2764700000.0,3496000000.0,397227011.0,380812672.0,6.96,7.26,2764700000.0,2764700000.0,0.0,2764700000.0,0.0,2764700000.0,2764700000.0,823300000.0,3588000000.0,1745100000.0,-37200000.0,,37200000.0,-1680000000.0,2222200000.0,542200000.0,2368000000.0,985800000.0,814100000.0,171700000.0,171700000.0,3353800000.0,2510200000.0,5864000000.0,5864000000.0,472526513732.21875
2024-09-30,205466709.495456,0.23068,4795500000.0,890700000.0,890700000.0,2454900000.0,172300000.0,2420500000.0,5686200000.0,5513900000.0,-1783300000.0,2322900000.0,539600000.0,1769666709.495456,2454900000.0,3399400000.0,379428130.0,363688889.0,6.47,6.75,2454900000.0,2454900000.0,0.0,2454900000.0,0.0,2454900000.0,2454900000.0,736100000.0,3191000000.0,276700000.0,-14900000.0,,14900000.0,-1783300000.0,2322900000.0,539600000.0,3806400000.0,978900000.0,806600000.0,172300000.0,172300000.0,4785300000.0,2420500000.0,7205800000.0,7205800000.0,373883720752.2466
2024-06-30,262105417.089801,0.29279,4859000000.0,895200000.0,895200000.0,2437400000.0,164600000.0,2085100000.0,5754200000.0,5589600000.0,-1500900000.0,2143100000.0,642200000.0,1804305417.089801,2437400000.0,2882100000.0,375562404.0,360562130.0,6.49,6.76,2437400000.0,2437400000.0,0.0,2437400000.0,0.0,2437400000.0,2437400000.0,1009100000.0,3446500000.0,862000000.0,-883700000.0,876300000.0,7400000.0,-1500900000.0,2143100000.0,642200000.0,3190100000.0,797000000.0,632400000.0,164600000.0,164600000.0,3987100000.0,2085100000.0,6072200000.0,6072200000.0,348593641572.2351
