,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-09-30,0.0,0.292341,34044900000.0,0.0,0.0,21220300000.0,1189900000.0,105173000000.0,34044900000.0,32855000000.0,-2868400000.0,2868400000.0,21220300000.0,21220300000.0,119094700000.0,279582345.0,279214474.0,75.9,76.0,21220300000.0,21220300000.0,0.0,21220300000.0,0.0,21220300000.0,21220300000.0,8766300000.0,29986600000.0,5758000000.0,0.0,-2868400000.0,2868400000.0,33441700000.0,13921700000.0,12268300000.0,1189900000.0,1189900000.0,47363400000.0,105173000000.0,152536400000.0,152536400000.0,2423162812609.0
2025-06-30,0.0,0.253394,33019200000.0,0.0,0.0,22104400000.0,1175100000.0,87759300000.0,33019200000.0,31844100000.0,-2237600000.0,2237600000.0,22104400000.0,22104400000.0,99711600000.0,279448799.0,279095960.0,79.1,79.2,22104400000.0,22104400000.0,0.0,22104400000.0,0.0,22104400000.0,22104400000.0,7502100000.0,29606500000.0,5089800000.0,0.0,-2237600000.0,2237600000.0,26754300000.0,11952300000.0,10443100000.0,1175100000.0,1175100000.0,38706600000.0,87759300000.0,126465900000.0,126465900000.0,2337707760960.0
2025-03-31,1445775508.708936,0.274685,22236400000.0,5263400000.0,5263400000.0,18018500000.0,1192300000.0,90523400000.0,27499800000.0,26307500000.0,7303300000.0,1465200000.0,14200875508.708937,18018500000.0,96262400000.0,,,,,18018500000.0,18018500000.0,0.0,18018500000.0,0.0,18018500000.0,18018500000.0,6823800000.0,24842300000.0,-10340100000.0,-1529900000.0,7303300000.0,1465200000.0,25782500000.0,5739000000.0,-5545800000.0,1192300000.0,1027200000.0,31521500000.0,90523400000.0,122044900000.0,122044900000.0,
2024-12-31,0.0,0.236675,30983600000.0,0.0,0.0,21956500000.0,1017200000.0,91394400000.0,30983600000.0,29966400000.0,-1202100000.0,1202100000.0,21956500000.0,21956500000.0,100398500000.0,278989835.0,278989835.0,78.7,78.7,21956500000.0,21956500000.0,0.0,21956500000.0,0.0,21956500000.0,21956500000.0,6807800000.0,28764300000.0,3475300000.0,0.0,-1202100000.0,1202100000.0,26491100000.0,9004100000.0,7941900000.0,1017200000.0,1017200000.0,35495200000.0,91394400000.0,126889600000.0,126889600000.0,2394045285609.3213
2024-09-30,0.0,0.397396,24725600000.0,0.0,0.0,13854400000.0,982700000.0,92931000000.0,24725600000.0,23742900000.0,-752000000.0,752000000.0,13854400000.0,13854400000.0,102602700000.0,279322581.0,278760563.0,49.6,49.7,13854400000.0,13854400000.0,0.0,13854400000.0,0.0,13854400000.0,13854400000.0,9136500000.0,22990900000.0,3993300000.0,0.0,-752000000.0,752000000.0,25552600000.0,9671700000.0,8257400000.0,982700000.0,982700000.0,35224300000.0,92931000000.0,128155300000.0,128155300000.0,3356497138026.742
2024-06-30,,,,,,,,,,,,,,,,279796830.0,278992816.0,69.4,69.6,,,,,,,,,,,,,,,,,,,,,,,2585368665640.5625
