,Tax Effect Of Unusual Items,Tax Rate For Calcs,Net Income From Continuing Operation Net Minority Interest,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,Total Revenue,Operating Revenue,Net Policyholder Benefits And Claims,Market Cap
2025-06-30,0.0,0.027024,5483500000.0,5483500000.0,5483500000.0,289060000000.0,2158858268.0,2150392157.0,2.54,2.55,5483500000.0,5483500000.0,5483500000.0,5483500000.0,5483500000.0,152300000.0,5635800000.0,0.0,5084000000.0,,,294695800000.0,294695800000.0,87207100000.0,1751064307195.1958
2025-03-31,0.0,0.021772,4753600000.0,4753600000.0,4753600000.0,169056700000.0,,,,,4753600000.0,4753600000.0,4753600000.0,4753600000.0,4753600000.0,105800000.0,4859400000.0,98100000.0,-83112700000.0,10758300000.0,5841300000.0,173916100000.0,173916100000.0,89133400000.0,
2024-12-31,0.0,0.068661,4213100000.0,4213100000.0,4213100000.0,167943700000.0,2149540816.0,2149540816.0,1.96,1.96,4213100000.0,4213100000.0,4213100000.0,4213100000.0,4213100000.0,310600000.0,4523700000.0,0.0,2642600000.0,2310000000.0,2310000000.0,172467400000.0,172467400000.0,92088700000.0,1322718051880.7422
2024-09-30,0.0,0.011987,4351800000.0,4351800000.0,4351800000.0,280592600000.0,2154356436.0,2154356436.0,2.02,2.02,4351800000.0,4351800000.0,4351800000.0,4351800000.0,4351800000.0,52800000.0,4404600000.0,0.0,6013500000.0,3412800000.0,3412800000.0,284997200000.0,284997200000.0,103392000000.0,1542564178262.7378
2024-06-30,0.0,0.040467,4789700000.0,4789700000.0,4789700000.0,264312900000.0,2147847534.0,2147847534.0,2.23,2.23,4789700000.0,4789700000.0,4789700000.0,4789700000.0,4789700000.0,202000000.0,4991700000.0,0.0,8343800000.0,1612200000.0,1612200000.0,269304600000.0,269304600000.0,88531400000.0,1274553623092.6484
