,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-06-30,0.0,0.259405,8658200000.0,0.0,0.0,5050100000.0,1205800000.0,52388200000.0,8658200000.0,7452400000.0,-679600000.0,679600000.0,5050100000.0,5050100000.0,63807600000.0,294982477.0,294466472.0,17.12,17.15,5050100000.0,5050100000.0,0.0,5050100000.0,34200000.0,5015900000.0,5015900000.0,1756900000.0,6772800000.0,837400000.0,0.0,-679600000.0,679600000.0,6615400000.0,11419400000.0,4148300000.0,1205800000.0,1205800000.0,3810900000.0,3810900000.0,18034800000.0,52388200000.0,70423000000.0,70423000000.0,734905998655.3496
2025-03-31,0.0,0.208478,8714300000.0,,,5796700000.0,854000000.0,36422300000.0,8714300000.0,7860300000.0,1707300000.0,552100000.0,5796700000.0,5796700000.0,-35914100000.0,,,,,5796700000.0,5796700000.0,0.0,5796700000.0,12100000.0,5784600000.0,5784600000.0,1523600000.0,7308200000.0,-2257700000.0,,1707300000.0,552100000.0,4312000000.0,-72336400000.0,2336800000.0,854000000.0,730800000.0,3625200000.0,3192000000.0,-68024400000.0,36422300000.0,-31602100000.0,-31602100000.0,
2024-12-31,0.0,0.256485,8269600000.0,,,5117700000.0,707500000.0,52984700000.0,8269600000.0,7562100000.0,-730900000.0,730900000.0,5117700000.0,5117700000.0,62841600000.0,294798387.0,294289822.0,17.36,17.39,5117700000.0,5117700000.0,0.0,5117700000.0,38600000.0,5079100000.0,5079100000.0,1752100000.0,6831200000.0,1136700000.0,,-730900000.0,730900000.0,6510300000.0,9856900000.0,3387100000.0,707500000.0,707500000.0,3716400000.0,3716400000.0,16367200000.0,52984700000.0,69351900000.0,69351900000.0,549395952889.30493
2024-09-30,0.0,0.260974,10268800000.0,,,6640500000.0,689800000.0,55672800000.0,10268800000.0,9579000000.0,-660500000.0,660500000.0,6640500000.0,6640500000.0,65270400000.0,294740346.0,294217988.0,22.53,22.57,6640500000.0,6640500000.0,0.0,6640500000.0,49500000.0,6591000000.0,6591000000.0,2327500000.0,8918500000.0,650000000.0,,-660500000.0,660500000.0,9057900000.0,9597600000.0,3337700000.0,689800000.0,689800000.0,3691400000.0,3691400000.0,18655500000.0,55672800000.0,74328300000.0,74328300000.0,489279737311.5288
2024-06-30,0.0,0.266787,5444400000.0,0.0,0.0,3109700000.0,652600000.0,34813500000.0,5444400000.0,4791800000.0,-574200000.0,574200000.0,3109700000.0,3109700000.0,42883200000.0,294479167.0,294200568.0,10.56,10.57,3109700000.0,3109700000.0,0.0,3109700000.0,17300000.0,3092400000.0,3092400000.0,1125200000.0,4217600000.0,541000000.0,0.0,-574200000.0,574200000.0,4405100000.0,8069700000.0,2761100000.0,652600000.0,652600000.0,2834100000.0,2834100000.0,12474800000.0,34813500000.0,47288300000.0,47288300000.0,465964893733.9834
