,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Operating Expense,Other Operating Expenses,Total Revenue,Operating Revenue,Market Cap
2025-06-30,0.0,0.251793,0.0,0.0,6040700000.0,46398200000.0,76240600000.0,122638800000.0,6040700000.0,6040700000.0,779445161.0,779445161.0,7.75,7.75,6040700000.0,6040700000.0,6040700000.0,6040700000.0,0.0,6040700000.0,2032800000.0,8073300000.0,0.0,42294200000.0,24241500000.0,67967400000.0,67967400000.0,679754105878.6771
2025-03-31,4523855.299756,0.227033,19926000.0,19926000.0,-23288700000.0,30483340000.0,75855103000.0,106338443000.0,-23304102144.700245,-23288700000.0,,,,,-23288700000.0,-23288700000.0,-23288700000.0,-23288654000.0,0.0,-23288654000.0,-6840400000.0,-30129600000.0,19926000.0,40124969000.0,26463900000.0,35322574000.0,35322574000.0,
2024-12-31,0.0,0.244839,0.0,0.0,14023300000.0,52280900000.0,75726800000.0,128007700000.0,14023300000.0,14023300000.0,779072222.0,778639645.0,18.0,18.01,14023300000.0,14023300000.0,14023300000.0,14023300000.0,0.0,14023300000.0,4546700000.0,18570200000.0,0.0,39824700000.0,24996500000.0,75831200000.0,75831200000.0,747610874156.507
2024-09-30,0.0,0.251988,0.0,0.0,13312900000.0,53472600000.0,73390200000.0,126862800000.0,13312900000.0,13312900000.0,779443794.0,778987712.0,17.08,17.09,13312900000.0,13312900000.0,13312900000.0,13312900000.0,0.0,13312900000.0,4484700000.0,17797300000.0,0.0,39324000000.0,22778800000.0,75322300000.0,75322300000.0,1127662592872.9453
2024-06-30,0.0,0.251981,0.0,0.0,21707900000.0,54076300000.0,71391400000.0,125467700000.0,21707900000.0,21707900000.0,779457810.0,778339907.0,27.85,27.89,21707900000.0,21707900000.0,21707900000.0,21707900000.0,0.0,21707900000.0,7312400000.0,29019600000.0,0.0,38974400000.0,23142100000.0,78492400000.0,78492400000.0,1139878793801.5
