,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-09-30,0.0,0.303361,4937710000.0,0.0,0.0,1013360000.0,2303050000.0,10712990000.0,4937710000.0,2634660000.0,-1057070000.0,1057070000.0,1013360000.0,1860310000.0,20942840000.0,659684397.0,659684397.0,2.82,2.82,1860310000.0,1860310000.0,0.0,1860310000.0,-85650000.0,1945960000.0,846950000.0,1099010000.0,478580000.0,1577590000.0,152290000.0,0.0,-1057070000.0,1057070000.0,2458680000.0,10229850000.0,7926800000.0,2303050000.0,2303050000.0,12688530000.0,10712990000.0,23401520000.0,23401520000.0,407289162813.3761
2025-06-30,0.0,0.245699,4597180000.0,0.0,0.0,946130000.0,2201760000.0,10224720000.0,4597180000.0,2395420000.0,-1106890000.0,1106890000.0,946130000.0,917560000.0,20430530000.0,660115108.0,660115108.0,1.39,1.39,917560000.0,917560000.0,0.0,917560000.0,-25810000.0,943370000.0,-28570000.0,971940000.0,316590000.0,1288530000.0,185340000.0,0.0,-1106890000.0,1106890000.0,2178070000.0,10205810000.0,8004050000.0,2201760000.0,2201760000.0,12383880000.0,10224720000.0,22608600000.0,22608600000.0,462462486678.4138
2025-03-31,-67761875.719217,0.279085,4241640000.0,-242800000.0,-242800000.0,487930000.0,2137160000.0,12526750000.0,3998840000.0,1861680000.0,-690680000.0,1166480000.0,662968124.280783,480050000.0,14508200000.0,,,,,480050000.0,480050000.0,0.0,480050000.0,-13250000.0,493300000.0,-7880000.0,501180000.0,194020000.0,695200000.0,-545310000.0,-301910000.0,-690680000.0,1166480000.0,2167580000.0,1981450000.0,-11807980000.0,2137160000.0,1212150000.0,4149030000.0,12526750000.0,16675780000.0,16675780000.0,
2024-12-31,-14521492.203381,0.322915,4190660000.0,-44970000.0,-44970000.0,493060000.0,2078310000.0,9737860000.0,4145690000.0,2067380000.0,-1334370000.0,1334370000.0,523508507.796619,429130000.0,19565570000.0,660200000.0,660200000.0,0.65,0.65,429130000.0,429130000.0,0.0,429130000.0,-3250000.0,432380000.0,-63930000.0,496310000.0,236700000.0,733010000.0,173280000.0,-44970000.0,-1334370000.0,1334370000.0,1942060000.0,9827710000.0,7749400000.0,2078310000.0,2078310000.0,11769770000.0,9737860000.0,21507630000.0,21507630000.0,473264515063.47656
2024-09-30,0.0,0.177867,4265310000.0,0.0,0.0,690350000.0,2014330000.0,8747500000.0,4265310000.0,2250980000.0,-1381060000.0,1381060000.0,690350000.0,640460000.0,17575680000.0,660268041.0,660268041.0,0.97,0.97,640460000.0,640460000.0,0.0,640460000.0,-24840000.0,665300000.0,-49890000.0,715190000.0,154730000.0,869920000.0,302140000.0,0.0,-1381060000.0,1381060000.0,1971480000.0,8828180000.0,6813850000.0,2014330000.0,2014330000.0,10799660000.0,8747500000.0,19547160000.0,19547160000.0,449453208573.7943
2024-06-30,,,,,,,,,,,,,,,,656470588.0,656470588.0,0.85,0.85,,,,,,,,,,,,,,,,,,,,,,,,368352202016.4116
