,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
2025-09-30,0.0,0.266641,3215220000.0,,,1690870000.0,747060000.0,9961790000.0,3215220000.0,2468160000.0,-162510000.0,162510000.0,,1690870000.0,1690870000.0,10708850000.0,273603560.0,271844051.0,6.18,6.22,1690870000.0,1690870000.0,0.0,1690870000.0,0.0,1690870000.0,1690870000.0,614780000.0,2305650000.0,-2328580000.0,,,-162510000.0,162510000.0,,5168260000.0,747060000.0,,747060000.0,747060000.0,5915320000.0,9961790000.0,15877110000.0,15877110000.0,298403201509.0647
2025-06-30,0.0,0.271028,3107190000.0,,,1718990000.0,628810000.0,9964290000.0,3107190000.0,2478380000.0,-120280000.0,120280000.0,,1718990000.0,1718990000.0,12777360000.0,273724522.0,271992089.0,6.28,6.32,1718990000.0,1718990000.0,0.0,1718990000.0,0.0,1718990000.0,1718990000.0,639110000.0,2358100000.0,159600000.0,,,-120280000.0,120280000.0,,2610250000.0,2813070000.0,2184260000.0,628810000.0,628810000.0,5423320000.0,9964290000.0,15387610000.0,15387610000.0,340682575484.39746
2025-03-31,0.0,0.225982,3832860000.0,,,2447250000.0,579230000.0,8817590000.0,3832860000.0,3253630000.0,58080000.0,91880000.0,,2447250000.0,2447250000.0,12542970000.0,,,,,2447250000.0,2447250000.0,0.0,2447250000.0,0.0,2447250000.0,2447250000.0,714500000.0,3161750000.0,-447900000.0,,,58080000.0,91880000.0,,2740470000.0,3725380000.0,-3885450000.0,579230000.0,-320590000.0,6465850000.0,8817590000.0,15283440000.0,15283440000.0,
2024-12-31,0.0,0.271248,3253120000.0,,,1869700000.0,584400000.0,9373540000.0,3253120000.0,2668720000.0,-103100000.0,103100000.0,,1869700000.0,1869700000.0,12241850000.0,273748170.0,271364296.0,6.83,6.89,1869700000.0,1869700000.0,0.0,1869700000.0,0.0,1869700000.0,1869700000.0,695920000.0,2565620000.0,150200000.0,,,-103100000.0,103100000.0,,2537730000.0,2868310000.0,2283910000.0,584400000.0,584400000.0,5406040000.0,9373540000.0,14779580000.0,14779580000.0,394824483637.7119
2024-09-30,111096080.78753,0.28034,3097300000.0,396290000.0,396290000.0,2037450000.0,560830000.0,9591160000.0,3493590000.0,2932760000.0,-101630000.0,101630000.0,,1752256080.78753,2037450000.0,10151990000.0,273483221.0,271298269.0,7.45,7.51,2037450000.0,2037450000.0,0.0,2037450000.0,0.0,2037450000.0,2037450000.0,793680000.0,2831130000.0,-1936160000.0,396290000.0,-396290000.0,-101630000.0,101630000.0,,4562140000.0,560830000.0,,560830000.0,560830000.0,5122970000.0,9591160000.0,14714130000.0,14714130000.0,438736857651.98975
2024-06-30,,,,1370000.0,1370000.0,,,,,,,,39560000.0,,,,273306560.0,271128818.0,7.47,7.53,,,,,,,,,,,,,,,39560000.0,,,1942120000.0,,,,,,,439095205848.1111
