Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Impairment Of Capital Assets,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
LUPIN,2026-02-11 05:00:00-05:00,26.02,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUPIN,2025-11-06 12:00:00-05:00,26.01,32.28,24.09,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUPIN,2025-08-05 11:00:00-04:00,23.21,26.62,14.71,2025-06-30,-258555790.722975,0.137107,18813300000.0,-1885800000.0,-1885800000.0,12190300000.0,1854500000.0,17719300000.0,16927500000.0,15073000000.0,-917600000.0,917600000.0,13817544209.277023,12190300000.0,29357900000.0,457937641.0,456565543.0,26.62,26.7,12190300000.0,12190300000.0,0.0,12190300000.0,-24300000.0,12214600000.0,12214600000.0,1940800000.0,14155400000.0,-16179500000.0,-1885800000.0,750500000.0,1135300000.0,-917600000.0,917600000.0,32279600000.0,11638600000.0,,1854500000.0,1854500000.0,43918200000.0,17719300000.0,61637500000.0,61637500000.0,879354821910.9438
LUPIN,2025-05-14 12:00:00-04:00,16.87,16.87,0.01,2025-03-31,0.0,0.126652,13537800000.0,,,7725200000.0,3931800000.0,22999100000.0,13537800000.0,9606000000.0,407500000.0,647600000.0,7725200000.0,7725200000.0,44263000000.0,,,,,7725200000.0,7725200000.0,0.0,7725200000.0,-98600000.0,7823800000.0,7823800000.0,1134600000.0,8958400000.0,-1196400000.0,,,,407500000.0,647600000.0,11359000000.0,21263900000.0,-22819200000.0,3931800000.0,3931800000.0,32622900000.0,22999100000.0,55622000000.0,55622000000.0,
LUPIN,2025-02-11 14:00:00-05:00,17.63,18.69,6.01,2024-12-31,0.0,0.198279,14096100000.0,-856100000.0,-856100000.0,8551600000.0,2714500000.0,17215500000.0,14096100000.0,11381600000.0,-668900000.0,668900000.0,8551600000.0,8551600000.0,45241600000.0,457549492.0,456085333.0,18.69,18.75,8551600000.0,8551600000.0,0.0,8551600000.0,-37000000.0,8588600000.0,8588600000.0,2124100000.0,10712700000.0,537100000.0,-856100000.0,856100000.0,,-668900000.0,668900000.0,10944000000.0,28026100000.0,16959200000.0,2714500000.0,2714500000.0,38970100000.0,17215500000.0,56185600000.0,56185600000.0,1067759233459.2036
LUPIN,2024-11-07 08:00:00-05:00,16.15,18.64,15.45,2024-09-30,0.0,0.185219,13826500000.0,,,8526300000.0,2569200000.0,16899400000.0,13826500000.0,11257300000.0,-708700000.0,708700000.0,8526300000.0,8526300000.0,44456500000.0,457419528.0,455951872.0,18.64,18.7,8526300000.0,8526300000.0,0.0,8526300000.0,-68500000.0,8594800000.0,8594800000.0,1953800000.0,10548600000.0,422900000.0,,,,-708700000.0,708700000.0,10513600000.0,27557100000.0,16669900000.0,2569200000.0,2569200000.0,38070700000.0,16899400000.0,54970100000.0,54970100000.0,992861026679.0
LUPIN,2024-08-06 11:00:00-04:00,12.95,17.52,35.31,2024-06-30,0.0,0.188806,13087500000.0,,,8013100000.0,2477100000.0,17445600000.0,13087500000.0,10610400000.0,-680100000.0,680100000.0,8013100000.0,8013100000.0,44756900000.0,457368721.0,455807736.0,17.52,17.58,8013100000.0,8013100000.0,0.0,8013100000.0,-42300000.0,8055400000.0,8055400000.0,1874900000.0,9930300000.0,677800000.0,,,,-680100000.0,680100000.0,10386500000.0,27311300000.0,15983700000.0,2477100000.0,2477100000.0,37697800000.0,17445600000.0,55143400000.0,55143400000.0,731249980575.5479
LUPIN,2024-05-06 11:00:00-04:00,10.8,7.86,-27.24,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUPIN,2024-02-07 09:00:00-05:00,9.07,13.41,47.87,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUPIN,2023-11-08 12:00:00-05:00,8.06,10.72,32.94,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
