Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
TATAPOWER,2026-02-03 05:00:00-05:00,3.56,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAPOWER,2025-11-11 06:00:00-05:00,3.13,2.88,-8.09,2025-09-30,531168364.783618,0.258652,39552400000.0,2053600000.0,2053600000.0,9194400000.0,11620500000.0,93555200000.0,41606000000.0,29985500000.0,-13186500000.0,13186500000.0,7671968364.783618,9194400000.0,134050100000.0,3192500000.0,3192500000.0,2.88,2.88,9194400000.0,9194400000.0,0.0,9194400000.0,-3259500000.0,12453900000.0,12453900000.0,4345100000.0,16799000000.0,5242100000.0,2053600000.0,-2053600000.0,,0.0,0.0,-13186500000.0,13186500000.0,21399000000.0,40494900000.0,17853300000.0,11620500000.0,11620500000.0,61893900000.0,93555200000.0,155449100000.0,155449100000.0,1240765105514.5264
TATAPOWER,2025-08-01 06:00:00-04:00,3.22,3.31,2.9,2025-06-30,0.0,0.22053,40595900000.0,0.0,0.0,10598600000.0,11609100000.0,111189700000.0,40595900000.0,28986800000.0,-12792200000.0,12792200000.0,10598600000.0,10598600000.0,150569700000.0,3201993958.0,3201993958.0,3.31,3.31,10598600000.0,10598600000.0,0.0,10598600000.0,-2024600000.0,12623200000.0,12623200000.0,3571400000.0,16194600000.0,-2090500000.0,0.0,,,0.0,0.0,-12792200000.0,12792200000.0,29781000000.0,39380000000.0,16157300000.0,11609100000.0,11609100000.0,69161000000.0,111189700000.0,180350700000.0,180350700000.0,1298248489357.9404
TATAPOWER,2025-05-14 07:00:00-04:00,3.33,3.21,-3.35,2025-03-31,-571713269.445955,0.183536,37947300000.0,-2055000000.0,-3115000000.0,10428300000.0,11162800000.0,143737300000.0,35892300000.0,24729500000.0,-4520500000.0,8732600000.0,14031586730.554045,10428300000.0,137622100000.0,,,,,10428300000.0,10428300000.0,0.0,10428300000.0,-2632600000.0,13060900000.0,13060900000.0,2936000000.0,15996900000.0,1288800000.0,-4147800000.0,2651400000.0,,,0.0,-4520500000.0,8732600000.0,19831800000.0,-6115200000.0,-25811000000.0,11162800000.0,8642000000.0,13716600000.0,143737300000.0,157453900000.0,157453900000.0,
TATAPOWER,2025-02-04 06:00:00-05:00,3.58,3.22,-10.06,2024-12-31,0.0,0.184775,36675800000.0,0.0,0.0,10307000000.0,10409900000.0,92951800000.0,36675800000.0,26265900000.0,-11699000000.0,11699000000.0,10307000000.0,10307000000.0,130794500000.0,3200931677.0,3200931677.0,3.22,3.22,10307000000.0,10307000000.0,0.0,10307000000.0,-1568400000.0,11875400000.0,11875400000.0,2691600000.0,14566900000.0,1288000000.0,0.0,,,,0.0,-11699000000.0,11699000000.0,23116100000.0,37842700000.0,16853400000.0,10409900000.0,10409900000.0,60958800000.0,92951800000.0,153910600000.0,153910600000.0,1248696458797.4124
TATAPOWER,2024-10-30 08:00:00-04:00,2.98,3.17,6.27,2024-09-30,-2354669214.888853,0.38344,45167500000.0,-6140900000.0,-6140900000.0,9265300000.0,9866900000.0,92908600000.0,39026600000.0,29159700000.0,-11431000000.0,11431000000.0,13051530785.111149,9265300000.0,129393600000.0,3194931034.0,3194931034.0,2.9,2.9,9265300000.0,9265300000.0,0.0,9265300000.0,-1665500000.0,10930800000.0,10930800000.0,6797900000.0,17728700000.0,5366700000.0,-6140900000.0,4740900000.0,,0.0,1400000000.0,-11431000000.0,11431000000.0,27583100000.0,36485000000.0,16210900000.0,9866900000.0,9866900000.0,64068100000.0,92908600000.0,156976700000.0,156976700000.0,1532852307405.5657
TATAPOWER,2024-08-06 08:00:00-04:00,2.68,3.03,12.94,2024-06-30,,,,,,,,,,,,,,,,3204323432.0,3193782895.0,3.03,3.04,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,1392498406606.268
TATAPOWER,2024-05-08 06:00:00-04:00,2.53,2.71,7.04,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAPOWER,2024-02-09 06:00:00-05:00,2.75,2.98,8.28,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAPOWER,2023-11-08 09:00:00-05:00,2.82,2.74,-2.84,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAPOWER,2023-08-09 08:00:00-04:00,2.24,2.48,10.51,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAPOWER,2023-05-04 07:00:00-04:00,3.06,2.43,-20.59,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAPOWER,2023-02-03 05:00:00-05:00,2.95,2.95,,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAPOWER,2022-10-28 06:00:00-04:00,3.09,2.57,-16.69,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAPOWER,2022-07-26 06:00:00-04:00,3.37,2.48,-26.41,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAPOWER,2022-05-06 07:00:00-04:00,2.27,2.04,-9.73,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAPOWER,2022-02-09 05:00:00-05:00,2.3,1.33,-42.17,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAPOWER,2021-10-28 06:00:00-04:00,2.38,1.32,-44.54,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAPOWER,2021-08-06 06:00:00-04:00,1.22,1.13,-7.38,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAPOWER,2021-05-12 07:00:00-04:00,0.82,1.51,85.13,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAPOWER,2021-02-04 05:00:00-05:00,0.78,0.71,-7.93,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAPOWER,2020-11-10 06:00:00-05:00,1.6,0.86,-46.56,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAPOWER,2020-08-12 06:00:00-04:00,1.0,0.68,-32.27,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAPOWER,2020-05-19 08:00:00-04:00,1.61,0.79,-50.64,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAPOWER,2020-01-29 07:00:00-05:00,0.98,0.54,-44.85,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
