Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
DABUR,2026-01-29 05:00:00-05:00,2.83,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DABUR,2025-10-30 06:00:00-04:00,2.55,2.55,-0.16,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DABUR,2025-07-31 05:00:00-04:00,2.76,2.89,4.57,2025-06-30,0.0,0.232909,8113900000.0,0.0,0.0,5139100000.0,1141400000.0,18032600000.0,8113900000.0,6972500000.0,-346300000.0,346300000.0,5139100000.0,5139100000.0,28509000000.0,1778235294.0,1772103448.0,2.89,2.9,5139100000.0,5139100000.0,0.0,5139100000.0,56200000.0,5082900000.0,5082900000.0,1543300000.0,6626200000.0,1439700000.0,0.0,-346300000.0,346300000.0,5536800000.0,10476400000.0,3937700000.0,1141400000.0,1141400000.0,2019600000.0,2019600000.0,16013200000.0,18032600000.0,34045800000.0,34045800000.0,846903585789.8782
DABUR,2025-05-07 06:00:00-04:00,1.78,1.8,1.3,2025-03-31,246198320.021364,0.240781,4491700000.0,1022500000.0,1022500000.0,3201300000.0,1168700000.0,15576900000.0,5514200000.0,4345500000.0,3689000000.0,226400000.0,2424998320.021364,3201300000.0,23438900000.0,,,,,3201300000.0,3201300000.0,0.0,3201300000.0,74000000.0,3127300000.0,3127300000.0,991800000.0,4119100000.0,-3836300000.0,-38500000.0,3689000000.0,226400000.0,3231700000.0,7862000000.0,-3909200000.0,1168700000.0,156100000.0,8658700000.0,6472700000.0,11093700000.0,15576900000.0,26670600000.0,26670600000.0,
DABUR,2025-01-30 04:00:00-05:00,2.83,2.94,3.81,2024-12-31,0.0,0.215578,8104200000.0,0.0,0.0,5223800000.0,1086400000.0,17428400000.0,8104200000.0,7017800000.0,-442000000.0,442000000.0,5223800000.0,5223800000.0,27820000000.0,1776802721.0,1770779661.0,2.94,2.95,5223800000.0,5223800000.0,0.0,5223800000.0,65600000.0,5158200000.0,5158200000.0,1417600000.0,6575800000.0,1280300000.0,0.0,-442000000.0,442000000.0,5732500000.0,10391600000.0,3686400000.0,1086400000.0,1086400000.0,2267200000.0,2267200000.0,16124100000.0,17428400000.0,33552500000.0,33552500000.0,884202681830.7847
DABUR,2024-10-30 05:00:00-04:00,2.49,2.39,-4.03,2024-09-30,0.0,0.235241,7043100000.0,0.0,0.0,4250000000.0,1109700000.0,15343100000.0,7043100000.0,5933400000.0,-473900000.0,473900000.0,4250000000.0,4250000000.0,25870100000.0,1778242678.0,1770833333.0,2.39,2.4,4250000000.0,4250000000.0,0.0,4250000000.0,74800000.0,4175200000.0,4175200000.0,1284300000.0,5459500000.0,1515200000.0,0.0,-473900000.0,473900000.0,4415800000.0,10527000000.0,3773100000.0,1109700000.0,1109700000.0,2256300000.0,2256300000.0,14942800000.0,15343100000.0,30285900000.0,30285900000.0,1084765332335.6852
DABUR,2024-08-01 04:00:00-04:00,2.79,2.82,1.04,2024-06-30,0.0,0.230524,7842300000.0,0.0,0.0,5001200000.0,1091200000.0,17486500000.0,7842300000.0,6751100000.0,-326600000.0,326600000.0,5001200000.0,5001200000.0,28032000000.0,1773475177.0,1773475177.0,2.82,2.82,5001200000.0,5001200000.0,0.0,5001200000.0,57700000.0,4943500000.0,4943500000.0,1481000000.0,6424500000.0,1294000000.0,0.0,-326600000.0,326600000.0,5459100000.0,10545500000.0,3866200000.0,1091200000.0,1091200000.0,2358900000.0,2358900000.0,16004600000.0,17486500000.0,33491100000.0,33491100000.0,1039359610572.8104
DABUR,2024-05-02 04:00:00-04:00,2.01,1.97,-2.05,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DABUR,2024-01-31 04:00:00-05:00,2.93,2.9,-1.12,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DABUR,2023-11-02 05:00:00-04:00,2.89,2.9,0.5,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DABUR,2023-08-03 04:00:00-04:00,2.67,2.61,-2.34,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DABUR,2023-05-04 05:00:00-04:00,2.35,1.69,-28.23,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DABUR,2023-02-02 04:00:00-05:00,2.81,2.68,-4.62,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DABUR,2022-10-26 05:00:00-04:00,2.63,2.76,5.14,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DABUR,2022-08-04 05:00:00-04:00,2.49,2.48,-0.32,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DABUR,2022-05-05 04:00:00-04:00,2.17,2.02,-6.78,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DABUR,2022-02-02 05:00:00-05:00,2.78,2.84,2.16,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DABUR,2021-11-02 04:00:00-04:00,2.68,2.85,6.48,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DABUR,2021-08-03 04:00:00-04:00,2.28,2.47,8.1,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DABUR,2021-05-07 04:00:00-04:00,2.43,2.13,-12.22,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DABUR,2021-01-29 03:00:00-05:00,2.71,2.78,2.75,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DABUR,2020-11-03 04:00:00-05:00,2.44,2.72,11.47,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DABUR,2020-07-31 03:00:00-04:00,1.93,1.93,-0.17,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DABUR,2020-05-27 05:00:00-04:00,2.29,1.68,-26.61,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DABUR,2020-01-30 04:00:00-05:00,2.33,2.33,0.19,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
