Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
EICHERMOT,2026-02-10 05:00:00-05:00,49.76,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EICHERMOT,2025-11-13 04:00:00-05:00,45.7,43.97,-3.79,2025-09-30,0.0,0.230218,19977300000.0,13694500000.0,1995600000.0,34747500000.0,19977300000.0,17981700000.0,-191600000.0,191600000.0,13694500000.0,13694500000.0,47588500000.0,274714142.0,274273984.0,49.85,49.93,13694500000.0,13694500000.0,0.0,13694500000.0,0.0,13694500000.0,13694500000.0,4095600000.0,17790100000.0,3509200000.0,-191600000.0,191600000.0,13123400000.0,12841000000.0,7670200000.0,1995600000.0,1995600000.0,25964400000.0,34747500000.0,60711900000.0,60711900000.0,1921426394912.0
EICHERMOT,2025-07-31 07:00:00-04:00,40.4,47.58,17.77,2025-06-30,0.0,0.243423,18059500000.0,12052200000.0,1980600000.0,28126200000.0,18059500000.0,16078900000.0,-149000000.0,149000000.0,12052200000.0,12052200000.0,39409000000.0,274600137.0,274225256.0,43.89,43.95,12052200000.0,12052200000.0,0.0,12052200000.0,0.0,12052200000.0,12052200000.0,3877700000.0,15929900000.0,4460600000.0,-149000000.0,149000000.0,10047200000.0,11282800000.0,6524900000.0,1980600000.0,1980600000.0,21330000000.0,28126200000.0,49456200000.0,49456200000.0,1531299538121.75
EICHERMOT,2025-05-14 06:00:00-04:00,45.02,49.58,10.13,2025-03-31,0.0,0.183931,18860700000.0,13621500000.0,2013700000.0,32134200000.0,18860700000.0,16847000000.0,3017800000.0,155400000.0,13621500000.0,13621500000.0,40733900000.0,,,,,13621500000.0,13621500000.0,0.0,13621500000.0,0.0,13621500000.0,13621500000.0,3070100000.0,16691600000.0,-8424800000.0,3017800000.0,155400000.0,10769900000.0,8599700000.0,-10775000000.0,2013700000.0,469400000.0,19369600000.0,32134200000.0,51503800000.0,51503800000.0,
EICHERMOT,2025-02-10 06:00:00-05:00,41.8,38.45,-8.01,2024-12-31,0.0,0.198738,16534800000.0,11705000000.0,1792700000.0,27316700000.0,16534800000.0,14742100000.0,-133900000.0,133900000.0,11705000000.0,11705000000.0,38661900000.0,274700774.0,274121780.0,42.61,42.7,11705000000.0,11705000000.0,0.0,11705000000.0,0.0,11705000000.0,11705000000.0,2903200000.0,14608200000.0,2887800000.0,-133900000.0,133900000.0,10219200000.0,11345200000.0,6982700000.0,1792700000.0,1792700000.0,21564400000.0,27316700000.0,48881100000.0,48881100000.0,1304868125966.1914
EICHERMOT,2024-11-13 05:00:00-05:00,37.85,36.76,-2.88,2024-09-30,0.0,0.192152,15552500000.0,11003300000.0,1800600000.0,22823900000.0,15552500000.0,13751900000.0,-131400000.0,131400000.0,11003300000.0,11003300000.0,32787200000.0,274670494.0,274054795.0,40.06,40.15,11003300000.0,11003300000.0,0.0,11003300000.0,0.0,11003300000.0,11003300000.0,2617200000.0,13620500000.0,3537800000.0,-131400000.0,131400000.0,9076600000.0,9963300000.0,5466000000.0,1800600000.0,1800600000.0,19039900000.0,22823900000.0,41863800000.0,41863800000.0,1359835538311.1477
EICHERMOT,2024-08-08 08:00:00-04:00,35.2,39.62,12.56,2024-06-30,,,,,,,,,,,,,,274609823.0,273926884.0,40.11,40.21,,,,,,,,,,,,,,,,,,,,,,1249813343801.2578
EICHERMOT,2024-05-10 13:00:00-04:00,34.5,35.85,3.91,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EICHERMOT,2024-02-13 04:00:00-05:00,32.1,33.31,3.77,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EICHERMOT,2023-11-10 07:00:00-05:00,31.6,34.23,8.32,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EICHERMOT,2023-08-03 07:00:00-04:00,29.2,33.34,14.18,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EICHERMOT,2023-05-11 07:00:00-04:00,29.95,33.06,10.37,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EICHERMOT,2023-02-14 02:00:00-05:00,24.43,24.84,1.66,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EICHERMOT,2022-11-10 05:00:00-05:00,24.78,23.98,-3.22,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EICHERMOT,2022-08-10 06:00:00-04:00,21.1,21.19,0.43,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EICHERMOT,2022-05-13 08:00:00-04:00,22.35,20.22,-9.53,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EICHERMOT,2022-02-14 07:00:00-05:00,17.7,15.42,-12.88,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EICHERMOT,2021-11-03 08:00:00-04:00,9.9,12.54,26.67,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EICHERMOT,2021-08-12 07:00:00-04:00,8.5,9.76,14.82,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EICHERMOT,2021-05-27 10:00:00-04:00,17.2,17.09,-0.64,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EICHERMOT,2021-02-10 04:00:00-05:00,18.1,17.85,-1.38,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EICHERMOT,2020-11-12 06:00:00-05:00,63.8,12.58,-80.28,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EICHERMOT,2020-08-13 07:00:00-04:00,2.88,0.45,-84.37,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EICHERMOT,2020-06-12 09:00:00-04:00,14.7,11.14,-24.22,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EICHERMOT,2020-02-06 04:00:00-05:00,18.33,18.26,-0.39,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
