Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Impairment Of Capital Assets,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
NESTLEIND,2026-01-30 05:00:00-05:00,3.86,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NESTLEIND,2025-10-16 02:00:00-04:00,4.04,3.9,-3.4,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NESTLEIND,2025-07-24 02:00:00-04:00,3.93,3.42,-13.06,2025-06-30,0.0,0.271719,10916600000.0,0.0,0.0,6465900000.0,1569400000.0,22854300000.0,10916600000.0,9347200000.0,-468900000.0,468900000.0,6465900000.0,6465900000.0,41306400000.0,,1927242921.0,1927242921.0,3.355,3.355,6465900000.0,6465900000.0,0.0,6465900000.0,6465900000.0,6465900000.0,2412400000.0,8878300000.0,40400000.0,0.0,,,-468900000.0,468900000.0,9433200000.0,18452100000.0,11948000000.0,1569400000.0,1569400000.0,27885300000.0,22854300000.0,50739600000.0,50739600000.0,2365669512204.3936
NESTLEIND,2025-04-24 02:00:00-04:00,4.13,4.59,11.27,2025-03-31,1470209.785517,0.267311,13804800000.0,5500000.0,5500000.0,8734900000.0,1513500000.0,26114100000.0,13810300000.0,12296800000.0,192200000.0,375100000.0,8730870209.785517,8734900000.0,41978000000.0,,,,,,8734900000.0,8734900000.0,0.0,8734900000.0,8734900000.0,8734900000.0,3186800000.0,11921700000.0,84400000.0,-15800000.0,-24100000.0,39900000.0,192200000.0,375100000.0,12498400000.0,15863900000.0,-10436600000.0,1513500000.0,1513500000.0,28362300000.0,26114100000.0,54476400000.0,54476400000.0,
NESTLEIND,2025-01-31 01:00:00-05:00,3.86,3.61,-6.53,2024-12-31,-43978067.690962,0.247624,10993200000.0,-177600000.0,-177600000.0,6880100000.0,1325100000.0,20846000000.0,10815600000.0,9490500000.0,-346000000.0,346000000.0,7013721932.309038,6880100000.0,37919500000.0,,1927198880.0,1927198880.0,3.57,3.57,6880100000.0,6880100000.0,0.0,6880100000.0,6880100000.0,6880100000.0,2264400000.0,9144500000.0,44400000.0,-177600000.0,,177600000.0,-346000000.0,346000000.0,9701800000.0,17073500000.0,10977800000.0,1325100000.0,1325100000.0,26775300000.0,20846000000.0,47621300000.0,47621300000.0,2069053844728.34
NESTLEIND,2024-10-17 02:00:00-04:00,4.5,3.98,-11.5,2024-09-30,459758259.471527,0.2507,11708700000.0,1833900000.0,1833900000.0,8994900000.0,1216000000.0,22139200000.0,13542600000.0,12326600000.0,-322200000.0,322200000.0,7620758259.471527,8994900000.0,40286300000.0,10671800000.0,1930236052.0,1930236052.0,4.66,4.66,8994900000.0,8994900000.0,0.0,8994900000.0,8994900000.0,8994900000.0,3009500000.0,12004400000.0,68600000.0,1833900000.0,-1833900000.0,0.0,-322200000.0,322200000.0,10461300000.0,18147100000.0,12206800000.0,1216000000.0,1216000000.0,28608400000.0,22139200000.0,50747600000.0,50747600000.0,2568799230917.551
NESTLEIND,2024-07-25 02:00:00-04:00,4.11,3.87,-5.84,2024-06-30,0.0,0.260103,11534500000.0,0.0,0.0,7466000000.0,1127100000.0,20388400000.0,11534500000.0,10407400000.0,-316800000.0,316800000.0,7466000000.0,7466000000.0,37913500000.0,,1929198966.0,1929198966.0,3.87,3.87,7466000000.0,7466000000.0,0.0,7466000000.0,7466000000.0,7466000000.0,2624600000.0,10090600000.0,391200000.0,0.0,,0.0,-316800000.0,316800000.0,10016200000.0,17525100000.0,11553800000.0,1127100000.0,1127100000.0,27541300000.0,20388400000.0,47929700000.0,47929700000.0,2424901365160.2773
NESTLEIND,2024-04-25 03:00:00-04:00,4.3,4.81,11.83,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NESTLEIND,2024-02-07 02:00:00-05:00,3.65,3.4,-6.74,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NESTLEIND,2023-07-27 01:00:00-04:00,3.75,3.62,-3.44,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
