Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
PAYTM,2026-01-20 05:00:00-05:00,3.36,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYTM,2025-11-04 11:00:00-05:00,1.5,0.32,-78.67,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYTM,2025-07-22 06:00:00-04:00,0.28,2.14,664.11,2025-06-30,-5280632.411067,0.031621,3133000000.0,-167000000.0,-167000000.0,1225000000.0,1661000000.0,13912000000.0,2966000000.0,1305000000.0,-40000000.0,40000000.0,1386719367.588933,1225000000.0,20121000000.0,648148148.0,638020833.0,1.89,1.92,1225000000.0,1225000000.0,0.0,1225000000.0,,1225000000.0,1225000000.0,40000000.0,1265000000.0,2414000000.0,-167000000.0,,167000000.0,-40000000.0,40000000.0,-946000000.0,6209000000.0,3550000000.0,1661000000.0,1661000000.0,998000000.0,998000000.0,5263000000.0,13912000000.0,19175000000.0,19175000000.0,589531249692.0
PAYTM,2025-05-05 20:00:00-04:00,0.61,-0.28,-145.49,2025-03-31,-1322400000.0,0.3,435000000.0,-4307000000.0,-4408000000.0,-5398000000.0,1503000000.0,4860000000.0,-3872000000.0,-5375000000.0,2282000000.0,45000000.0,-2312400000.0,-5398000000.0,16147000000.0,,,,,-5398000000.0,-5398000000.0,0.0,-5398000000.0,48000000.0,-5446000000.0,-5446000000.0,26000000.0,-5420000000.0,-4657000000.0,-5768000000.0,4915000000.0,748000000.0,2282000000.0,45000000.0,1372000000.0,11287000000.0,-739000000.0,1503000000.0,1312000000.0,2796000000.0,1427000000.0,12659000000.0,4860000000.0,17519000000.0,17519000000.0,
PAYTM,2025-01-20 00:00:00-05:00,-5.13,-3.27,36.21,2024-12-31,0.0,0.3,-339000000.0,0.0,0.0,-2083000000.0,1653000000.0,14803000000.0,-339000000.0,-1992000000.0,-43000000.0,43000000.0,-2083000000.0,-2083000000.0,22155000000.0,637003058.0,637003058.0,-3.27,-3.27,-2083000000.0,-2083000000.0,0.0,-2083000000.0,2000000.0,-2085000000.0,-2085000000.0,50000000.0,-2035000000.0,1887000000.0,0.0,,0.0,-43000000.0,43000000.0,-3877000000.0,7352000000.0,4290000000.0,1653000000.0,1653000000.0,1409000000.0,1409000000.0,3475000000.0,14803000000.0,18278000000.0,18278000000.0,648373547033.4675
PAYTM,2024-10-22 01:00:00-04:00,-0.03,-6.36,-21083.67,2024-09-30,128913738.019169,0.009585,-2240000000.0,13450000000.0,13450000000.0,9280000000.0,1790000000.0,15060000000.0,11210000000.0,9420000000.0,-30000000.0,30000000.0,-4041086261.980831,9280000000.0,22420000000.0,649405178.0,636052090.0,14.29,14.59,9280000000.0,9280000000.0,0.0,9280000000.0,-20000000.0,9300000000.0,9300000000.0,90000000.0,9390000000.0,1750000000.0,13450000000.0,-13450000000.0,0.0,-30000000.0,30000000.0,-5830000000.0,7360000000.0,4030000000.0,1790000000.0,1790000000.0,1540000000.0,1540000000.0,1530000000.0,15060000000.0,16590000000.0,16590000000.0,437794645782.69226
PAYTM,2024-07-19 01:00:00-04:00,-14.99,-13.0,13.29,2024-06-30,0.0,0.3,-6560000000.0,0.0,0.0,-8389000000.0,1784000000.0,16520000000.0,-6560000000.0,-8344000000.0,-42000000.0,42000000.0,-8389000000.0,-8389000000.0,24722000000.0,636012130.0,636012130.0,-13.19,-13.19,-8389000000.0,-8389000000.0,0.0,-8389000000.0,12000000.0,-8401000000.0,-8401000000.0,15000000.0,-8386000000.0,1375000000.0,0.0,,0.0,-42000000.0,42000000.0,-9706000000.0,8202000000.0,4204000000.0,1784000000.0,1784000000.0,2214000000.0,2214000000.0,-1504000000.0,16520000000.0,15016000000.0,15016000000.0,255517873227.5
PAYTM,2024-05-21 23:00:00-04:00,-7.93,-9.0,-13.47,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYTM,2024-01-19 06:00:00-05:00,-3.89,-3.0,22.89,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYTM,2023-10-20 08:00:00-04:00,-4.36,-4.9,-12.3,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYTM,2023-07-21 12:00:00-04:00,-6.22,-6.0,3.61,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYTM,2023-05-05 11:00:00-04:00,-4.44,-3.0,32.51,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYTM,2023-02-03 11:00:00-05:00,-7.52,-6.0,20.27,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYTM,2022-11-07 10:00:00-05:00,-9.03,-9.0,0.33,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYTM,2022-08-05 11:00:00-04:00,-10.33,-10.0,3.19,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYTM,2022-05-20 12:00:00-04:00,-11.6,-12.0,-3.4,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYTM,2022-02-04 12:00:00-05:00,-9.51,-12.0,-26.18,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
