Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Write Off,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
BHARATFORG,2026-02-12 05:00:00-05:00,5.33,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHARATFORG,2025-11-11 02:00:00-05:00,5.51,6.26,13.61,2025-09-30,0.0,0.344882,7778030000.0,0.0,0.0,2991990000.0,2408870000.0,17674390000.0,7778030000.0,5369160000.0,-800850000.0,800850000.0,2991990000.0,2991990000.0,35471610000.0,477953674.0,477953674.0,6.26,6.26,2991990000.0,2991990000.0,0.0,2991990000.0,-790000.0,2992780000.0,2992780000.0,1575530000.0,4568310000.0,535130000.0,0.0,,,-800850000.0,800850000.0,4847660000.0,17797220000.0,10182650000.0,2408870000.0,2408870000.0,22644880000.0,17674390000.0,40319270000.0,40319270000.0,579471046026.3909
BHARATFORG,2025-08-06 03:00:00-04:00,7.0,7.08,1.14,2025-06-30,0.0,0.3093,7193090000.0,0.0,0.0,2836830000.0,2260980000.0,16961740000.0,7193090000.0,4932110000.0,-822220000.0,822220000.0,2836830000.0,2836830000.0,34619430000.0,478386172.0,478386172.0,5.93,5.93,2836830000.0,2836830000.0,0.0,2836830000.0,-1870000.0,2838700000.0,2838700000.0,1271190000.0,4109890000.0,497230000.0,0.0,,,-822220000.0,822220000.0,4468060000.0,17657690000.0,10259980000.0,2260980000.0,2260980000.0,22125750000.0,16961740000.0,39087490000.0,39087490000.0,622885833639.0239
BHARATFORG,2025-05-07 20:00:00-04:00,6.18,5.99,-2.97,2025-03-31,166458640.037727,0.333591,6576890000.0,551990000.0,498990000.0,2819970000.0,2237550000.0,27994830000.0,7128880000.0,4891330000.0,-173840000.0,650330000.0,2487438640.037727,2819970000.0,27586630000.0,,,,,2819970000.0,2819970000.0,0.0,2819970000.0,-6270000.0,2826240000.0,2826240000.0,1414760000.0,4241000000.0,-873740000.0,-147780000.0,,,-173840000.0,650330000.0,5010430000.0,-408200000.0,-12886500000.0,2237550000.0,2084830000.0,4602230000.0,27994830000.0,32597060000.0,32597060000.0,
BHARATFORG,2025-02-12 05:00:00-05:00,8.4,7.39,-11.97,2024-12-31,0.0,0.386808,6612150000.0,0.0,0.0,2127630000.0,2182490000.0,14698110000.0,6612150000.0,4429660000.0,-959620000.0,959620000.0,2127630000.0,2127630000.0,30694100000.0,468640969.0,468640969.0,4.54,4.54,2127630000.0,2127630000.0,0.0,2127630000.0,-170000.0,2127800000.0,2127800000.0,1342240000.0,3470040000.0,383660000.0,0.0,,,-959620000.0,959620000.0,4061350000.0,15995990000.0,9452000000.0,2182490000.0,2182490000.0,20057340000.0,14698110000.0,34755450000.0,34755450000.0,604785575445.0143
BHARATFORG,2024-11-14 02:00:00-05:00,8.33,7.54,-9.51,2024-09-30,0.0,0.368353,7083360000.0,0.0,0.0,2435860000.0,2133470000.0,15642510000.0,7083360000.0,4949890000.0,-1098120000.0,1098120000.0,2435860000.0,2435860000.0,32545810000.0,465747610.0,465747610.0,5.23,5.23,2435860000.0,2435860000.0,0.0,2435860000.0,2900000.0,2432960000.0,2432960000.0,1418810000.0,3851770000.0,616480000.0,0.0,,,-1098120000.0,1098120000.0,4339270000.0,16903300000.0,10097440000.0,2133470000.0,2133470000.0,21242570000.0,15642510000.0,36885080000.0,36885080000.0,701465932141.543
BHARATFORG,2024-08-08 03:00:00-04:00,8.63,8.06,-6.5,2024-06-30,,,,,,,,,,,,,,,,465153670.0,465153670.0,4.36,4.36,,,,,,,,,,,,1517650000.0,1517650000.0,,,,,,,,,,,,768591317811.5466
BHARATFORG,2024-05-08 03:00:00-04:00,8.3,8.59,3.44,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHARATFORG,2024-02-12 03:00:00-05:00,7.63,8.11,6.36,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHARATFORG,2023-11-06 01:00:00-05:00,7.67,7.46,-2.65,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHARATFORG,2023-08-09 03:00:00-04:00,5.85,6.69,14.36,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHARATFORG,2023-05-05 03:00:00-04:00,5.22,3.54,-32.16,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHARATFORG,2023-02-14 03:00:00-05:00,6.15,6.14,-0.15,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHARATFORG,2022-11-14 02:00:00-05:00,5.72,3.16,-44.7,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHARATFORG,2022-08-11 03:00:00-04:00,5.35,5.28,-1.31,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHARATFORG,2022-05-16 02:00:00-04:00,5.94,5.67,-4.55,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHARATFORG,2022-02-10 02:00:00-05:00,5.4,5.61,3.93,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHARATFORG,2021-11-12 03:00:00-05:00,5.4,6.7,24.07,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHARATFORG,2021-08-12 03:00:00-04:00,4.0,4.58,14.52,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHARATFORG,2021-06-04 02:00:00-04:00,2.63,4.43,68.04,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
