Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
COCHINSHIP,2025-11-12 09:00:00-05:00,7.3,3.84,-47.4,2025-09-30,0.0,0.282714,1700554000.0,0.0,0.0,1075274000.0,9419391000.0,1700554000.0,1700554000.0,-201468000.0,201468000.0,1075274000.0,1075274000.0,10758281000.0,262903178.0,262903178.0,4.09,4.09,1075274000.0,1075274000.0,0.0,1075274000.0,0.0,1075274000.0,1075274000.0,423812000.0,1499086000.0,1272964000.0,0.0,-201468000.0,201468000.0,427590000.0,1338890000.0,1338890000.0,1766480000.0,9419391000.0,11185871000.0,11185871000.0,469398444484.62573
COCHINSHIP,2025-08-12 08:00:00-04:00,5.1,7.14,40.0,2025-06-30,0.0,0.24731,2617115000.0,0.0,0.0,1878288000.0,7258193000.0,2617115000.0,2617115000.0,-121681000.0,121681000.0,1878288000.0,1878288000.0,8612134000.0,263065546.0,263065546.0,7.14,7.14,1878288000.0,1878288000.0,0.0,1878288000.0,0.0,1878288000.0,1878288000.0,617146000.0,2495434000.0,543301000.0,0.0,-121681000.0,121681000.0,2073814000.0,1353941000.0,1353941000.0,3427755000.0,7258193000.0,10685948000.0,10685948000.0,541439438732.6245
COCHINSHIP,2025-05-15 04:00:00-04:00,10.4,10.82,4.04,2025-03-31,-227953865.396132,0.252251,4916405000.0,-903679000.0,-903679000.0,2871835000.0,12389836000.0,4012726000.0,4012726000.0,1694201000.0,172086000.0,3547560134.603868,2871835000.0,10854470000.0,,,,,2871835000.0,2871835000.0,0.0,2871835000.0,0.0,2871835000.0,2871835000.0,968805000.0,3840640000.0,-2014428000.0,-878833000.0,1694201000.0,172086000.0,4916656000.0,-1535366000.0,-481746000.0,3381290000.0,12389836000.0,15771126000.0,15771126000.0,
COCHINSHIP,2025-02-06 08:00:00-05:00,7.4,7.01,-5.27,2024-12-31,0.0,0.268212,2527100000.0,0.0,0.0,1769900000.0,8772017000.0,2527100000.0,2527100000.0,-108503000.0,108503000.0,1769900000.0,1769900000.0,9417091000.0,262986627.0,262986627.0,6.73,6.73,1769900000.0,1769900000.0,0.0,1769900000.0,0.0,1769900000.0,1769900000.0,648697000.0,2418597000.0,467836000.0,0.0,-108503000.0,108503000.0,2059264000.0,645074000.0,645074000.0,2704338000.0,8772017000.0,11476355000.0,11476355000.0,402116536672.3795
COCHINSHIP,2024-11-07 10:00:00-05:00,7.6,7.34,-3.42,2024-09-30,0.0,0.282827,2727816000.0,0.0,0.0,1889213000.0,8911327000.0,2727816000.0,2727816000.0,-93565000.0,93565000.0,1889213000.0,1889213000.0,9715541000.0,263121588.0,263121588.0,7.18,7.18,1889213000.0,1889213000.0,0.0,1889213000.0,0.0,1889213000.0,1889213000.0,745038000.0,2634251000.0,1011380000.0,0.0,-93565000.0,93565000.0,1716436000.0,804214000.0,804214000.0,2520650000.0,8911327000.0,11431977000.0,11431977000.0,453634818758.46826
COCHINSHIP,2024-08-08 06:00:00-04:00,6.8,6.87,1.03,2024-06-30,,,,,,,,,,,,,,,263195468.0,263195468.0,6.62,6.62,,,,,,,,,,,,,,,,,,,,,576853140912.2793
COCHINSHIP,2024-05-24 07:00:00-04:00,5.8,10.06,73.45,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCHINSHIP,2024-01-30 08:00:00-05:00,5.75,18.86,228.0,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCHINSHIP,2023-11-07 03:00:00-05:00,4.75,7.26,52.84,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCHINSHIP,2023-05-19 09:00:00-04:00,8.3,3.71,-55.32,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCHINSHIP,2023-02-10 08:00:00-05:00,4.95,4.5,-9.09,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCHINSHIP,2022-11-10 05:00:00-05:00,4.28,4.56,6.55,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCHINSHIP,2022-08-10 08:00:00-04:00,2.65,1.86,-29.81,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCHINSHIP,2022-05-20 09:00:00-04:00,6.6,10.8,63.64,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCHINSHIP,2022-02-10 07:00:00-05:00,6.45,5.11,-20.78,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCHINSHIP,2021-11-11 08:00:00-05:00,4.72,5.17,9.31,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCHINSHIP,2021-08-10 07:00:00-04:00,3.78,1.23,-67.55,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCHINSHIP,2021-06-11 09:00:00-04:00,5.7,8.73,53.16,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCHINSHIP,2021-02-12 06:00:00-05:00,5.9,8.73,47.88,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCHINSHIP,2020-11-12 03:00:00-05:00,2.95,4.12,39.66,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
