Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
ASIANPAINT,2026-01-20 05:00:00-05:00,11.85,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIANPAINT,2025-11-12 04:00:00-05:00,9.64,10.36,7.47,2025-09-30,0.0,0.268261,17403200000.0,0.0,0.0,9935900000.0,3049300000.0,48463400000.0,17403200000.0,14353900000.0,-438700000.0,438700000.0,9935900000.0,9935900000.0,73152500000.0,959063707.0,958138862.0,10.36,10.37,9935900000.0,9935900000.0,0.0,9935900000.0,-246400000.0,10182300000.0,10182300000.0,3732900000.0,13915200000.0,1986400000.0,0.0,-438700000.0,438700000.0,11984500000.0,24689100000.0,14953300000.0,3049300000.0,3049300000.0,36673600000.0,48463400000.0,85137000000.0,85137000000.0,2248117750311.5386
ASIANPAINT,2025-07-29 04:00:00-04:00,11.02,11.47,4.12,2025-06-30,0.0,0.259599,18540800000.0,0.0,0.0,10997700000.0,3008700000.0,51230500000.0,18540800000.0,15532100000.0,-445000000.0,445000000.0,10997700000.0,10997700000.0,76003900000.0,958823017.0,958823017.0,11.47,11.47,10997700000.0,10997700000.0,0.0,10997700000.0,-172800000.0,11170500000.0,11170500000.0,3916600000.0,15087100000.0,1927900000.0,0.0,-445000000.0,445000000.0,13241000000.0,24773400000.0,14875700000.0,3008700000.0,3008700000.0,38014400000.0,51230500000.0,89244900000.0,89244900000.0,2241202921057.9756
ASIANPAINT,2025-05-08 09:00:00-04:00,11.32,8.53,-24.63,2025-03-31,7671947.175348,0.314424,11504500000.0,2256900000.0,24400000.0,6921300000.0,3011000000.0,47630900000.0,13761400000.0,10750400000.0,1270500000.0,527900000.0,6904571947.175348,6921300000.0,72044600000.0,,,,,6921300000.0,6921300000.0,0.0,6921300000.0,-87000000.0,7008300000.0,7008300000.0,3214200000.0,10222500000.0,-3106500000.0,-1799900000.0,1270500000.0,527900000.0,11429400000.0,24413700000.0,-20651400000.0,3011000000.0,2700100000.0,35843100000.0,47630900000.0,83474000000.0,83474000000.0,
ASIANPAINT,2025-02-04 03:00:00-05:00,12.36,11.58,-6.32,2024-12-31,0.0,0.256712,18295500000.0,0.0,0.0,11104800000.0,2555500000.0,49203800000.0,18295500000.0,15740000000.0,-558400000.0,558400000.0,11104800000.0,11104800000.0,71403300000.0,958963731.0,958963731.0,11.58,11.58,11104800000.0,11104800000.0,0.0,11104800000.0,-179500000.0,11284300000.0,11284300000.0,3897300000.0,15181600000.0,1430000000.0,0.0,-558400000.0,558400000.0,13811800000.0,22199500000.0,13772800000.0,2555500000.0,2555500000.0,36011300000.0,49203800000.0,85215100000.0,85215100000.0,2164354216836.4663
ASIANPAINT,2024-11-09 04:00:00-05:00,11.38,8.61,-24.33,2024-09-30,-498472985.485485,0.276714,14441800000.0,-1801400000.0,-1801400000.0,6946400000.0,2419900000.0,47543200000.0,12640400000.0,10220500000.0,-630100000.0,630100000.0,8249327014.514515,6946400000.0,70055000000.0,959447514.0,958124138.0,7.24,7.25,6946400000.0,6946400000.0,0.0,6946400000.0,9800000.0,6936600000.0,6936600000.0,2653800000.0,9590400000.0,1735500000.0,-1801400000.0,-630100000.0,630100000.0,9975200000.0,22511800000.0,13572100000.0,2419900000.0,2419900000.0,32487000000.0,47543200000.0,80030200000.0,80030200000.0,3150206903082.3545
ASIANPAINT,2024-07-17 04:00:00-04:00,14.01,12.2,-12.92,2024-06-30,,,,,,,,,,,,,,,,959000000.0,959000000.0,12.2,12.2,,,,,,,,,,,,,,,,,,,,,,,2762822340332.0312
ASIANPAINT,2024-05-09 04:00:00-04:00,14.05,13.1,-6.77,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIANPAINT,2024-01-17 04:00:00-05:00,14.17,15.1,6.6,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIANPAINT,2023-10-26 04:00:00-04:00,12.86,12.57,-2.29,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIANPAINT,2023-07-25 03:00:00-04:00,13.37,16.17,20.94,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIANPAINT,2023-05-11 04:00:00-04:00,12.04,13.06,8.43,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIANPAINT,2023-01-19 08:00:00-05:00,10.68,11.19,4.77,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIANPAINT,2022-10-20 04:00:00-04:00,9.88,8.16,-17.38,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIANPAINT,2022-07-26 04:00:00-04:00,9.16,10.79,17.8,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIANPAINT,2022-05-10 04:00:00-04:00,9.02,9.76,8.14,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIANPAINT,2022-01-20 03:00:00-05:00,10.73,10.59,-1.26,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
