Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Operating Expense,Other Operating Expenses,Total Revenue,Operating Revenue,Market Cap
PNB,2026-01-29 05:00:00-05:00,3.88,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNB,2025-10-18 04:00:00-04:00,3.69,4.27,15.63,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNB,2025-07-30 04:00:00-04:00,3.73,1.46,-60.82,2025-06-30,0.0,0.3,0.0,0.0,21198800000.0,107440000000.0,218283300000.0,325723300000.0,21198800000.0,21198800000.0,11521086957.0,11521086957.0,1.84,1.84,21198800000.0,21198800000.0,21198800000.0,-472200000.0,21671000000.0,0.0,21671000000.0,51412000000.0,69734200000.0,0.0,88527200000.0,36260300000.0,161705100000.0,161705100000.0,1273080108748.5
PNB,2025-05-06 20:00:00-04:00,3.82,3.97,4.02,2025-03-31,11774791.420102,0.289307,40700000.0,40700000.0,49892900000.0,108835900000.0,216395000000.0,325230900000.0,49863974791.420105,49892900000.0,,,,,49892900000.0,49892900000.0,49892900000.0,-218800000.0,50111700000.0,0.0,50111700000.0,18749200000.0,64807300000.0,40700000.0,91727200000.0,-12625700000.0,156671000000.0,156671000000.0,
PNB,2025-01-31 02:00:00-05:00,3.46,3.92,13.46,2024-12-31,0.0,0.341095,0.0,0.0,48010000000.0,111571200000.0,207376800000.0,318948000000.0,48010000000.0,48010000000.0,11485645933.0,11485645933.0,4.18,4.18,48010000000.0,48010000000.0,48010000000.0,-100200000.0,48110200000.0,0.0,48110200000.0,24064400000.0,70550400000.0,0.0,72922800000.0,19799600000.0,145487500000.0,145487500000.0,1147250954092.682
PNB,2024-10-28 04:00:00-04:00,3.18,3.9,22.51,2024-09-30,0.0,0.341325,0.0,0.0,47141400000.0,106570700000.0,197903500000.0,304474200000.0,47141400000.0,47141400000.0,11040140515.0,11040140515.0,4.27,4.27,47141400000.0,47141400000.0,47141400000.0,-249000000.0,47390400000.0,0.0,47390400000.0,22966500000.0,67286400000.0,0.0,84089500000.0,26106100000.0,153211200000.0,153211200000.0,1150281953613.9
PNB,2024-07-27 06:00:00-04:00,2.94,2.95,0.23,2024-06-30,0.0,0.35383,0.0,0.0,39758600000.0,106082300000.0,185363100000.0,291445400000.0,39758600000.0,39758600000.0,11013462604.0,11013462604.0,3.61,3.61,39758600000.0,39758600000.0,39758600000.0,-155200000.0,39913800000.0,0.0,39913800000.0,20349000000.0,57510700000.0,0.0,76917200000.0,30987100000.0,142235800000.0,142235800000.0,1319290595664.89
PNB,2024-05-09 04:00:00-04:00,3.11,2.73,-12.31,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNB,2024-01-25 03:00:00-05:00,2.15,2.02,-6.05,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNB,2023-10-26 04:00:00-04:00,1.7,1.59,-6.65,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNB,2023-07-26 04:00:00-04:00,2.26,1.14,-49.56,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNB,2023-05-19 05:00:00-04:00,1.19,1.05,-11.52,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNB,2023-01-30 04:00:00-05:00,1.28,0.57,-55.47,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNB,2022-11-01 04:00:00-04:00,1.26,0.37,-70.71,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNB,2022-07-28 10:00:00-04:00,0.72,0.28,-61.29,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNB,2022-05-11 10:00:00-04:00,1.02,0.18,-82.41,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNB,2022-01-28 07:00:00-05:00,0.99,1.02,3.55,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNB,2021-10-27 10:00:00-04:00,1.04,1.0,-3.61,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNB,2021-08-02 07:00:00-04:00,1.1,0.95,-13.37,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNB,2021-06-04 10:00:00-04:00,-0.77,0.56,173.04,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNB,2021-02-05 08:00:00-05:00,-0.05,0.53,1160.0,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNB,2020-11-02 07:00:00-05:00,0.04,0.66,1699.84,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
