Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
NMDC,2026-01-29 05:00:00-05:00,,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMDC,2025-10-29 04:00:00-04:00,2.2,1.98,-9.8,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMDC,2025-08-12 10:00:00-04:00,6.3,2.24,-64.44,2025-06-30,0.0,0.255525,27786000000.0,0.0,0.0,19678000000.0,1086200000.0,29515700000.0,27786000000.0,26699800000.0,-271500000.0,271500000.0,19678000000.0,19677400000.0,43689900000.0,8784553571.0,8784553571.0,2.24,2.24,19677400000.0,19677400000.0,0.0,19677400000.0,500000.0,19676900000.0,-600000.0,19677500000.0,6753100000.0,26428300000.0,3001100000.0,0.0,-271500000.0,271500000.0,23698700000.0,14174200000.0,7715600000.0,1086200000.0,1086200000.0,1255200000.0,1255200000.0,37872900000.0,29515700000.0,67388600000.0,67388600000.0,606446446422.5542
NMDC,2025-05-27 15:00:00-04:00,4.3,1.7,-60.47,2025-03-31,-9028006.997793,0.365506,25461600000.0,-24700000.0,-24700000.0,14782500000.0,1408800000.0,34370900000.0,25436900000.0,24028100000.0,11123200000.0,649300000.0,14798171993.002209,14776800000.0,50871500000.0,,,,,14776800000.0,14776800000.0,0.0,14776800000.0,9700000.0,14763300000.0,-5700000.0,14769000000.0,8545100000.0,23378800000.0,-6874700000.0,-24700000.0,11123200000.0,649300000.0,19127000000.0,16500600000.0,7826300000.0,1408800000.0,347900000.0,1763000000.0,1315200000.0,35627600000.0,34370900000.0,69998500000.0,69998500000.0,
NMDC,2025-02-06 02:00:00-05:00,4.3,2.21,-48.6,2024-12-31,0.0,0.265828,27471000000.0,0.0,0.0,18822900000.0,1026800000.0,29972100000.0,27471000000.0,26444200000.0,-605700000.0,605700000.0,18822900000.0,18819600000.0,42985000000.0,8794205607.0,8794205607.0,2.14,2.14,18819600000.0,18819600000.0,0.0,18819600000.0,19600000.0,18800000000.0,-3300000.0,18803300000.0,6868600000.0,25838500000.0,3750900000.0,0.0,-605700000.0,605700000.0,22693300000.0,13012900000.0,6268400000.0,1026800000.0,1026800000.0,1318700000.0,1318700000.0,35706200000.0,29972100000.0,65678300000.0,65678300000.0,552611007428.0319
NMDC,2024-11-11 07:00:00-05:00,1.25,1.38,10.15,2024-09-30,0.0,0.259192,17464200000.0,0.0,0.0,12117600000.0,1031200000.0,24267400000.0,17464200000.0,16433000000.0,-290900000.0,290900000.0,12117600000.0,12115700000.0,36363800000.0,8779492754.0,8779492754.0,1.38,1.38,12115700000.0,12115700000.0,0.0,12115700000.0,62700000.0,12053000000.0,-1900000.0,12054900000.0,4183900000.0,16142100000.0,3607700000.0,0.0,-290900000.0,290900000.0,12825300000.0,12096400000.0,5419300000.0,1031200000.0,1031200000.0,1457500000.0,1457500000.0,24921700000.0,24267400000.0,49189100000.0,49189100000.0,683219721543.7074
NMDC,2024-08-12 10:00:00-04:00,1.63,2.24,36.91,2024-06-30,0.0,0.247083,27047800000.0,0.0,0.0,19709900000.0,737400000.0,21287000000.0,27047800000.0,26310400000.0,-230900000.0,230900000.0,19709900000.0,19707700000.0,31480300000.0,8798080357.0,8798080357.0,2.24,2.24,19707700000.0,19707700000.0,0.0,19707700000.0,17500000.0,19690200000.0,-2200000.0,19692400000.0,6443800000.0,26079500000.0,3648800000.0,0.0,-230900000.0,230900000.0,22661600000.0,10193300000.0,4546000000.0,737400000.0,737400000.0,1020300000.0,1020300000.0,32854900000.0,21287000000.0,54141900000.0,54141900000.0,683144036411.3646
NMDC,2024-05-27 12:00:00-04:00,2.33,1.63,-29.97,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMDC,2024-02-14 06:00:00-05:00,1.72,1.91,11.33,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMDC,2023-11-14 08:00:00-05:00,1.52,1.17,-23.2,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMDC,2023-08-11 07:00:00-04:00,1.6,1.88,17.51,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMDC,2023-05-23 10:00:00-04:00,1.65,1.61,-2.14,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMDC,2023-02-14 08:00:00-05:00,1.04,1.01,-2.72,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMDC,2022-11-14 08:00:00-05:00,1.19,1.01,-15.04,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMDC,2022-08-05 06:00:00-04:00,1.4,1.64,17.13,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMDC,2022-05-26 10:00:00-04:00,2.53,2.06,-18.54,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMDC,2022-02-08 07:00:00-05:00,1.87,2.33,24.83,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
