Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
JSWENERGY,2026-01-28 05:00:00-05:00,0.87,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JSWENERGY,2025-10-17 08:00:00-04:00,5.22,4.04,-22.56,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JSWENERGY,2025-07-30 20:00:00-04:00,3.93,4.25,8.25,2025-06-30,0.0,0.176825,30595200000.0,7431200000.0,7385900000.0,16130300000.0,30595200000.0,23209300000.0,-13055200000.0,13055200000.0,7431200000.0,7431200000.0,30933000000.0,1748517647.0,1744413146.0,4.25,4.26,7431200000.0,7431200000.0,0.0,7431200000.0,-927400000.0,8358600000.0,8358600000.0,1795500000.0,10154100000.0,2678700000.0,-13055200000.0,13055200000.0,20500700000.0,14802700000.0,5829400000.0,7385900000.0,7385900000.0,35303400000.0,16130300000.0,51433700000.0,51433700000.0,910758060938.3884
JSWENERGY,2025-05-15 08:00:00-04:00,1.75,2.34,33.71,2025-03-31,0.0,0.3,14397700000.0,4080500000.0,4818600000.0,20331200000.0,14397700000.0,9579100000.0,-2755700000.0,5972000000.0,4080500000.0,4080500000.0,20267500000.0,,,,,4080500000.0,4080500000.0,0.0,4080500000.0,-64600000.0,4145100000.0,4145100000.0,-538000000.0,3607100000.0,-4623100000.0,-2755700000.0,5972000000.0,9010400000.0,-63700000.0,-6214100000.0,4818600000.0,3195300000.0,8946700000.0,20331200000.0,29277900000.0,29277900000.0,
JSWENERGY,2025-01-28 09:00:00-05:00,2.43,0.96,-60.55,2024-12-31,0.0,0.3,11200600000.0,1678300000.0,4055200000.0,10745600000.0,11200600000.0,7145400000.0,-5645000000.0,5645000000.0,1678300000.0,1678300000.0,19306700000.0,1748229167.0,1748229167.0,0.96,0.96,1678300000.0,1678300000.0,0.0,1678300000.0,103800000.0,1574500000.0,1574500000.0,-74100000.0,1500400000.0,2011600000.0,-5645000000.0,5645000000.0,5082100000.0,8561100000.0,3406400000.0,4055200000.0,4055200000.0,13643200000.0,10745600000.0,24388800000.0,24388800000.0,1119077192767.8474
JSWENERGY,2024-10-24 09:00:00-04:00,4.5,4.88,8.44,2024-09-30,0.0,0.127541,19150300000.0,8532500000.0,3918100000.0,11523300000.0,19150300000.0,15232200000.0,-5182900000.0,5182900000.0,8532500000.0,8532500000.0,19446000000.0,1748463115.0,1741326531.0,4.88,4.9,8532500000.0,8532500000.0,0.0,8532500000.0,-235100000.0,8767600000.0,8767600000.0,1281700000.0,10049300000.0,2217400000.0,-5182900000.0,5182900000.0,12930600000.0,7922700000.0,2854500000.0,3918100000.0,3918100000.0,20853300000.0,11523300000.0,32376600000.0,32376600000.0,1271454904271.0874
JSWENERGY,2024-07-19 09:00:00-04:00,1.86,3.0,61.0,2024-06-30,0.0,0.234969,15847300000.0,5217600000.0,3754500000.0,10660400000.0,15847300000.0,12092800000.0,-5110600000.0,5110600000.0,5217600000.0,5217600000.0,18371700000.0,1739200000.0,1739200000.0,3.0,3.0,5217600000.0,5217600000.0,0.0,5217600000.0,-124000000.0,5341600000.0,5341600000.0,1640600000.0,6982200000.0,1632000000.0,-5110600000.0,5110600000.0,10422900000.0,7711300000.0,2874900000.0,3754500000.0,3754500000.0,18134200000.0,10660400000.0,28794600000.0,28794600000.0,1272414069628.9062
JSWENERGY,2024-05-07 08:00:00-04:00,1.93,2.13,10.65,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JSWENERGY,2024-01-23 07:00:00-05:00,1.9,1.41,-25.79,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JSWENERGY,2023-10-20 09:00:00-04:00,3.8,5.17,36.05,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
