Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
HINDZINC,2026-01-27 05:00:00-05:00,,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDZINC,2025-10-17 10:00:00-04:00,6.1,6.23,2.13,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDZINC,2025-07-18 04:00:00-04:00,4.9,5.22,6.53,2025-06-30,0.0,0.251591,32250000000.0,0.0,0.0,22340000000.0,18100000000.0,32250000000.0,32250000000.0,-2400000000.0,2400000000.0,22340000000.0,22340000000.0,46450000000.0,4223062382.0,4223062382.0,5.29,5.29,22340000000.0,22340000000.0,0.0,22340000000.0,22340000000.0,22340000000.0,7510000000.0,29850000000.0,2790000000.0,0.0,-2400000000.0,2400000000.0,29460000000.0,28350000000.0,28230000000.0,57810000000.0,18100000000.0,75910000000.0,75910000000.0,1903967700700.2273
HINDZINC,2025-04-25 04:00:00-04:00,6.27,7.05,12.5,2025-03-31,-16478053.939714,0.205976,39260000000.0,0.0,-80000000.0,30030000000.0,65980000000.0,39180000000.0,39180000000.0,4540000000.0,1360000000.0,30030000000.0,30030000000.0,47770000000.0,,,,,30030000000.0,30030000000.0,0.0,30030000000.0,30030000000.0,30030000000.0,7790000000.0,37820000000.0,2270000000.0,-430000000.0,4540000000.0,2510000000.0,40520000000.0,-18210000000.0,-20040000000.0,69110000000.0,65980000000.0,88290000000.0,88290000000.0,
HINDZINC,2025-01-28 03:00:00-05:00,5.93,6.26,5.51,2024-12-31,0.0,0.240714,38120000000.0,0.0,0.0,26780000000.0,18960000000.0,38120000000.0,38120000000.0,-2850000000.0,2850000000.0,26780000000.0,26780000000.0,47210000000.0,4223974763.0,4223974763.0,6.34,6.34,26780000000.0,26780000000.0,0.0,26780000000.0,26780000000.0,26780000000.0,8490000000.0,35270000000.0,2180000000.0,0.0,-2850000000.0,2850000000.0,35940000000.0,28250000000.0,28810000000.0,64190000000.0,18960000000.0,83150000000.0,83150000000.0,1838882817906.4988
HINDZINC,2024-10-18 04:00:00-04:00,5.3,5.66,6.72,2024-09-30,-212936102.236422,0.25655,35160000000.0,-830000000.0,-830000000.0,23270000000.0,19930000000.0,34330000000.0,34330000000.0,-3030000000.0,3030000000.0,23887063897.763577,23270000000.0,47580000000.0,4223230490.0,4223230490.0,5.51,5.51,23270000000.0,23270000000.0,0.0,23270000000.0,23270000000.0,23270000000.0,8030000000.0,31300000000.0,2700000000.0,-830000000.0,-3030000000.0,3030000000.0,32460000000.0,27650000000.0,28260000000.0,60110000000.0,19930000000.0,80040000000.0,80040000000.0,2163619441249.8472
HINDZINC,2024-08-02 05:00:00-04:00,5.5,5.58,1.45,2024-06-30,0.0,0.246949,33700000000.0,0.0,0.0,23450000000.0,18720000000.0,33700000000.0,33700000000.0,-2560000000.0,2560000000.0,23450000000.0,23450000000.0,47910000000.0,4225225225.0,4225225225.0,5.55,5.55,23450000000.0,23450000000.0,0.0,23450000000.0,23450000000.0,23450000000.0,7690000000.0,31140000000.0,2680000000.0,0.0,-2560000000.0,2560000000.0,31020000000.0,29190000000.0,29270000000.0,60210000000.0,18720000000.0,78930000000.0,78930000000.0,2675246842525.2593
HINDZINC,2024-04-19 06:00:00-04:00,4.75,4.83,1.68,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDZINC,2024-01-19 03:00:00-05:00,4.67,4.82,3.29,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDZINC,2023-10-20 04:00:00-04:00,3.93,4.11,4.49,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDZINC,2023-07-21 04:00:00-04:00,4.43,4.66,5.11,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDZINC,2023-04-21 05:00:00-04:00,5.6,6.13,9.46,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDZINC,2023-01-19 07:00:00-05:00,4.9,5.1,4.08,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDZINC,2022-10-21 08:00:00-04:00,6.03,6.35,5.25,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDZINC,2022-07-21 04:00:00-04:00,7.13,7.32,2.62,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDZINC,2022-04-22 05:00:00-04:00,7.0,6.93,-1.0,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDZINC,2022-01-21 03:00:00-05:00,6.0,6.39,6.5,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDZINC,2021-10-22 05:00:00-04:00,4.35,4.77,9.66,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDZINC,2021-07-22 04:00:00-04:00,5.2,4.9,-5.81,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDZINC,2021-04-27 05:00:00-04:00,5.6,5.87,4.82,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDZINC,2020-10-20 06:00:00-04:00,5.0,4.59,-8.2,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDZINC,2020-07-21 05:00:00-04:00,2.6,3.22,23.85,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
