Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Write Off,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
HAVELLS,2026-01-15 05:00:00-05:00,6.9,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELLS,2025-10-17 06:00:00-04:00,5.14,5.06,-1.56,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELLS,2025-07-21 06:00:00-04:00,6.12,5.62,-8.22,2025-06-30,-9366514.103246,0.260181,5884500000.0,-36000000.0,-36000000.0,3477200000.0,1057400000.0,36310800000.0,5848500000.0,4791100000.0,-93600000.0,93600000.0,3503833485.896754,3477200000.0,50418200000.0,627653430.0,626522523.0,5.54,5.55,3477200000.0,3477200000.0,0.0,3477200000.0,1900000.0,3475300000.0,3475300000.0,1222200000.0,4697500000.0,691800000.0,-36000000.0,36000000.0,-93600000.0,93600000.0,4135300000.0,14107400000.0,6625700000.0,1057400000.0,1057400000.0,1429000000.0,1429000000.0,18242700000.0,36310800000.0,54553500000.0,54553500000.0,971799070129.34
HAVELLS,2025-04-22 07:00:00-04:00,7.4,8.33,12.57,2025-03-31,0.0,0.262366,8257700000.0,,,5178300000.0,1096600000.0,49700200000.0,8257700000.0,7161100000.0,1815800000.0,152200000.0,5178300000.0,5178300000.0,56163300000.0,,,,,5178300000.0,5178300000.0,0.0,5178300000.0,8300000.0,5170000000.0,5170000000.0,1838900000.0,7008900000.0,-2181000000.0,,,1815800000.0,152200000.0,7492500000.0,6463100000.0,-8236500000.0,1096600000.0,881400000.0,10378300000.0,9650100000.0,13955600000.0,49700200000.0,63655800000.0,63655800000.0,
HAVELLS,2025-01-16 07:00:00-05:00,5.62,4.51,-19.7,2024-12-31,0.0,0.26337,4908300000.0,,,2783000000.0,1041000000.0,32054700000.0,4908300000.0,3867300000.0,-93900000.0,93900000.0,2783000000.0,2783000000.0,45665800000.0,628216704.0,628216704.0,4.43,4.43,2783000000.0,2783000000.0,0.0,2783000000.0,3400000.0,2779600000.0,2779600000.0,993800000.0,3773400000.0,643300000.0,,,-93900000.0,93900000.0,3224000000.0,13611100000.0,6090900000.0,1041000000.0,1041000000.0,1786100000.0,1786100000.0,16835100000.0,32054700000.0,48889800000.0,48889800000.0,1045635262298.1562
HAVELLS,2024-10-17 05:00:00-04:00,5.27,4.35,-17.48,2024-09-30,0.0,0.26287,4679600000.0,-281200000.0,-281200000.0,2682300000.0,946200000.0,30074500000.0,4679600000.0,3733400000.0,-100800000.0,100800000.0,2682300000.0,2682300000.0,42588600000.0,626705607.0,626705607.0,4.28,4.28,2682300000.0,2682300000.0,0.0,2682300000.0,4600000.0,2677700000.0,2677700000.0,954900000.0,3632600000.0,928900000.0,-281200000.0,281200000.0,-100800000.0,100800000.0,2804500000.0,12514100000.0,5615300000.0,946200000.0,946200000.0,1306600000.0,1306600000.0,15318600000.0,30074500000.0,45393100000.0,45393100000.0,1253475322801.1067
HAVELLS,2024-07-18 04:00:00-04:00,7.04,6.56,-6.86,2024-06-30,-8736814.20765,0.257723,6529600000.0,-33900000.0,-33900000.0,4079000000.0,920200000.0,39565200000.0,6495700000.0,5575500000.0,-85500000.0,85500000.0,4104163185.79235,4079000000.0,53226000000.0,629475309.0,628505393.0,6.48,6.49,4079000000.0,4079000000.0,0.0,4079000000.0,3900000.0,4075100000.0,4075100000.0,1414900000.0,5490000000.0,773300000.0,-33900000.0,33900000.0,-85500000.0,85500000.0,4836100000.0,13660800000.0,6400400000.0,920200000.0,920200000.0,1723700000.0,1723700000.0,18496900000.0,39565200000.0,58062100000.0,58062100000.0,1138105959014.7607
HAVELLS,2024-04-30 06:00:00-04:00,5.85,7.16,22.39,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELLS,2024-01-23 08:00:00-05:00,5.2,4.59,-11.73,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELLS,2023-10-19 07:00:00-04:00,4.7,3.97,-15.53,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELLS,2023-07-20 03:00:00-04:00,5.3,4.59,-13.4,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELLS,2023-05-03 04:00:00-04:00,6.34,5.77,-8.99,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELLS,2023-01-19 03:00:00-05:00,4.03,4.53,12.55,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELLS,2022-10-19 08:00:00-04:00,4.35,2.98,-31.49,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELLS,2022-07-20 08:00:00-04:00,5.26,3.87,-26.43,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELLS,2022-05-04 08:00:00-04:00,5.25,5.64,7.42,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELLS,2022-01-20 07:00:00-05:00,5.43,4.88,-10.07,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELLS,2021-10-20 07:00:00-04:00,4.88,4.81,-1.34,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELLS,2021-07-21 05:00:00-04:00,2.6,3.74,43.85,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELLS,2021-05-20 07:00:00-04:00,5.48,4.83,-11.78,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELLS,2021-01-20 06:00:00-05:00,4.33,5.58,28.77,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELLS,2020-10-29 04:00:00-04:00,2.04,5.19,154.41,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELLS,2020-07-27 04:00:00-04:00,-0.53,1.01,289.38,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELLS,2020-05-12 07:00:00-04:00,3.35,2.83,-15.57,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELLS,2020-01-21 07:00:00-05:00,3.19,3.2,0.31,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
