Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
BOSCHLTD,2026-01-27 05:00:00-05:00,204.15,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSCHLTD,2025-11-11 03:00:00-05:00,204.22,187.89,-8.0,2025-09-30,0.0,0.241167,8269000000.0,0.0,0.0,5545000000.0,925000000.0,30959000000.0,8269000000.0,7344000000.0,-42000000.0,42000000.0,5545000000.0,5545000000.0,42702000000.0,29493112.0,29493112.0,188.01,188.01,5545000000.0,5545000000.0,0.0,5545000000.0,5545000000.0,5545000000.0,1761000000.0,7302000000.0,2098000000.0,0.0,,,-42000000.0,42000000.0,5246000000.0,11743000000.0,7166000000.0,925000000.0,925000000.0,16989000000.0,30959000000.0,47948000000.0,47948000000.0,1125014757240.0
BOSCHLTD,,,,,2025-06-30,1110962835.413976,0.199813,9273000000.0,5560000000.0,5560000000.0,11161000000.0,850000000.0,29856000000.0,14833000000.0,13983000000.0,-45000000.0,45000000.0,6711962835.413976,11161000000.0,42343000000.0,29494464.0,29494464.0,378.41,378.41,11161000000.0,11161000000.0,0.0,11161000000.0,11161000000.0,11161000000.0,2785000000.0,13938000000.0,2880000000.0,5560000000.0,-5560000000.0,,-45000000.0,45000000.0,5543000000.0,12487000000.0,8239000000.0,850000000.0,850000000.0,18030000000.0,29856000000.0,47886000000.0,47886000000.0,950971856743.875
BOSCHLTD,,,,,2025-03-31,1121689619.732785,0.288798,4875000000.0,3884000000.0,3884000000.0,5535000000.0,992000000.0,36523000000.0,8759000000.0,7767000000.0,3886000000.0,-17000000.0,2772689619.732785,5535000000.0,40610000000.0,,,,,5535000000.0,5535000000.0,0.0,5535000000.0,5535000000.0,5535000000.0,2248000000.0,7784000000.0,-4075000000.0,-39000000.0,17000000.0,,3886000000.0,-17000000.0,4442000000.0,4087000000.0,-11446000000.0,992000000.0,992000000.0,8529000000.0,36523000000.0,45052000000.0,45052000000.0,
BOSCHLTD,,,,,2024-12-31,-121582834.008097,0.258138,7716000000.0,-471000000.0,-471000000.0,4587000000.0,1008000000.0,27507000000.0,7245000000.0,6237000000.0,-62000000.0,62000000.0,4936417165.991903,4587000000.0,39839000000.0,29492702.0,29492702.0,155.53,155.53,4587000000.0,4587000000.0,0.0,4587000000.0,4587000000.0,4587000000.0,1594000000.0,6175000000.0,1890000000.0,-471000000.0,,471000000.0,-62000000.0,62000000.0,4818000000.0,12332000000.0,7376000000.0,1008000000.0,1008000000.0,17150000000.0,27507000000.0,44657000000.0,44657000000.0,992239678236.7422
BOSCHLTD,,,,,2024-09-30,126847182.031142,0.261541,7694000000.0,485000000.0,485000000.0,5367000000.0,900000000.0,28616000000.0,8179000000.0,7279000000.0,-22000000.0,22000000.0,5008847182.031142,5367000000.0,39238000000.0,29490631.0,29490631.0,181.99,181.99,5367000000.0,5367000000.0,0.0,5367000000.0,5367000000.0,5367000000.0,1898000000.0,7257000000.0,2089000000.0,485000000.0,-485000000.0,,-22000000.0,22000000.0,4705000000.0,10622000000.0,6285000000.0,900000000.0,900000000.0,15327000000.0,28616000000.0,43943000000.0,43943000000.0,1096294854198.4062
BOSCHLTD,,,,,2024-06-30,,,,,,,,,,,,,,,,29495857.0,29495857.0,158.09,158.09,,,,,,,,,,,,,,,,,,,,,,,,987088763269.4608
BOSCHLTD,2024-02-13 05:00:00-05:00,140.07,160.29,14.44,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSCHLTD,2023-05-10 20:00:00-04:00,144.25,135.3,-6.2,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSCHLTD,2022-05-19 04:00:00-04:00,132.0,118.9,-9.92,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
