Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Special Income Charges,Other Special Charges,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,Total Revenue,Operating Revenue,Net Policyholder Benefits And Claims,Market Cap
ICICIGI,2026-01-15 05:00:00-05:00,14.61,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICIGI,2025-10-14 08:00:00-04:00,16.23,16.35,0.74,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICIGI,2025-07-15 08:00:00-04:00,12.22,14.92,22.09,2025-06-30,0.0,0.248191,0.0,0.0,7470800000.0,7470800000.0,7470800000.0,54303200000.0,500723861.0,496069057.0,14.92,15.06,7470800000.0,7470800000.0,7470800000.0,7470800000.0,7470800000.0,2466300000.0,9937100000.0,0.0,0.0,0.0,10900000.0,,,64240300000.0,64240300000.0,32180700000.0,1008802267775.2408
ICICIGI,2025-04-15 09:00:00-04:00,12.07,10.2,-15.51,2025-03-31,-1851478.599222,0.237369,-7800000.0,-7800000.0,5095900000.0,5101848521.400778,5095900000.0,63193700000.0,,,,,5095900000.0,5095900000.0,5095900000.0,5095900000.0,5095900000.0,1586100000.0,6682000000.0,-37300000.0,-7800000.0,4200000.0,-665200000.0,2422600000.0,1006500000.0,69875500000.0,69875500000.0,46715300000.0,
ICICIGI,2025-01-17 06:00:00-05:00,11.33,14.48,27.82,2024-12-31,0.0,0.245524,0.0,0.0,7243800000.0,7243800000.0,7243800000.0,51849400000.0,500262431.0,495133288.0,14.48,14.63,7243800000.0,7243800000.0,7243800000.0,7243800000.0,7243800000.0,2357300000.0,9601100000.0,-55800000.0,0.0,0.0,-125300000.0,256500000.0,256500000.0,61607200000.0,61607200000.0,34991900000.0,879018189025.831
ICICIGI,2024-10-18 07:00:00-04:00,14.08,13.88,-1.39,2024-09-30,0.0,0.244894,0.0,0.0,6939500000.0,6939500000.0,6939500000.0,52207200000.0,499963977.0,493914591.0,13.88,14.05,6939500000.0,6939500000.0,6939500000.0,6939500000.0,6939500000.0,2250600000.0,9190100000.0,0.0,0.0,0.0,4294000000.0,792500000.0,792500000.0,61497300000.0,61497300000.0,34313000000.0,1063457803808.387
ICICIGI,2024-07-19 07:00:00-04:00,9.16,11.68,27.5,2024-06-30,0.0,0.250158,0.0,0.0,5803700000.0,5803700000.0,5803700000.0,48577500000.0,496892123.0,493092608.0,11.68,11.77,5803700000.0,5803700000.0,5803700000.0,5803700000.0,5803700000.0,1936200000.0,7739900000.0,0.0,0.0,0.0,2629600000.0,946800000.0,946800000.0,56317400000.0,56317400000.0,29033000000.0,873778459926.4688
ICICIGI,2024-04-17 08:00:00-04:00,11.13,10.47,-5.91,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICIGI,2024-01-16 08:00:00-05:00,10.23,8.73,-14.7,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICIGI,2023-10-17 20:00:00-04:00,11.56,11.7,1.22,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICIGI,2023-07-18 08:00:00-04:00,8.6,7.94,-7.73,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICIGI,2023-04-18 08:00:00-04:00,8.09,8.89,9.85,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICIGI,2023-01-17 07:00:00-05:00,7.67,7.17,-6.47,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICIGI,2022-10-18 09:00:00-04:00,8.0,12.0,50.0,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICIGI,2022-07-19 08:00:00-04:00,7.75,7.09,-8.51,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICIGI,2022-04-21 07:00:00-04:00,7.42,6.35,-14.47,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICIGI,2022-01-19 05:00:00-05:00,7.72,6.44,-16.55,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICIGI,2021-10-21 09:00:00-04:00,7.83,9.06,15.73,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICIGI,2021-07-22 09:00:00-04:00,8.95,3.32,-62.9,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICIGI,2021-04-17 07:00:00-04:00,8.27,7.57,-8.41,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
