Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Net Income From Continuing Operation Net Minority Interest,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Operating Expenses,Total Revenue,Operating Revenue,Net Policyholder Benefits And Claims,Market Cap
LICI,2026-02-05 05:00:00-05:00,17.26,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,
LICI,2025-11-06 06:00:00-05:00,12.98,15.97,23.04,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,
LICI,2025-08-07 07:00:00-04:00,18.51,17.32,-6.43,2025-06-30,0.0,0.002612,109570500000.0,109570500000.0,109570500000.0,2136002900000.0,6326241339.0,6326241339.0,17.32,17.32,109570500000.0,109570500000.0,109570500000.0,109570500000.0,0.0,109570500000.0,287000000.0,109857700000.0,0.0,40388900000.0,2250327900000.0,2250327900000.0,975509200000.0,6073633024175.991
LICI,2025-05-27 08:00:00-04:00,17.63,30.1,70.73,2025-03-31,0.0,0.000371,190386700000.0,190386700000.0,190386700000.0,2267629300000.0,,,,,190386700000.0,190386700000.0,190386700000.0,190386700000.0,0.0,190386700000.0,70700000.0,190457400000.0,-4700000.0,580483200000.0,2440588800000.0,2440588800000.0,924914800000.0,
LICI,2025-02-07 06:00:00-05:00,15.23,17.4,14.25,2024-12-31,0.0,0.000884,110086500000.0,110086500000.0,110086500000.0,1918770900000.0,6326810345.0,6326810345.0,17.4,17.4,110086500000.0,110086500000.0,110086500000.0,110086500000.0,0.0,110086500000.0,97400000.0,110183900000.0,0.0,37142600000.0,2034509900000.0,2034509900000.0,965312800000.0,5569662909718.726
LICI,2024-11-08 05:00:00-05:00,13.27,12.22,-7.91,2024-09-30,0.0,0.000827,77286800000.0,77286800000.0,77286800000.0,2239633200000.0,6324615385.0,6324615385.0,12.22,12.22,77286800000.0,77286800000.0,77286800000.0,77286800000.0,0.0,77286800000.0,64000000.0,77350800000.0,0.0,47185100000.0,2316984000000.0,2316984000000.0,980572600000.0,6285231683825.73
LICI,2024-08-08 08:00:00-04:00,16.0,16.67,4.19,2024-06-30,0.0,0.00067,105443300000.0,105443300000.0,105443300000.0,2008848700000.0,6325332933.0,6325332933.0,16.67,16.67,105443300000.0,105443300000.0,105443300000.0,105443300000.0,0.0,105443300000.0,70700000.0,105514000000.0,0.0,35768300000.0,2119258900000.0,2119258900000.0,832303100000.0,6138955670056.322
LICI,2024-05-27 09:00:00-04:00,9.35,21.79,133.05,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,
LICI,2023-11-10 06:00:00-05:00,11.98,12.7,6.01,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,
LICI,2023-08-10 08:00:00-04:00,12.0,15.23,26.92,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,
LICI,2023-05-24 10:00:00-04:00,1.39,20.86,1400.72,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,
LICI,2023-02-09 08:00:00-05:00,9.25,10.04,8.54,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,
LICI,2022-11-11 08:00:00-05:00,1.91,25.07,1212.57,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,
LICI,2022-08-12 08:00:00-04:00,2.51,0.95,-62.15,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,
