Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
LT,2026-01-29 05:00:00-05:00,36.51,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT,2025-10-29 07:00:00-04:00,29.07,28.53,-1.86,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT,2025-07-29 07:00:00-04:00,26.58,26.29,-1.1,2025-06-30,0.0,0.261789,76744400000.0,0.0,0.0,36171900000.0,10333000000.0,419371700000.0,76744400000.0,66411400000.0,-7816100000.0,7816100000.0,36171900000.0,36171900000.0,583945600000.0,1375880563.0,1375357414.0,26.29,26.3,36171900000.0,36171900000.0,0.0,36171900000.0,-7009800000.0,43181700000.0,43181700000.0,15339600000.0,58595300000.0,13567800000.0,0.0,-7816100000.0,7816100000.0,52843600000.0,164573900000.0,10333000000.0,10333000000.0,27856500000.0,27856500000.0,,217417500000.0,419371700000.0,636789200000.0,636789200000.0,5047286705053.324
LT,2025-05-08 09:00:00-04:00,37.08,37.31,0.61,2025-03-31,-6195925408.970779,0.234661,124262500000.0,-26403700000.0,-26403700000.0,54972600000.0,10294600000.0,509345900000.0,97858800000.0,87564200000.0,14062900000.0,7424000000.0,75180374591.02922,54972600000.0,615175100000.0,,,,,54972600000.0,54972600000.0,0.0,54972600000.0,-6585600000.0,61558200000.0,61558200000.0,18805800000.0,80140200000.0,-24809200000.0,-40194100000.0,14062900000.0,7424000000.0,113489600000.0,105829200000.0,10294600000.0,1052200000.0,-24042400000.0,-79963800000.0,-28721900000.0,219318800000.0,509345900000.0,728664700000.0,728664700000.0,
LT,2025-01-30 06:00:00-05:00,30.88,24.41,-20.94,2024-12-31,0.0,0.249764,72227400000.0,0.0,0.0,33588400000.0,10470000000.0,436152100000.0,72227400000.0,61757400000.0,-8427100000.0,8427100000.0,33588400000.0,33588400000.0,594599100000.0,1376009832.0,1374883340.0,24.41,24.43,33588400000.0,33588400000.0,0.0,33588400000.0,-6151400000.0,39739800000.0,39739800000.0,13320000000.0,53330300000.0,9678700000.0,0.0,-8427100000.0,8427100000.0,52078700000.0,158447000000.0,10470000000.0,10470000000.0,28855100000.0,28855100000.0,28855100000.0,210525700000.0,436152100000.0,646677800000.0,646677800000.0,4914265729187.651
LT,2024-10-30 08:00:00-04:00,25.85,24.68,-4.53,2024-09-30,0.0,0.259632,74633100000.0,0.0,0.0,33952900000.0,10238400000.0,410125300000.0,74633100000.0,64394700000.0,-8843800000.0,8843800000.0,33952900000.0,33952900000.0,562163800000.0,1375725284.0,1375168084.0,24.68,24.69,33952900000.0,33952900000.0,0.0,33952900000.0,-7035500000.0,40988400000.0,40988400000.0,14422800000.0,55550900000.0,11012700000.0,0.0,-8843800000.0,8843800000.0,53382000000.0,152038500000.0,10238400000.0,10238400000.0,27243600000.0,27243600000.0,27243600000.0,205420500000.0,410125300000.0,615545800000.0,615545800000.0,5007794770799.592
LT,2024-07-24 07:00:00-04:00,23.72,20.25,-14.64,2024-06-30,0.0,0.264407,65359300000.0,0.0,0.0,27857200000.0,9979200000.0,356065500000.0,65359300000.0,55380100000.0,-8613600000.0,8613600000.0,27857200000.0,27857200000.0,505024500000.0,1375664198.0,1374985192.0,20.25,20.26,27857200000.0,27857200000.0,0.0,27857200000.0,-6589600000.0,34446800000.0,34446800000.0,12365400000.0,46766500000.0,9206400000.0,0.0,-8613600000.0,8613600000.0,46173700000.0,148959000000.0,9979200000.0,9979200000.0,28544600000.0,28544600000.0,28544600000.0,195132700000.0,356065500000.0,551198200000.0,551198200000.0,4833982669086.621
LT,2024-05-08 07:00:00-04:00,32.09,31.27,-2.56,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT,2024-01-30 07:00:00-05:00,25.71,21.42,-16.67,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT,2023-10-31 09:00:00-04:00,20.33,22.92,12.73,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
