Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
DIVISLAB,2026-02-02 05:00:00-05:00,23.51,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVISLAB,2025-11-07 01:00:00-05:00,22.4,25.97,15.92,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVISLAB,2025-08-06 02:00:00-04:00,22.43,20.49,-8.65,2025-06-30,0.0,0.25648,8480000000.0,0.0,0.0,5450000000.0,1120000000.0,9560000000.0,8480000000.0,7360000000.0,-30000000.0,30000000.0,5450000000.0,5450000000.0,17930000000.0,265983407.0,265983407.0,20.49,20.49,5450000000.0,5450000000.0,0.0,5450000000.0,0.0,5450000000.0,5450000000.0,1880000000.0,7330000000.0,800000000.0,0.0,-30000000.0,30000000.0,6170000000.0,8370000000.0,3850000000.0,1120000000.0,1120000000.0,14540000000.0,9560000000.0,24100000000.0,24100000000.0,1803004239894.8735
DIVISLAB,2025-05-17 03:00:00-04:00,22.2,24.93,12.3,2025-03-31,2337962.962963,0.233796,9710000000.0,10000000.0,10000000.0,6620000000.0,1070000000.0,11260000000.0,9720000000.0,8650000000.0,2930000000.0,10000000.0,6612337962.962963,6620000000.0,17660000000.0,,,,,6620000000.0,6620000000.0,0.0,6620000000.0,0.0,6620000000.0,6620000000.0,2020000000.0,8640000000.0,-2240000000.0,-40000000.0,2930000000.0,10000000.0,7840000000.0,6400000000.0,-1050000000.0,1070000000.0,1040000000.0,14240000000.0,11260000000.0,25500000000.0,25500000000.0,
DIVISLAB,2025-02-03 02:00:00-05:00,18.9,22.39,18.46,2024-12-31,0.0,0.188705,8250000000.0,0.0,0.0,5890000000.0,990000000.0,9220000000.0,8250000000.0,7260000000.0,0.0,0.0,5890000000.0,5890000000.0,16750000000.0,265315315.0,265315315.0,22.2,22.2,5890000000.0,5890000000.0,0.0,5890000000.0,0.0,5890000000.0,5890000000.0,1370000000.0,7260000000.0,720000000.0,0.0,0.0,0.0,6440000000.0,7530000000.0,3570000000.0,990000000.0,990000000.0,13970000000.0,9220000000.0,23190000000.0,23190000000.0,1610770473785.9814
DIVISLAB,2024-11-09 02:00:00-05:00,18.58,19.2,3.36,2024-09-30,0.0,0.293629,8220000000.0,0.0,0.0,5100000000.0,990000000.0,9690000000.0,8220000000.0,7230000000.0,-10000000.0,10000000.0,5100000000.0,5100000000.0,17210000000.0,265625000.0,265625000.0,19.2,19.2,5100000000.0,5100000000.0,0.0,5100000000.0,0.0,5100000000.0,5100000000.0,2120000000.0,7220000000.0,770000000.0,0.0,-10000000.0,10000000.0,6170000000.0,7520000000.0,3490000000.0,990000000.0,990000000.0,13690000000.0,9690000000.0,23380000000.0,23380000000.0,1439336013793.9453
DIVISLAB,2024-08-03 02:00:00-04:00,17.74,16.2,-8.7,2024-06-30,0.0,0.288079,7010000000.0,0.0,0.0,4300000000.0,970000000.0,8530000000.0,7010000000.0,6040000000.0,0.0,0.0,4300000000.0,4300000000.0,12420000000.0,265432099.0,265432099.0,16.2,16.2,4300000000.0,4300000000.0,0.0,4300000000.0,0.0,4300000000.0,4300000000.0,1740000000.0,6040000000.0,-2710000000.0,0.0,0.0,0.0,8760000000.0,3890000000.0,,970000000.0,970000000.0,12650000000.0,8530000000.0,21180000000.0,21180000000.0,1207106515703.1265
DIVISLAB,2024-05-25 03:00:00-04:00,15.9,20.25,27.38,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVISLAB,2024-02-10 01:00:00-05:00,15.84,13.5,-14.75,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIVISLAB,2023-11-06 01:00:00-05:00,15.57,13.11,-15.81,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
