Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
JSWSTEEL,2026-01-23 05:00:00-05:00,12.69,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JSWSTEEL,2025-10-17 05:00:00-04:00,7.3,6.11,-16.3,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JSWSTEEL,2025-07-18 05:00:00-04:00,8.59,8.93,3.96,2025-06-30,0.0,0.280924,78260000000.0,0.0,0.0,21840000000.0,25370000000.0,229970000000.0,78260000000.0,52890000000.0,-22170000000.0,22170000000.0,21840000000.0,21840000000.0,374210000000.0,2445688690.0,2440223464.0,8.93,8.95,21840000000.0,21840000000.0,0.0,21840000000.0,-250000000.0,22090000000.0,22090000000.0,8630000000.0,30720000000.0,3500000000.0,0.0,,-22170000000.0,22170000000.0,50390000000.0,144240000000.0,112560000000.0,25370000000.0,25370000000.0,194630000000.0,229970000000.0,424600000000.0,424600000000.0,2483560218217.3228
JSWSTEEL,2025-05-23 06:00:00-04:00,4.91,5.98,21.87,2025-03-31,-170757225.433526,0.13237,59010000000.0,-1290000000.0,-1290000000.0,15030000000.0,24970000000.0,344490000000.0,57720000000.0,32750000000.0,-12650000000.0,15450000000.0,16149242774.566477,15030000000.0,398970000000.0,,,,,15030000000.0,15030000000.0,0.0,15030000000.0,20000000.0,15010000000.0,15010000000.0,2290000000.0,17300000000.0,-3910000000.0,-1760000000.0,1760000000.0,-12650000000.0,15450000000.0,44440000000.0,54480000000.0,-71690000000.0,24970000000.0,22740000000.0,98920000000.0,344490000000.0,443410000000.0,443410000000.0,
JSWSTEEL,2025-01-24 05:00:00-05:00,2.1,2.93,39.52,2024-12-31,-401332767.402377,0.389643,57320000000.0,-1030000000.0,-1030000000.0,7170000000.0,23360000000.0,245100000000.0,56290000000.0,32930000000.0,-21150000000.0,21150000000.0,7798667232.597623,7170000000.0,375500000000.0,2447098976.0,2438775510.0,2.93,2.94,7170000000.0,7170000000.0,0.0,7170000000.0,-20000000.0,7190000000.0,7190000000.0,4590000000.0,11780000000.0,1470000000.0,-1030000000.0,1030000000.0,-21150000000.0,21150000000.0,32430000000.0,130400000000.0,101400000000.0,23360000000.0,23360000000.0,162830000000.0,245100000000.0,407930000000.0,407930000000.0,2192651647890.295
JSWSTEEL,2024-10-25 04:00:00-04:00,3.53,3.2,-9.28,2024-09-30,-1026000000.0,0.3,55280000000.0,-3420000000.0,-3420000000.0,4390000000.0,22670000000.0,229050000000.0,51860000000.0,29190000000.0,-21300000000.0,21300000000.0,6784000000.0,4390000000.0,359340000000.0,2438888889.0,2438888889.0,1.8,1.8,4390000000.0,4390000000.0,0.0,4390000000.0,350000000.0,4040000000.0,4040000000.0,3850000000.0,7890000000.0,1530000000.0,-3420000000.0,3420000000.0,-21300000000.0,21300000000.0,31700000000.0,130290000000.0,101220000000.0,22670000000.0,22670000000.0,161990000000.0,229050000000.0,391040000000.0,391040000000.0,2505430780821.608
JSWSTEEL,2024-07-19 08:00:00-04:00,3.8,4.93,29.74,2024-06-30,0.0,0.371739,56620000000.0,0.0,0.0,8450000000.0,22090000000.0,258300000000.0,56620000000.0,34530000000.0,-20730000000.0,20730000000.0,8450000000.0,8450000000.0,390360000000.0,2449275362.0,2435158501.0,3.45,3.47,8450000000.0,8450000000.0,0.0,8450000000.0,-220000000.0,8670000000.0,8670000000.0,5130000000.0,13800000000.0,1640000000.0,0.0,,-20730000000.0,20730000000.0,33010000000.0,132060000000.0,103550000000.0,22090000000.0,22090000000.0,165070000000.0,258300000000.0,423370000000.0,423370000000.0,2244674677813.4097
JSWSTEEL,2024-05-17 06:00:00-04:00,6.95,5.31,-23.63,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JSWSTEEL,2024-01-25 04:00:00-05:00,9.74,9.88,1.42,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JSWSTEEL,2023-10-20 05:00:00-04:00,11.31,9.87,-12.78,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
