Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
INDIGO,2026-01-23 05:00:00-05:00,88.3,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIGO,2025-11-04 07:00:00-05:00,-26.12,-67.63,-158.87,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIGO,2025-07-29 20:00:00-04:00,63.2,55.84,-11.65,2025-06-30,0.0,0.058164,37068000000.0,,,21763000000.0,157427000000.0,37068000000.0,37068000000.0,-13961000000.0,13961000000.0,21763000000.0,21763000000.0,176885000000.0,35630000000.0,386966572.0,386485527.0,56.24,56.31,21763000000.0,21763000000.0,0.0,21763000000.0,0.0,21763000000.0,21763000000.0,1344000000.0,23107000000.0,10463000000.0,,-13961000000.0,13961000000.0,28078000000.0,19458000000.0,19458000000.0,47536000000.0,157427000000.0,204963000000.0,204963000000.0,2305934004240.977
INDIGO,2025-05-21 06:00:00-04:00,63.7,79.43,24.69,2025-03-31,0.0,0.032151,45436000000.0,,,30675000000.0,183840000000.0,45436000000.0,45436000000.0,2029000000.0,13742000000.0,30675000000.0,30675000000.0,154114000000.0,40316000000.0,,,,,30675000000.0,30675000000.0,0.0,30675000000.0,0.0,30675000000.0,30675000000.0,1019000000.0,31694000000.0,-21769000000.0,,2029000000.0,13742000000.0,35562000000.0,-29726000000.0,-8153000000.0,5836000000.0,183840000000.0,189676000000.0,189676000000.0,
INDIGO,2025-01-24 05:00:00-05:00,68.7,63.12,-8.12,2024-12-31,0.0,0.030984,38352000000.0,,,24488000000.0,158110000000.0,38352000000.0,38352000000.0,-13081000000.0,13081000000.0,24488000000.0,24488000000.0,177012000000.0,36165000000.0,386856240.0,386367939.0,63.3,63.38,24488000000.0,24488000000.0,0.0,24488000000.0,0.0,24488000000.0,24488000000.0,783000000.0,25271000000.0,8821000000.0,,-13081000000.0,13081000000.0,44095000000.0,18902000000.0,18902000000.0,62997000000.0,158110000000.0,221107000000.0,221107000000.0,1756647680565.6694
INDIGO,2024-10-25 06:00:00-04:00,-12.72,-25.6,-101.18,2024-09-30,0.0,0.3,3330000000.0,,,-9867000000.0,155163000000.0,3330000000.0,3330000000.0,-12401000000.0,12401000000.0,-9867000000.0,-9867000000.0,171854000000.0,35082000000.0,386183953.0,386183953.0,-25.55,-25.55,-9867000000.0,-9867000000.0,0.0,-9867000000.0,0.0,-9867000000.0,-9867000000.0,796000000.0,-9071000000.0,7894000000.0,,-12401000000.0,12401000000.0,-2158000000.0,16691000000.0,16691000000.0,14533000000.0,155163000000.0,169696000000.0,169696000000.0,1845717364670.225
INDIGO,2024-07-26 06:00:00-04:00,55.5,70.51,27.05,2024-06-30,0.0,0.026819,39616000000.0,0.0,0.0,27288000000.0,146486000000.0,39616000000.0,39616000000.0,-11576000000.0,11576000000.0,27288000000.0,27288000000.0,162298000000.0,32274000000.0,386679892.0,385968883.0,70.57,70.7,27288000000.0,27288000000.0,0.0,27288000000.0,0.0,27288000000.0,27288000000.0,752000000.0,28040000000.0,6782000000.0,0.0,-11576000000.0,11576000000.0,33409000000.0,15812000000.0,15812000000.0,49221000000.0,146486000000.0,195707000000.0,195707000000.0,1629219697410.108
INDIGO,2024-05-23 06:00:00-04:00,39.17,49.0,25.11,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIGO,2024-02-02 05:00:00-05:00,66.6,77.59,16.5,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIGO,2023-11-03 06:00:00-04:00,-22.02,4.86,122.07,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIGO,2023-08-02 06:00:00-04:00,46.35,79.94,72.47,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIGO,2023-05-18 08:00:00-04:00,41.3,23.73,-42.54,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIGO,2023-02-03 06:00:00-05:00,23.3,36.74,57.68,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIGO,2022-11-04 06:00:00-04:00,-5.6,-41.14,-634.64,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIGO,2022-08-03 06:00:00-04:00,-32.65,-27.67,15.25,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIGO,2022-05-25 06:00:00-04:00,-15.45,-43.61,-182.27,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIGO,2022-02-04 07:00:00-05:00,-13.0,3.33,125.62,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIGO,2021-10-28 07:00:00-04:00,-50.47,-37.41,25.87,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIGO,2021-07-27 06:00:00-04:00,-61.6,-82.6,-34.09,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIGO,2021-06-05 10:00:00-04:00,-21.0,-30.12,-43.43,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIGO,2021-01-28 05:00:00-05:00,-17.95,-16.28,9.3,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIGO,2020-10-29 06:00:00-04:00,-36.83,-31.05,15.7,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIGO,2020-07-29 06:00:00-04:00,-58.0,-74.05,-27.67,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIGO,2020-06-02 06:00:00-04:00,-21.55,-22.7,-5.34,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIGO,2020-01-27 05:00:00-05:00,10.5,12.74,21.33,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
