Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Write Off,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
PIIND,2026-02-05 05:00:00-05:00,26.58,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIIND,2025-11-11 05:00:00-05:00,22.86,26.98,18.04,2025-09-30,-16120312.202551,0.220826,6332000000.0,-73000000.0,-73000000.0,4093000000.0,980000000.0,8004000000.0,6259000000.0,5279000000.0,-26000000.0,26000000.0,4149879687.797449,4093000000.0,14217000000.0,151704967.0,151704967.0,26.98,26.98,4093000000.0,4093000000.0,0.0,4093000000.0,4093000000.0,4093000000.0,1160000000.0,5253000000.0,825000000.0,-73000000.0,73000000.0,-26000000.0,26000000.0,4506000000.0,6213000000.0,3028000000.0,980000000.0,980000000.0,10719000000.0,8004000000.0,18723000000.0,18723000000.0,533015401554.5
PIIND,2025-08-12 09:00:00-04:00,30.3,26.36,-13.0,2025-06-30,-17991722.506898,0.211667,6163000000.0,-85000000.0,-85000000.0,4000000000.0,965000000.0,8091000000.0,6078000000.0,5113000000.0,-39000000.0,39000000.0,4067008277.493102,4000000000.0,14694000000.0,151745068.0,151687524.0,26.36,26.37,4000000000.0,4000000000.0,0.0,4000000000.0,4000000000.0,4000000000.0,1074000000.0,5074000000.0,859000000.0,-85000000.0,85000000.0,-39000000.0,39000000.0,4311000000.0,6603000000.0,3315000000.0,965000000.0,965000000.0,10914000000.0,8091000000.0,19005000000.0,19005000000.0,621107601598.0605
PIIND,2025-05-19 10:00:00-04:00,24.3,21.78,-10.36,2025-03-31,93181860.249884,0.235308,4907000000.0,396000000.0,396000000.0,3305000000.0,902000000.0,8399000000.0,5303000000.0,4401000000.0,1918000000.0,79000000.0,3002181860.249884,3305000000.0,12955000000.0,,,,,3305000000.0,3305000000.0,0.0,3305000000.0,3305000000.0,3305000000.0,1017000000.0,4322000000.0,-2284000000.0,-156000000.0,123000000.0,1918000000.0,79000000.0,4172000000.0,4556000000.0,-955000000.0,902000000.0,476000000.0,8728000000.0,8399000000.0,17127000000.0,17127000000.0,
PIIND,2025-02-06 07:00:00-05:00,26.11,24.55,-5.98,2024-12-31,-2920740.586644,0.224672,5894000000.0,-13000000.0,-13000000.0,3727000000.0,991000000.0,8990000000.0,5881000000.0,4890000000.0,-83000000.0,83000000.0,3737079259.413356,3727000000.0,14866000000.0,151812627.0,151812627.0,24.55,24.55,3727000000.0,3727000000.0,0.0,3727000000.0,3727000000.0,3727000000.0,1080000000.0,4807000000.0,759000000.0,-13000000.0,13000000.0,-83000000.0,83000000.0,4142000000.0,5876000000.0,2975000000.0,991000000.0,991000000.0,10018000000.0,8990000000.0,19008000000.0,19008000000.0,557120577559.3997
PIIND,2024-11-13 06:00:00-05:00,30.94,33.5,8.27,2024-09-30,-58779722.389861,0.233253,7763000000.0,-252000000.0,-252000000.0,5082000000.0,798000000.0,10714000000.0,7511000000.0,6713000000.0,-85000000.0,85000000.0,5275220277.610139,5082000000.0,16474000000.0,151701493.0,151656222.0,33.5,33.51,5082000000.0,5082000000.0,0.0,5082000000.0,5082000000.0,5082000000.0,1546000000.0,6628000000.0,1222000000.0,-252000000.0,252000000.0,-85000000.0,85000000.0,5736000000.0,5760000000.0,3006000000.0,798000000.0,798000000.0,11496000000.0,10714000000.0,22210000000.0,22210000000.0,703035221625.1143
PIIND,2024-08-06 09:00:00-04:00,26.13,29.59,13.23,2024-06-30,,,,,,,,,,,,,,,,151672862.0,151672862.0,29.59,29.59,,,,,,,,,,,,,,,,,,,,,,,572493883336.9229
PIIND,2024-05-21 12:00:00-04:00,25.94,24.35,-6.13,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIIND,2024-02-09 05:00:00-05:00,24.18,29.58,22.33,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIIND,2023-11-08 10:00:00-05:00,27.69,31.66,14.35,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
