Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
HINDPETRO,2026-01-22 05:00:00-05:00,17.27,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDPETRO,2025-10-29 09:00:00-04:00,13.85,18.14,30.97,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDPETRO,2025-08-07 07:00:00-04:00,23.55,20.54,-12.79,2025-06-30,0.0,0.258841,63637300000.0,0.0,0.0,41109300000.0,992253600000.0,63637300000.0,63637300000.0,-8171100000.0,8171100000.0,41109300000.0,41109300000.0,995771100000.0,2127810559.0,2127810559.0,19.32,19.32,41109300000.0,41109300000.0,0.0,41109300000.0,41109300000.0,41109300000.0,14356900000.0,55466200000.0,-41422200000.0,0.0,-8171100000.0,8171100000.0,106905800000.0,3517500000.0,,110423300000.0,992253600000.0,1102676900000.0,1102676900000.0,898914116281.2903
HINDPETRO,2025-05-06 11:00:00-04:00,6.65,16.06,141.48,2025-03-31,23137644.422724,0.212662,49106500000.0,108800000.0,108800000.0,34154400000.0,1006372900000.0,49215300000.0,49215300000.0,8529700000.0,5835700000.0,34068737644.42273,34154400000.0,1198548000000.0,,,,,34154400000.0,34154400000.0,0.0,34154400000.0,34154400000.0,34154400000.0,9225200000.0,43379600000.0,139679100000.0,-167700000.0,8529700000.0,5835700000.0,-107943200000.0,192175100000.0,,84231900000.0,1006372900000.0,1090604800000.0,1090604800000.0,
HINDPETRO,2025-01-23 07:00:00-05:00,14.13,14.2,0.48,2024-12-31,0.0,0.275037,44393600000.0,0.0,0.0,25436500000.0,999533700000.0,44393600000.0,44393600000.0,-9307000000.0,9307000000.0,25436500000.0,25436500000.0,1056409200000.0,2128577406.0,2128577406.0,11.95,11.95,25436500000.0,25436500000.0,0.0,25436500000.0,25436500000.0,25436500000.0,9650100000.0,35086600000.0,4623400000.0,0.0,-9307000000.0,9307000000.0,44415200000.0,56875500000.0,52491200000.0,101290700000.0,999533700000.0,1100824400000.0,1100824400000.0,839090436150.9935
HINDPETRO,2024-10-25 04:00:00-04:00,16.59,0.67,-95.96,2024-09-30,0.0,0.3,12926800000.0,0.0,0.0,1426700000.0,934609300000.0,12926800000.0,12926800000.0,-9444900000.0,9444900000.0,1426700000.0,1426700000.0,983059500000.0,2129402985.0,2129402985.0,0.67,0.67,1426700000.0,1426700000.0,0.0,1426700000.0,1426700000.0,1426700000.0,2055200000.0,3481900000.0,5262300000.0,0.0,-9444900000.0,9444900000.0,11584700000.0,48450200000.0,45757400000.0,60034900000.0,934609300000.0,994644200000.0,994644200000.0,904720865492.3574
HINDPETRO,2024-07-29 09:00:00-04:00,5.0,1.67,-66.6,2024-06-30,0.0,0.212565,15384800000.0,0.0,0.0,6339400000.0,1079770100000.0,15384800000.0,15384800000.0,-7334100000.0,7334100000.0,6339400000.0,6339400000.0,1127638500000.0,2127315436.0,2127315436.0,2.98,2.98,6339400000.0,6339400000.0,0.0,6339400000.0,6339400000.0,6339400000.0,1711300000.0,8050700000.0,4991800000.0,0.0,-7334100000.0,7334100000.0,6232800000.0,47868400000.0,45317000000.0,54101200000.0,1079770100000.0,1133871300000.0,1133871300000.0,662078368909.769
HINDPETRO,2024-05-09 05:00:00-04:00,25.51,12.73,-50.1,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDPETRO,2024-01-25 02:00:00-05:00,4.25,2.49,-41.5,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDPETRO,2023-11-06 09:00:00-05:00,6.42,27.39,326.36,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDPETRO,2023-08-02 09:00:00-04:00,22.17,29.15,31.53,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDPETRO,2023-05-12 09:00:00-04:00,12.38,15.15,22.32,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDPETRO,2023-02-09 07:00:00-05:00,4.4,0.81,-81.5,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDPETRO,2022-11-03 04:00:00-04:00,-21.79,-10.21,53.12,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDPETRO,2022-08-06 05:00:00-04:00,-14.12,-47.92,-239.32,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDPETRO,2022-05-19 08:00:00-04:00,6.35,8.44,32.84,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
