Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
WIPRO,2026-01-16 05:00:00-05:00,3.19,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIPRO,2025-10-16 09:00:00-04:00,3.12,3.09,-0.85,2025-09-30,479941154.492808,0.238184,49666000000.0,2015000000.0,2015000000.0,32462000000.0,6917000000.0,159832000000.0,51681000000.0,44764000000.0,3386000000.0,1940000000.0,6998000000.0,30926941154.49281,32462000000.0,189702000000.0,37829000000.0,,,,,32462000000.0,32462000000.0,32462000000.0,-162000000.0,32624000000.0,32624000000.0,10200000000.0,42824000000.0,2167000000.0,152000000.0,2015000000.0,3386000000.0,1672000000.0,1940000000.0,6998000000.0,37271000000.0,29870000000.0,29870000000.0,14920000000.0,14950000000.0,14950000000.0,67141000000.0,159832000000.0,226973000000.0,226973000000.0,
WIPRO,2025-07-17 06:00:00-04:00,3.08,3.17,3.0,2025-06-30,708294295.84576,0.216471,48429000000.0,3272000000.0,3272000000.0,33304000000.0,6855000000.0,157247000000.0,51701000000.0,44846000000.0,3719000000.0,2263000000.0,7327000000.0,30740294295.84576,33304000000.0,185804000000.0,35724000000.0,10492102015.0,10472085808.0,3.17,3.18,33304000000.0,33304000000.0,33304000000.0,-61000000.0,33365000000.0,33365000000.0,9218000000.0,42583000000.0,3322000000.0,50000000.0,3272000000.0,3719000000.0,1345000000.0,2263000000.0,7327000000.0,35542000000.0,28557000000.0,28557000000.0,15285000000.0,13272000000.0,13272000000.0,64099000000.0,157247000000.0,221346000000.0,221346000000.0,2731635337783.223
WIPRO,2025-04-16 06:00:00-04:00,3.16,3.39,7.16,2025-03-31,1233792599.620493,0.243496,40607000000.0,5067000000.0,5067000000.0,35696000000.0,,155525000000.0,45674000000.0,45674000000.0,3762000000.0,-1756000000.0,7529000000.0,31862792599.620495,35696000000.0,186732000000.0,39087000000.0,10490716219.0,10462328534.0,3.39,,35696000000.0,35696000000.0,35696000000.0,-185000000.0,35881000000.0,35881000000.0,11549000000.0,47430000000.0,5358000000.0,291000000.0,4514000000.0,3762000000.0,,-1756000000.0,7529000000.0,38310000000.0,31207000000.0,22598000000.0,-41393000000.0,63991000000.0,-16686000000.0,69517000000.0,155525000000.0,225042000000.0,225042000000.0,2690818434029.5337
WIPRO,2025-01-17 05:00:00-05:00,2.86,3.2,12.0,2024-12-31,644156917.342196,0.243999,46039000000.0,2640000000.0,2640000000.0,33538000000.0,,153922000000.0,48679000000.0,48679000000.0,3332000000.0,4146000000.0,7478000000.0,31542156917.342197,33538000000.0,184632000000.0,38966000000.0,10482964010.0,10457414881.0,3.2,3.21,33538000000.0,33538000000.0,33538000000.0,-129000000.0,33667000000.0,33667000000.0,10866000000.0,44533000000.0,2645000000.0,5000000.0,2640000000.0,3332000000.0,,4146000000.0,7478000000.0,38556000000.0,30710000000.0,30710000000.0,16081000000.0,14629000000.0,14629000000.0,69266000000.0,153922000000.0,223188000000.0,223188000000.0,3035364558457.618
WIPRO,2024-10-17 06:00:00-04:00,2.86,3.06,6.84,2024-09-30,546266211.604096,0.245734,51150000000.0,2223000000.0,2223000000.0,32088000000.0,8308000000.0,155049000000.0,53373000000.0,45065000000.0,3007000000.0,2287000000.0,6576000000.0,30411266211.604095,32088000000.0,185471000000.0,37149000000.0,10482157874.0,10453511270.0,3.06,3.07,32088000000.0,32088000000.0,32088000000.0,-178000000.0,32266000000.0,32266000000.0,10512000000.0,42778000000.0,2226000000.0,3000000.0,2223000000.0,3007000000.0,,2287000000.0,6576000000.0,37545000000.0,30422000000.0,30422000000.0,17388000000.0,13034000000.0,13034000000.0,67967000000.0,155049000000.0,223016000000.0,223016000000.0,2721359577409.506
WIPRO,2024-07-19 06:00:00-04:00,2.83,2.87,1.08,2024-06-30,,,,,,,7289000000.0,,,,,,,,,,,10473536226.0,10451552512.0,2.87,2.87,,,,,,,,,,,,,1265000000.0,,,,,,,,,,,,,2587181225601.0234
WIPRO,2024-04-19 06:00:00-04:00,2.68,2.71,0.83,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIPRO,2024-01-12 05:00:00-05:00,2.52,2.58,2.26,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIPRO,2023-10-18 09:00:00-04:00,2.72,2.52,-7.33,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
