Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Total Revenue,Operating Revenue,Market Cap
LTF,2026-01-19 05:00:00-05:00,2.84,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTF,2025-10-15 10:00:00-04:00,2.98,2.93,-1.51,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTF,2025-07-19 15:00:00-04:00,2.71,2.8,3.23,2025-06-30,0.0,0.256971,0.0,0.0,7011000000.0,406900000.0,22787600000.0,16357400000.0,39145000000.0,7011000000.0,7011000000.0,2503928571.0,2495017794.0,2.8,2.81,7011000000.0,7011000000.0,7011000000.0,2600000.0,7008400000.0,7008400000.0,2423800000.0,9432200000.0,0.0,-36400000.0,10486000000.0,4557200000.0,406900000.0,406900000.0,25341200000.0,25341200000.0,513998602036.39795
LTF,2025-04-25 09:00:00-04:00,2.51,2.54,1.2,2025-03-31,-1011103.386632,0.210647,-4800000.0,-4800000.0,6361700000.0,409800000.0,21500500000.0,15998300000.0,37498800000.0,6365488896.613368,6361700000.0,,,,,6361700000.0,6361700000.0,6361700000.0,3300000.0,6358400000.0,6358400000.0,1696800000.0,8055200000.0,-4800000.0,-385300000.0,10029000000.0,-3096200000.0,409800000.0,-375500000.0,23326000000.0,23326000000.0,
LTF,2025-01-20 08:00:00-05:00,2.36,2.5,5.93,2024-12-31,0.0,0.240624,0.0,0.0,6264000000.0,361900000.0,22371400000.0,15692400000.0,38063800000.0,6264000000.0,6264000000.0,2505600000.0,2495617530.0,2.5,2.51,6264000000.0,6264000000.0,6264000000.0,7500000.0,6256500000.0,6256500000.0,1982500000.0,8239000000.0,0.0,1276900000.0,10577800000.0,4423100000.0,361900000.0,361900000.0,26106400000.0,26106400000.0,333139959708.43506
LTF,2024-10-17 20:00:00-04:00,2.79,2.78,-0.37,2024-09-30,0.0,0.258512,0.0,0.0,6955800000.0,332900000.0,21781300000.0,14762800000.0,36544100000.0,6955800000.0,6955800000.0,2502086331.0,2493118280.0,2.78,2.79,6955800000.0,6955800000.0,6955800000.0,-11000000.0,6966800000.0,6966800000.0,2428900000.0,9395700000.0,0.0,-243500000.0,9578000000.0,3757300000.0,332900000.0,332900000.0,24478800000.0,24478800000.0,455961607419.8126
LTF,2024-07-16 09:00:00-04:00,2.69,2.74,1.82,2024-06-30,0.0,0.256996,0.0,0.0,6855100000.0,284400000.0,21012100000.0,13514100000.0,34526200000.0,6855100000.0,6855100000.0,2501861314.0,2492763636.0,2.74,2.75,6855100000.0,6855100000.0,6855100000.0,2600000.0,6852500000.0,6852500000.0,2370200000.0,9222700000.0,0.0,-1140800000.0,9656100000.0,4178300000.0,284400000.0,284400000.0,22780600000.0,22780600000.0,444488291321.9892
LTF,2024-04-27 09:00:00-04:00,2.78,2.22,-20.07,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTF,2024-01-23 08:00:00-05:00,2.49,2.57,3.42,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTF,2023-10-20 08:00:00-04:00,2.24,2.39,6.7,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTF,2023-07-19 08:00:00-04:00,1.99,2.13,7.3,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTF,2023-04-28 07:00:00-04:00,1.9,2.02,6.32,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTF,2023-01-13 08:00:00-05:00,1.72,2.03,18.16,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTF,2022-10-20 09:00:00-04:00,1.44,1.63,13.19,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTF,2022-07-19 08:00:00-04:00,1.57,0.91,-42.04,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTF,2022-04-29 08:00:00-04:00,1.85,1.18,-36.22,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTF,2022-01-21 07:00:00-05:00,1.91,1.11,-41.88,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTF,2021-10-20 08:00:00-04:00,0.79,0.9,13.92,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTF,2021-07-16 08:00:00-04:00,1.54,0.72,-53.25,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTF,2021-04-29 08:00:00-04:00,1.92,1.17,-39.06,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTF,2021-01-15 09:00:00-05:00,1.79,1.45,-18.99,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTF,2020-10-22 08:00:00-04:00,1.12,1.32,17.86,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTF,2020-07-16 08:00:00-04:00,1.04,-0.39,-137.09,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTF,2020-05-15 08:00:00-04:00,2.71,1.92,-29.15,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTF,2020-01-17 08:00:00-05:00,2.79,2.95,5.73,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
