Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
PAGEIND,2026-02-11 05:00:00-05:00,178.72,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAGEIND,2025-11-13 03:00:00-05:00,186.33,174.62,-6.29,2025-09-30,0.0,0.253989,2990051000.0,1947601000.0,254253000.0,5172108000.0,2990051000.0,2735798000.0,-125113000.0,125113000.0,1947601000.0,1947601000.0,10367666000.0,11153367.0,11153367.0,174.62,174.62,1947601000.0,1947601000.0,0.0,1947601000.0,1947601000.0,1947601000.0,663084000.0,2610685000.0,194882000.0,-125113000.0,125113000.0,2540916000.0,5195558000.0,2465530000.0,254253000.0,254253000.0,7736474000.0,5172108000.0,12908582000.0,12908582000.0,452329765418.7422
PAGEIND,2025-08-07 05:00:00-04:00,172.59,180.02,4.31,2025-06-30,0.0,0.2569,3094979000.0,2007963000.0,266238000.0,5381117000.0,3094979000.0,2828741000.0,-126597000.0,126597000.0,2007963000.0,2007963000.0,10484951000.0,11154111.0,11154111.0,180.02,180.02,2007963000.0,2007963000.0,0.0,2007963000.0,2007963000.0,2007963000.0,694181000.0,2702144000.0,148081000.0,-126597000.0,126597000.0,2680660000.0,5103834000.0,2499853000.0,266238000.0,266238000.0,7784494000.0,5381117000.0,13165611000.0,13165611000.0,547500235566.9375
PAGEIND,2025-05-15 05:00:00-04:00,117.72,147.04,24.91,2025-03-31,0.0,0.250013,2553627000.0,1640051000.0,248555000.0,6830135000.0,2553627000.0,2305072000.0,328002000.0,118298000.0,1640051000.0,1640051000.0,8584716000.0,,,,,1640051000.0,1640051000.0,0.0,1640051000.0,1640051000.0,1640051000.0,546723000.0,2186774000.0,-349439000.0,328002000.0,118298000.0,2177451000.0,1754581000.0,-4539450000.0,248555000.0,233545000.0,3932032000.0,6830135000.0,10762167000.0,10762167000.0,
PAGEIND,2025-02-05 03:00:00-05:00,162.42,183.48,12.97,2024-12-31,0.0,0.255709,3165613000.0,2046550000.0,296561000.0,5731845000.0,3165613000.0,2869052000.0,-119390000.0,119390000.0,2046550000.0,2046550000.0,10401951000.0,11154077.0,11154077.0,183.48,183.48,2046550000.0,2046550000.0,0.0,2046550000.0,2046550000.0,2046550000.0,703112000.0,2749662000.0,140493000.0,-119390000.0,119390000.0,2728559000.0,4670106000.0,2311123000.0,296561000.0,296561000.0,7398665000.0,5731845000.0,13130510000.0,13130510000.0,522429430052.40625
PAGEIND,2024-11-07 04:00:00-05:00,146.7,175.06,19.33,2024-09-30,0.0,0.256077,2960120000.0,1952593000.0,226196000.0,5423022000.0,2960120000.0,2733924000.0,-109198000.0,109198000.0,1952593000.0,1952593000.0,9874295000.0,11153850.0,11153850.0,175.06,175.06,1952593000.0,1952593000.0,0.0,1952593000.0,1952593000.0,1952593000.0,672133000.0,2624726000.0,145515000.0,-109198000.0,109198000.0,2588409000.0,4451273000.0,2172518000.0,226196000.0,226196000.0,7039682000.0,5423022000.0,12462704000.0,12462704000.0,469158118509.375
PAGEIND,2024-08-08 05:00:00-04:00,151.51,148.13,-2.23,2024-06-30,,,,,,,,,,,,,,11153892.0,11153892.0,148.13,148.13,,,,,,,,,,,,,,,,,,,,,424396484492.8594
PAGEIND,2024-05-23 04:00:00-04:00,125.7,97.01,-22.82,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAGEIND,2024-02-08 04:00:00-05:00,145.42,136.59,-6.07,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAGEIND,2023-11-09 02:00:00-05:00,133.99,134.73,0.55,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAGEIND,2023-08-10 04:00:00-04:00,141.18,141.98,0.57,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAGEIND,2023-05-25 06:00:00-04:00,131.43,70.24,-46.56,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAGEIND,2023-02-09 04:00:00-05:00,153.33,110.93,-27.65,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAGEIND,2022-11-10 04:00:00-05:00,165.9,145.36,-12.38,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAGEIND,2022-08-11 06:00:00-04:00,181.74,185.62,2.13,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAGEIND,2022-05-26 05:00:00-04:00,130.72,170.81,30.67,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAGEIND,2022-02-10 03:00:00-05:00,145.43,156.51,7.62,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAGEIND,2021-11-11 03:00:00-05:00,104.63,143.88,37.52,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAGEIND,2021-08-12 05:00:00-04:00,25.87,9.82,-62.05,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAGEIND,2021-05-27 03:00:00-04:00,106.09,103.61,-2.34,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
