Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
LTIM,2026-01-15 05:00:00-05:00,47.82,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTIM,2025-10-16 07:00:00-04:00,43.26,47.23,9.17,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTIM,2025-07-17 07:00:00-04:00,40.3,42.28,4.92,2025-06-30,0.0,0.273,20415000000.0,12541000000.0,2429000000.0,70059000000.0,20415000000.0,17986000000.0,-724000000.0,724000000.0,12541000000.0,12541000000.0,84341000000.0,296617786.0,296267423.0,42.28,42.33,12541000000.0,12541000000.0,0.0,12541000000.0,-5000000.0,12546000000.0,12546000000.0,4716000000.0,17262000000.0,3921000000.0,-724000000.0,724000000.0,14065000000.0,14282000000.0,11853000000.0,2429000000.0,2429000000.0,28347000000.0,70059000000.0,98406000000.0,98406000000.0,1569084061142.294
LTIM,2025-04-23 06:00:00-04:00,39.05,38.04,-2.58,2025-03-31,0.0,0.262015,18474000000.0,11285000000.0,2508000000.0,70744000000.0,18474000000.0,15966000000.0,-673000000.0,673000000.0,11285000000.0,11285000000.0,84263000000.0,,,,,11285000000.0,11285000000.0,0.0,11285000000.0,-1000000.0,11286000000.0,11286000000.0,4007000000.0,15293000000.0,2512000000.0,-673000000.0,673000000.0,13454000000.0,13519000000.0,11011000000.0,2508000000.0,2508000000.0,26973000000.0,70744000000.0,97717000000.0,97717000000.0,
LTIM,2025-01-16 06:00:00-05:00,38.06,36.59,-3.86,2024-12-31,0.0,0.262,18058000000.0,10854000000.0,2644000000.0,69447000000.0,18058000000.0,15414000000.0,-689000000.0,689000000.0,10854000000.0,10854000000.0,83320000000.0,296638426.0,296152797.0,36.59,36.65,10854000000.0,10854000000.0,0.0,10854000000.0,-13000000.0,10867000000.0,10867000000.0,3858000000.0,14725000000.0,2125000000.0,-689000000.0,689000000.0,13289000000.0,13873000000.0,11229000000.0,2644000000.0,2644000000.0,27162000000.0,69447000000.0,96609000000.0,96609000000.0,1633038869978.5637
LTIM,2024-10-17 06:00:00-04:00,41.54,42.17,1.51,2024-09-30,0.0,0.258,19982000000.0,12510000000.0,2411000000.0,66915000000.0,19982000000.0,17571000000.0,-703000000.0,703000000.0,12510000000.0,12510000000.0,79747000000.0,296656391.0,296094675.0,42.17,42.25,12510000000.0,12510000000.0,0.0,12510000000.0,-6000000.0,12516000000.0,12516000000.0,4352000000.0,16868000000.0,2989000000.0,-703000000.0,703000000.0,14582000000.0,12832000000.0,10421000000.0,2411000000.0,2411000000.0,27414000000.0,66915000000.0,94329000000.0,94329000000.0,1819064431003.9673
LTIM,2024-07-17 07:00:00-04:00,39.05,38.23,-2.11,2024-06-30,0.0,0.256,18332000000.0,11338000000.0,2352000000.0,65432000000.0,18332000000.0,15980000000.0,-724000000.0,724000000.0,11338000000.0,11338000000.0,77717000000.0,296573372.0,296031332.0,38.23,38.3,11338000000.0,11338000000.0,0.0,11338000000.0,-13000000.0,11351000000.0,11351000000.0,3905000000.0,15256000000.0,2271000000.0,-724000000.0,724000000.0,13709000000.0,12285000000.0,9933000000.0,2352000000.0,2352000000.0,25994000000.0,65432000000.0,91426000000.0,91426000000.0,1568402906245.7656
LTIM,2024-04-24 06:00:00-04:00,38.08,37.06,-2.67,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTIM,2024-01-17 06:00:00-05:00,39.18,39.4,0.56,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTIM,2023-10-18 07:00:00-04:00,38.65,39.17,1.35,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
