Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
TITAN,2026-02-11 05:00:00-05:00,13.99,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TITAN,2025-11-03 07:00:00-05:00,11.82,11.33,-4.15,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TITAN,2025-08-06 20:00:00-04:00,10.48,11.61,10.84,2025-06-30,0.0,0.262838,19350000000.0,10910000000.0,1840000000.0,128110000000.0,19350000000.0,17510000000.0,-2710000000.0,2710000000.0,10910000000.0,10910000000.0,131680000000.0,886991870.0,886991870.0,12.3,12.3,10910000000.0,10910000000.0,0.0,10910000000.0,0.0,10910000000.0,10910000000.0,3890000000.0,14800000000.0,1050000000.0,-2710000000.0,2710000000.0,16460000000.0,3570000000.0,9630000000.0,1840000000.0,1840000000.0,3280000000.0,3280000000.0,20030000000.0,128110000000.0,148140000000.0,148140000000.0,3263356345771.9946
TITAN,2025-05-08 09:00:00-04:00,10.32,9.82,-4.83,2025-03-31,0.0,0.284893,16530000000.0,8710000000.0,1830000000.0,115740000000.0,16530000000.0,14700000000.0,490000000.0,2520000000.0,8710000000.0,8710000000.0,156910000000.0,,,,,8710000000.0,8710000000.0,0.0,8710000000.0,0.0,8710000000.0,8710000000.0,3470000000.0,12180000000.0,-3440000000.0,490000000.0,2520000000.0,13610000000.0,41170000000.0,-13170000000.0,1830000000.0,1220000000.0,22990000000.0,20080000000.0,54780000000.0,115740000000.0,170520000000.0,170520000000.0,
TITAN,2025-02-04 06:00:00-05:00,10.94,11.8,7.86,2024-12-31,0.0,0.25,18020000000.0,10470000000.0,1750000000.0,140830000000.0,18020000000.0,16270000000.0,-2310000000.0,2310000000.0,10470000000.0,10470000000.0,160510000000.0,887288136.0,887288136.0,11.8,11.8,10470000000.0,10470000000.0,0.0,10470000000.0,0.0,10470000000.0,10470000000.0,3490000000.0,13960000000.0,1280000000.0,-2310000000.0,2310000000.0,14990000000.0,19680000000.0,10570000000.0,1750000000.0,1750000000.0,3710000000.0,3710000000.0,34670000000.0,140830000000.0,175500000000.0,175500000000.0,2877820505614.5645
TITAN,2024-11-05 05:00:00-05:00,10.24,7.93,-22.58,2024-09-30,0.0,0.257384,13590000000.0,7040000000.0,1710000000.0,115220000000.0,13590000000.0,11880000000.0,-2400000000.0,2400000000.0,7040000000.0,7040000000.0,124080000000.0,887767970.0,886649874.0,7.93,7.94,7040000000.0,7040000000.0,0.0,7040000000.0,0.0,7040000000.0,7040000000.0,2440000000.0,9480000000.0,1220000000.0,-2400000000.0,2400000000.0,10650000000.0,8860000000.0,9300000000.0,1710000000.0,1710000000.0,3270000000.0,3270000000.0,19510000000.0,115220000000.0,134730000000.0,134730000000.0,3380331647301.3237
TITAN,2024-08-02 07:00:00-04:00,8.37,8.06,-3.67,2024-06-30,0.0,0.265159,13670000000.0,7150000000.0,1640000000.0,103360000000.0,13670000000.0,12030000000.0,-2300000000.0,2300000000.0,7150000000.0,7150000000.0,111400000000.0,887096774.0,887096774.0,8.06,8.06,7150000000.0,7150000000.0,0.0,7150000000.0,0.0,7150000000.0,7150000000.0,2580000000.0,9730000000.0,1200000000.0,-2300000000.0,2300000000.0,10830000000.0,8040000000.0,8700000000.0,1640000000.0,1640000000.0,2900000000.0,2900000000.0,18870000000.0,103360000000.0,122230000000.0,122230000000.0,3010793889527.0713
TITAN,2024-05-03 06:00:00-04:00,9.38,8.69,-7.33,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TITAN,2024-02-01 04:00:00-05:00,11.74,11.9,1.33,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TITAN,2023-11-03 05:00:00-04:00,10.18,10.31,1.24,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
