Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Write Off,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
AUROPHARMA,2026-02-05 05:00:00-05:00,16.4,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUROPHARMA,2025-11-05 09:00:00-05:00,15.24,14.61,-4.14,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUROPHARMA,2025-08-04 09:00:00-04:00,16.49,14.2,-13.89,2025-06-30,0.0,0.317037,17102500000.0,,,8247500000.0,4057000000.0,32392200000.0,17102500000.0,13045500000.0,-977500000.0,977500000.0,8247500000.0,8247500000.0,65940500000.0,580809859.0,580809859.0,14.2,14.2,8247500000.0,8247500000.0,0.0,8247500000.0,5500000.0,8242000000.0,8242000000.0,3826000000.0,12068000000.0,1053000000.0,,,,-977500000.0,977500000.0,11977200000.0,33548300000.0,17967000000.0,4057000000.0,4057000000.0,45525500000.0,32392200000.0,77917700000.0,77917700000.0,656638230333.997
AUROPHARMA,2025-05-26 10:00:00-04:00,17.79,15.56,-12.51,2025-03-31,-297802206.592814,0.323768,19114500000.0,-919800000.0,-919800000.0,9034700000.0,3862100000.0,41431600000.0,18194700000.0,14332600000.0,2382200000.0,981700000.0,9656697793.407188,9034700000.0,69415900000.0,,,,,9034700000.0,9034700000.0,0.0,9034700000.0,6400000.0,9028300000.0,9028300000.0,4322600000.0,13350900000.0,-2667900000.0,-919800000.0,,,2382200000.0,981700000.0,14395300000.0,27984300000.0,-19777200000.0,3862100000.0,-768200000.0,42379600000.0,41431600000.0,83811200000.0,83811200000.0,
AUROPHARMA,2025-02-06 09:00:00-05:00,15.54,14.56,-6.3,2024-12-31,0.0,0.29527,17368600000.0,0.0,0.0,8458100000.0,4185300000.0,33154100000.0,17368600000.0,13183300000.0,-1184800000.0,1184800000.0,8458100000.0,8458100000.0,66838700000.0,580913462.0,580913462.0,14.56,14.56,8458100000.0,8458100000.0,0.0,8458100000.0,2400000.0,8455700000.0,8455700000.0,3542800000.0,11998500000.0,1572900000.0,0.0,,,-1184800000.0,1184800000.0,12092800000.0,33684600000.0,19037500000.0,4185300000.0,4185300000.0,45777400000.0,33154100000.0,78931500000.0,78931500000.0,772329907975.1638
AUROPHARMA,2024-11-09 08:00:00-05:00,16.29,14.0,-14.05,2024-09-30,0.0,0.323414,17024400000.0,0.0,0.0,8173800000.0,3822800000.0,32102700000.0,17024400000.0,13201600000.0,-1127000000.0,1127000000.0,8173800000.0,8173800000.0,64623500000.0,583842857.0,583842857.0,14.0,14.0,8173800000.0,8173800000.0,0.0,8173800000.0,4300000.0,8169500000.0,8169500000.0,3905100000.0,12074600000.0,1214200000.0,0.0,0.0,0.0,-1127000000.0,1127000000.0,11838600000.0,32520800000.0,19101800000.0,3822800000.0,3822800000.0,44359400000.0,32102700000.0,76462100000.0,76462100000.0,849629905581.7295
AUROPHARMA,2024-08-10 09:00:00-04:00,16.58,15.69,-5.39,2024-06-30,0.0,0.306423,18391100000.0,0.0,0.0,9192200000.0,4041800000.0,30726800000.0,18391100000.0,14349300000.0,-1110400000.0,1110400000.0,9192200000.0,9192200000.0,62422600000.0,585863607.0,585863607.0,15.69,15.69,9192200000.0,9192200000.0,0.0,9192200000.0,10000000.0,9182200000.0,9182200000.0,4056700000.0,13238900000.0,2199300000.0,0.0,,,-1110400000.0,1110400000.0,12153900000.0,31695800000.0,18028200000.0,4041800000.0,4041800000.0,43849700000.0,30726800000.0,74576500000.0,74576500000.0,704843051093.3156
AUROPHARMA,2024-05-25 09:00:00-04:00,15.38,17.05,10.82,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUROPHARMA,2024-02-10 07:00:00-05:00,15.91,16.04,0.8,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUROPHARMA,2023-11-09 08:00:00-05:00,11.13,12.83,15.33,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
