Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
SRF,2026-01-28 05:00:00-05:00,12.67,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRF,2025-10-27 05:00:00-04:00,14.02,13.1,-6.58,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRF,2025-07-23 05:00:00-04:00,14.44,14.58,0.96,2025-06-30,0.0,0.24921,8589600000.0,4323200000.0,2032400000.0,19107000000.0,8589600000.0,6557200000.0,-799000000.0,799000000.0,4323200000.0,4323200000.0,31206700000.0,296515775.0,296515775.0,14.58,14.58,4323200000.0,4323200000.0,0.0,4323200000.0,4323200000.0,4323200000.0,1435000000.0,5758200000.0,291200000.0,-799000000.0,799000000.0,6179100000.0,12099700000.0,8095100000.0,2032400000.0,2032400000.0,18278800000.0,19107000000.0,37385800000.0,37385800000.0,960075802786.7676
SRF,2025-05-12 05:00:00-04:00,15.94,17.75,11.32,2025-03-31,0.0,0.256305,9630900000.0,5260600000.0,1951500000.0,23352800000.0,9630900000.0,7679400000.0,-345400000.0,605800000.0,5260600000.0,5260600000.0,33989200000.0,,,,,5260600000.0,5260600000.0,0.0,5260600000.0,5260600000.0,5260600000.0,1813000000.0,7073600000.0,-791100000.0,-345400000.0,605800000.0,8162500000.0,10636400000.0,-2519300000.0,1951500000.0,1858100000.0,18798900000.0,23352800000.0,42151700000.0,42151700000.0,
SRF,2025-01-29 05:00:00-05:00,8.22,9.15,11.28,2024-12-31,0.0,0.264768,6592100000.0,2710800000.0,1942600000.0,18056100000.0,6592100000.0,4649500000.0,-962500000.0,962500000.0,2710800000.0,2710800000.0,29471600000.0,296262295.0,296262295.0,9.15,9.15,2710800000.0,2710800000.0,0.0,2710800000.0,2710800000.0,2710800000.0,976200000.0,3687000000.0,396400000.0,-962500000.0,962500000.0,4595300000.0,11415500000.0,7711600000.0,1942600000.0,1942600000.0,16010800000.0,18056100000.0,34066900000.0,34066900000.0,661342502122.3535
SRF,2024-10-22 05:00:00-04:00,9.8,6.79,-30.75,2024-09-30,0.0,0.289925,5713700000.0,2014200000.0,1939300000.0,18340500000.0,5713700000.0,3774400000.0,-937800000.0,937800000.0,2014200000.0,2014200000.0,29673600000.0,296642121.0,296642121.0,6.79,6.79,2014200000.0,2014200000.0,0.0,2014200000.0,2014200000.0,2014200000.0,822400000.0,2836600000.0,333300000.0,-937800000.0,937800000.0,3667000000.0,11333100000.0,7762400000.0,1939300000.0,1939300000.0,15000100000.0,18340500000.0,33340600000.0,33340600000.0,739092607581.0315
SRF,2024-07-23 04:00:00-04:00,9.93,8.51,-14.27,2024-06-30,0.0,0.26676,6286800000.0,2522200000.0,1881600000.0,18270600000.0,6286800000.0,4405200000.0,-965400000.0,965400000.0,2522200000.0,2522200000.0,29697300000.0,296380729.0,296380729.0,8.51,8.51,2522200000.0,2522200000.0,0.0,2522200000.0,2522200000.0,2522200000.0,917600000.0,3439800000.0,252600000.0,-965400000.0,965400000.0,4325000000.0,11426700000.0,7642100000.0,1881600000.0,1881600000.0,15751700000.0,18270600000.0,34022300000.0,34022300000.0,719155537960.5093
SRF,2024-05-07 05:00:00-04:00,14.11,14.24,0.89,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRF,2024-01-30 05:00:00-05:00,11.47,8.55,-25.45,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRF,2023-10-27 05:00:00-04:00,11.45,10.15,-11.36,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRF,2023-07-24 05:00:00-04:00,15.29,12.12,-20.72,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRF,2023-05-09 05:00:00-04:00,18.13,18.97,4.63,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRF,2023-01-30 04:00:00-05:00,15.75,17.24,9.43,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRF,2022-11-03 05:00:00-04:00,18.86,16.23,-13.96,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRF,2022-07-21 06:00:00-04:00,19.76,20.51,3.8,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRF,2022-05-09 06:00:00-04:00,19.36,20.43,5.5,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRF,2022-01-25 04:00:00-05:00,29.61,17.06,-42.38,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRF,2021-10-25 04:00:00-04:00,14.84,12.91,-13.01,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRF,2021-07-28 04:00:00-04:00,12.44,13.34,7.27,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRF,2021-05-05 04:00:00-04:00,10.84,12.88,18.81,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRF,2021-01-21 04:00:00-05:00,10.81,11.0,1.73,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRF,2020-11-04 06:00:00-05:00,6.88,10.98,59.67,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRF,2020-07-30 05:00:00-04:00,5.88,6.15,4.66,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRF,2020-06-04 07:00:00-04:00,6.92,6.76,-2.43,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRF,2020-02-03 07:00:00-05:00,6.77,12.02,77.59,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
