Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
ADANIPORTS,2026-02-03 05:00:00-05:00,16.3,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPORTS,2025-11-04 02:00:00-05:00,15.31,14.39,-6.01,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPORTS,2025-08-05 04:00:00-04:00,13.8,15.34,11.14,2025-06-30,-540447317.808504,0.139568,50175100000.0,-3872300000.0,-3872300000.0,33145900000.0,43504100000.0,46302800000.0,46302800000.0,-7826800000.0,7826800000.0,36477752682.1915,33145900000.0,48857200000.0,2160749674.0,2160749674.0,15.34,15.34,33145900000.0,33145900000.0,0.0,33145900000.0,39900000.0,33106000000.0,,33106000000.0,5370000000.0,38476000000.0,2960400000.0,0.0,,,-7826800000.0,7826800000.0,42404200000.0,5353100000.0,5353100000.0,47757300000.0,43504100000.0,91261400000.0,91261400000.0,3133519071729.445
ADANIPORTS,2025-05-01 03:00:00-04:00,11.99,14.05,17.2,2025-03-31,-561539320.99447,0.144066,45057500000.0,-3897800000.0,-3897800000.0,30142200000.0,16563600000.0,41159700000.0,41159700000.0,55000000.0,5840400000.0,33478460679.00553,30142200000.0,45912800000.0,,,,,30142200000.0,30142200000.0,0.0,30142200000.0,-88800000.0,30231000000.0,0.0,30231000000.0,5088300000.0,35319300000.0,-7586200000.0,-4661500000.0,2825000000.0,1836500000.0,55000000.0,5840400000.0,38971600000.0,29349200000.0,11814900000.0,68320800000.0,16563600000.0,84884400000.0,84884400000.0,
ADANIPORTS,2025-01-30 02:00:00-05:00,12.5,11.78,-5.78,2024-12-31,-279047439.790455,0.16606,39465900000.0,-1680400000.0,-1680400000.0,25202600000.0,37414300000.0,37785500000.0,37785500000.0,-7586800000.0,7586800000.0,26603952560.209545,25202600000.0,42672500000.0,2159605827.0,2159605827.0,11.67,11.67,25202600000.0,25202600000.0,0.0,25202600000.0,18700000.0,25183900000.0,0.0,25183900000.0,5014800000.0,30198700000.0,2233500000.0,-278500000.0,278500000.0,,-7586800000.0,7586800000.0,36963000000.0,5258200000.0,5258200000.0,42221200000.0,37414300000.0,79635500000.0,79635500000.0,2645818196406.84
ADANIPORTS,2024-10-29 03:00:00-04:00,11.53,11.52,-0.05,2024-09-30,179670724.428717,0.163814,34640500000.0,1096800000.0,1096800000.0,24450000000.0,33454500000.0,35737300000.0,35737300000.0,-6885600000.0,6885600000.0,23532870724.42872,24450000000.0,37747200000.0,2159893993.0,2159893993.0,11.32,11.32,24450000000.0,24450000000.0,0.0,24450000000.0,324600000.0,24125400000.0,,24125400000.0,4726300000.0,28851700000.0,3053500000.0,-517700000.0,,517700000.0,-6885600000.0,6885600000.0,32923000000.0,4292700000.0,4292700000.0,37215700000.0,33454500000.0,70670200000.0,70670200000.0,3112814069649.2305
ADANIPORTS,2024-08-01 03:00:00-04:00,10.67,14.99,40.53,2024-06-30,850114972.513326,0.135115,36188700000.0,6291800000.0,6291800000.0,31128300000.0,33477100000.0,42480500000.0,42480500000.0,-6554000000.0,6554000000.0,25686614972.513325,31128300000.0,37237100000.0,2160187370.0,2160187370.0,14.41,14.41,31128300000.0,31128300000.0,0.0,31128300000.0,56000000.0,31072300000.0,,31072300000.0,4854200000.0,35926500000.0,4945900000.0,4578400000.0,-6032700000.0,1454300000.0,-6554000000.0,6554000000.0,32326100000.0,3760000000.0,3760000000.0,36086100000.0,33477100000.0,69563200000.0,69563200000.0,3177513794296.7407
ADANIPORTS,2024-05-02 03:00:00-04:00,11.33,10.93,-3.58,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPORTS,2024-02-01 02:00:00-05:00,10.73,10.22,-4.77,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPORTS,2023-11-09 03:00:00-05:00,9.33,10.2,9.29,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPORTS,2023-08-08 04:00:00-04:00,9.3,9.79,5.27,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPORTS,2023-05-30 10:00:00-04:00,7.17,11.25,56.95,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPORTS,2023-02-07 02:00:00-05:00,6.85,6.09,-11.09,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPORTS,2022-11-01 06:00:00-04:00,5.06,7.77,53.48,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPORTS,2022-08-08 05:00:00-04:00,6.33,5.08,-19.79,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPORTS,2022-05-25 00:00:00-04:00,8.3,4.85,-41.57,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPORTS,2022-02-01 08:00:00-05:00,5.89,6.97,18.34,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPORTS,2021-10-27 07:00:00-04:00,6.9,3.04,-55.91,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPORTS,2021-08-03 04:00:00-04:00,6.2,6.41,3.39,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPORTS,2021-05-04 06:00:00-04:00,8.5,6.34,-25.4,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPORTS,2021-02-09 04:00:00-05:00,7.25,7.69,6.03,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPORTS,2020-11-03 05:00:00-05:00,6.04,6.83,13.02,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPORTS,2020-08-11 06:00:00-04:00,3.27,3.73,14.18,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPORTS,2020-05-05 08:00:00-04:00,5.6,1.65,-70.52,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPORTS,2020-02-04 05:00:00-05:00,5.4,6.66,23.29,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
