Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
COROMANDEL,2023-07-27 04:00:00-04:00,14.55,16.78,15.33,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COROMANDEL,2023-05-15 08:00:00-04:00,7.6,8.37,10.13,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COROMANDEL,2023-02-02 03:00:00-05:00,17.37,17.89,2.98,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COROMANDEL,2022-11-03 05:00:00-04:00,20.87,25.15,20.53,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COROMANDEL,2022-07-27 04:00:00-04:00,12.93,16.96,31.13,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COROMANDEL,2022-04-28 04:00:00-04:00,5.6,9.86,76.07,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COROMANDEL,2022-02-03 04:00:00-05:00,11.73,12.98,10.63,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COROMANDEL,2021-10-28 04:00:00-04:00,15.8,17.66,11.77,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COROMANDEL,2021-07-26 04:00:00-04:00,9.13,11.49,25.8,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COROMANDEL,2021-04-29 08:00:00-04:00,7.45,5.3,-28.86,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COROMANDEL,2021-02-01 04:00:00-05:00,11.5,11.35,-1.3,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COROMANDEL,2020-11-02 04:00:00-05:00,14.43,20.04,38.85,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COROMANDEL,2020-07-24 09:00:00-04:00,7.48,8.53,14.08,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COROMANDEL,2020-05-26 07:00:00-04:00,6.33,7.96,25.75,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COROMANDEL,2020-01-31 03:00:00-05:00,8.11,9.03,11.39,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
