Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
TATACONSUM,2026-01-29 05:00:00-05:00,4.12,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATACONSUM,2025-11-03 02:00:00-05:00,3.96,4.09,3.25,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATACONSUM,2025-07-23 07:00:00-04:00,3.73,3.37,-9.6,2025-06-30,0.0,0.25564,6481100000.0,0.0,0.0,3341500000.0,1489300000.0,28627000000.0,6481100000.0,4991800000.0,-337600000.0,337600000.0,3341500000.0,3341500000.0,43209000000.0,991543027.0,988609467.0,3.37,3.38,3341500000.0,3341500000.0,0.0,3341500000.0,24000000.0,3317500000.0,3317500000.0,1189800000.0,4654200000.0,411700000.0,0.0,,-337600000.0,337600000.0,4580100000.0,14582000000.0,9236300000.0,1489300000.0,1489300000.0,19162100000.0,28627000000.0,47789100000.0,47789100000.0,1086382967422.2732
TATACONSUM,2025-04-23 06:00:00-04:00,3.11,3.14,0.8,2025-03-31,162310539.928261,0.231508,6527700000.0,701100000.0,701100000.0,3448500000.0,1530900000.0,29404100000.0,7228800000.0,5697900000.0,987300000.0,400900000.0,2909710539.928261,3448500000.0,40293200000.0,,,,,3448500000.0,3448500000.0,0.0,3448500000.0,-38700000.0,3487200000.0,3487200000.0,1226300000.0,5297000000.0,-1136700000.0,453200000.0,,987300000.0,400900000.0,4690100000.0,10889100000.0,-15512800000.0,1530900000.0,-1855500000.0,15579200000.0,29404100000.0,44983300000.0,44983300000.0,
TATACONSUM,2025-01-30 06:00:00-05:00,3.64,2.82,-22.44,2024-12-31,-15660159.729306,0.254223,6163300000.0,-61600000.0,-61600000.0,2788800000.0,1503200000.0,26184400000.0,6101700000.0,4598500000.0,-579200000.0,579200000.0,2834739840.270694,2788800000.0,40291500000.0,988936170.0,988936170.0,2.82,2.82,2788800000.0,2788800000.0,0.0,2788800000.0,-30400000.0,2819200000.0,2819200000.0,1021800000.0,4019300000.0,516000000.0,-61600000.0,,-579200000.0,579200000.0,4144100000.0,14107100000.0,8824400000.0,1503200000.0,1503200000.0,18251200000.0,26184400000.0,44435600000.0,44435600000.0,897925009260.7709
TATACONSUM,2024-10-18 07:00:00-04:00,3.2,3.78,18.13,2024-09-30,-25817213.589543,0.095021,6722600000.0,-271700000.0,-271700000.0,3644200000.0,1493300000.0,23768800000.0,6450900000.0,4957600000.0,-986900000.0,986900000.0,3890082786.410457,3644200000.0,37374900000.0,974385027.0,974385027.0,3.74,3.74,3644200000.0,3644200000.0,0.0,3644200000.0,-27900000.0,3672100000.0,3672100000.0,377300000.0,3970700000.0,459700000.0,-271700000.0,,-986900000.0,986900000.0,4769600000.0,13606100000.0,8477400000.0,1493300000.0,1493300000.0,18375700000.0,23768800000.0,42144500000.0,42144500000.0,1157709884331.4795
TATACONSUM,2024-07-30 07:00:00-04:00,3.7,3.18,-14.26,2024-06-30,-50751367.645417,0.298537,7064500000.0,-170000000.0,-170000000.0,2903200000.0,1480000000.0,23974300000.0,6894500000.0,5414500000.0,-936000000.0,936000000.0,3022448632.354583,2903200000.0,38326900000.0,961324503.0,961324503.0,3.02,3.02,2903200000.0,2903200000.0,0.0,2903200000.0,10700000.0,2892500000.0,2892500000.0,1337000000.0,4478500000.0,391700000.0,-170000000.0,170000000.0,-936000000.0,936000000.0,5193800000.0,14352600000.0,9422700000.0,1480000000.0,1480000000.0,19546400000.0,23974300000.0,43520700000.0,43520700000.0,1047243936598.2676
TATACONSUM,2024-04-23 06:00:00-04:00,3.66,4.34,18.68,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATACONSUM,2024-02-07 05:00:00-05:00,3.72,3.74,0.42,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATACONSUM,2023-10-31 08:00:00-04:00,3.6,3.76,4.2,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATACONSUM,2023-07-26 06:00:00-04:00,3.52,3.45,-1.97,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATACONSUM,2023-04-25 06:00:00-04:00,3.2,2.94,-8.1,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATACONSUM,2023-02-02 06:00:00-05:00,2.99,3.14,5.11,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATACONSUM,2022-10-20 06:00:00-04:00,2.8,4.45,58.86,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATACONSUM,2022-08-10 07:00:00-04:00,2.9,2.96,2.12,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATACONSUM,2022-05-04 08:00:00-04:00,2.8,2.51,-10.28,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATACONSUM,2022-02-02 05:00:00-05:00,3.3,2.99,-9.51,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATACONSUM,2021-10-22 08:00:00-04:00,2.98,3.04,2.29,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATACONSUM,2021-08-03 08:00:00-04:00,2.42,2.04,-15.86,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATACONSUM,2021-05-06 06:00:00-04:00,1.75,1.04,-40.37,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATACONSUM,2021-02-02 06:00:00-05:00,2.9,2.42,-16.41,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATACONSUM,2020-11-06 06:00:00-05:00,2.27,2.98,31.43,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATACONSUM,2020-08-04 08:00:00-04:00,2.1,3.02,43.6,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATACONSUM,2020-05-14 08:00:00-04:00,1.59,2.04,28.5,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATACONSUM,2020-02-04 06:00:00-05:00,2.28,1.92,-15.69,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
