Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
SHREECEM,2026-01-27 05:00:00-05:00,138.51,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHREECEM,2025-10-28 06:00:00-04:00,98.53,76.81,-22.04,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHREECEM,2025-08-04 04:00:00-04:00,152.0,171.42,12.78,2025-06-30,0.0,0.258875,15678300000.0,6426600000.0,6538100000.0,17476400000.0,15678300000.0,9140200000.0,-455300000.0,455300000.0,6426600000.0,6426600000.0,46020900000.0,36080171.0,36080171.0,178.12,178.12,6426600000.0,6426600000.0,0.0,6426600000.0,-10000000.0,6436600000.0,6436600000.0,2248300000.0,8684900000.0,2352300000.0,-455300000.0,455300000.0,6787900000.0,28544500000.0,7351700000.0,6538100000.0,6538100000.0,11639000000.0,11639000000.0,35332400000.0,17476400000.0,52808800000.0,52808800000.0,1114228404574.672
SHREECEM,2025-05-14 05:00:00-04:00,109.42,159.17,45.46,2025-03-31,0.0,0.241108,15827100000.0,5743200000.0,7875400000.0,23508000000.0,15827100000.0,7951700000.0,1398700000.0,375000000.0,5743200000.0,5743200000.0,46068900000.0,,,,,5743200000.0,5743200000.0,0.0,5743200000.0,-6700000.0,5749900000.0,5749900000.0,1826800000.0,7576700000.0,-4310500000.0,1398700000.0,375000000.0,6187500000.0,22560900000.0,-3517100000.0,7875400000.0,7875400000.0,18067500000.0,16974200000.0,28748400000.0,23508000000.0,52256400000.0,52256400000.0,
SHREECEM,2025-01-30 06:00:00-05:00,67.08,63.58,-5.22,2024-12-31,0.0,0.137911,10755800000.0,1934000000.0,7991100000.0,16088100000.0,10755800000.0,2764700000.0,-517600000.0,517600000.0,1934000000.0,1934000000.0,44069900000.0,36075359.0,36075359.0,53.61,53.61,1934000000.0,1934000000.0,0.0,1934000000.0,-3200000.0,1937200000.0,1937200000.0,309900000.0,2247100000.0,1107800000.0,-517600000.0,517600000.0,1656900000.0,27981800000.0,6736000000.0,7991100000.0,7991100000.0,10491700000.0,10491700000.0,29638700000.0,16088100000.0,45726800000.0,45726800000.0,920855668091.6094
SHREECEM,2024-11-11 05:00:00-05:00,9.79,21.18,116.34,2024-09-30,0.0,0.3,7948600000.0,764400000.0,7158700000.0,15771100000.0,7948600000.0,789900000.0,-557100000.0,557100000.0,764400000.0,764400000.0,41565600000.0,36090652.0,36090652.0,21.18,21.18,764400000.0,764400000.0,0.0,764400000.0,-2000000.0,766400000.0,766400000.0,-533600000.0,232800000.0,1813800000.0,-557100000.0,557100000.0,-1023900000.0,25794500000.0,6358500000.0,7158700000.0,7158700000.0,9399900000.0,9399900000.0,24770600000.0,15771100000.0,40541700000.0,40541700000.0,943285581663.75
SHREECEM,2024-08-06 03:00:00-04:00,154.74,88.06,-43.09,2024-06-30,0.0,0.089586,10663100000.0,2786100000.0,7042600000.0,20694900000.0,10663100000.0,3620500000.0,-562000000.0,562000000.0,2786100000.0,2786100000.0,49010400000.0,36080031.0,36080031.0,77.22,77.22,2786100000.0,2786100000.0,0.0,2786100000.0,1600000.0,2784500000.0,2784500000.0,274000000.0,3058500000.0,1391300000.0,-562000000.0,562000000.0,2229200000.0,28315500000.0,6938100000.0,7042600000.0,7042600000.0,11481100000.0,11481100000.0,30544700000.0,20694900000.0,51239600000.0,51239600000.0,997010066944.582
SHREECEM,2024-05-14 07:00:00-04:00,175.99,183.41,4.22,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHREECEM,2024-01-31 05:00:00-05:00,175.71,203.49,15.81,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHREECEM,2023-11-07 05:00:00-05:00,131.83,136.18,3.3,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHREECEM,2023-07-26 01:00:00-04:00,114.72,161.06,40.4,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHREECEM,2023-05-22 07:00:00-04:00,120.43,151.39,25.71,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHREECEM,2023-02-08 02:00:00-05:00,78.8,78.18,-0.79,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHREECEM,2022-10-14 06:00:00-04:00,75.87,52.55,-30.74,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHREECEM,2022-07-28 03:00:00-04:00,142.79,77.47,-45.75,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHREECEM,2022-05-21 04:00:00-04:00,163.72,178.82,9.22,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHREECEM,2022-02-04 05:00:00-05:00,157.51,136.36,-13.43,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHREECEM,2021-10-29 10:00:00-04:00,131.45,155.99,18.67,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHREECEM,2021-08-09 07:00:00-04:00,158.0,174.58,10.49,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHREECEM,2021-05-21 07:00:00-04:00,181.59,212.76,17.17,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHREECEM,2021-01-30 02:00:00-05:00,149.22,173.57,16.32,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHREECEM,2020-11-11 08:00:00-05:00,98.94,151.67,53.3,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHREECEM,2020-08-10 10:00:00-04:00,60.38,102.77,70.2,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHREECEM,2020-05-08 07:00:00-04:00,115.93,163.01,40.61,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHREECEM,2020-02-14 03:00:00-05:00,100.24,87.65,-12.56,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
