Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Net Income From Continuing Operation Net Minority Interest,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Operating Expenses,Selling General And Administration,Selling And Marketing Expense,Total Revenue,Operating Revenue,Net Policyholder Benefits And Claims,Market Cap
HDFCLIFE,2026-01-15 05:00:00-05:00,2.53,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCLIFE,2025-10-15 11:00:00-04:00,2.21,2.07,-6.33,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCLIFE,2025-07-15 06:00:00-04:00,2.44,2.53,3.69,2025-06-30,0.0,0.027024,5483500000.0,5483500000.0,5483500000.0,289060000000.0,2158858268.0,2150392157.0,2.54,2.55,5483500000.0,5483500000.0,5483500000.0,5483500000.0,5483500000.0,152300000.0,5635800000.0,0.0,5084000000.0,,,294695800000.0,294695800000.0,87207100000.0,1751064307195.1958
HDFCLIFE,2025-04-17 06:00:00-04:00,3.34,2.21,-33.83,2025-03-31,0.0,0.021772,4753600000.0,4753600000.0,4753600000.0,169056700000.0,,,,,4753600000.0,4753600000.0,4753600000.0,4753600000.0,4753600000.0,105800000.0,4859400000.0,98100000.0,-83112700000.0,10758300000.0,5841300000.0,173916100000.0,173916100000.0,89133400000.0,
HDFCLIFE,2025-01-15 05:00:00-05:00,2.53,1.96,-22.53,2024-12-31,0.0,0.068661,4213100000.0,4213100000.0,4213100000.0,167943700000.0,2149540816.0,2149540816.0,1.96,1.96,4213100000.0,4213100000.0,4213100000.0,4213100000.0,4213100000.0,310600000.0,4523700000.0,0.0,2642600000.0,2310000000.0,2310000000.0,172467400000.0,172467400000.0,92088700000.0,1322718051880.7422
HDFCLIFE,2024-10-15 04:00:00-04:00,3.16,2.02,-36.08,2024-09-30,0.0,0.011987,4351800000.0,4351800000.0,4351800000.0,280592600000.0,2154356436.0,2154356436.0,2.02,2.02,4351800000.0,4351800000.0,4351800000.0,4351800000.0,4351800000.0,52800000.0,4404600000.0,0.0,6013500000.0,3412800000.0,3412800000.0,284997200000.0,284997200000.0,103392000000.0,1542564178262.7378
HDFCLIFE,2024-07-15 04:00:00-04:00,3.18,2.23,-29.87,2024-06-30,0.0,0.040467,4789700000.0,4789700000.0,4789700000.0,264312900000.0,2147847534.0,2147847534.0,2.23,2.23,4789700000.0,4789700000.0,4789700000.0,4789700000.0,4789700000.0,202000000.0,4991700000.0,0.0,8343800000.0,1612200000.0,1612200000.0,269304600000.0,269304600000.0,88531400000.0,1274553623092.6484
HDFCLIFE,2024-04-18 04:00:00-04:00,3.98,1.91,-51.95,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCLIFE,2024-01-12 04:00:00-05:00,1.84,1.7,-7.77,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCLIFE,2023-10-12 21:00:00-04:00,1.94,1.75,-9.8,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCLIFE,2023-07-21 04:00:00-04:00,1.99,1.93,-3.23,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCLIFE,2023-04-26 06:00:00-04:00,2.02,1.68,-17.02,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCLIFE,2023-01-20 03:00:00-05:00,1.77,1.48,-16.62,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCLIFE,2022-10-21 04:00:00-04:00,1.97,1.54,-21.83,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCLIFE,2022-07-19 04:00:00-04:00,2.88,1.73,-39.93,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCLIFE,2022-04-26 05:00:00-04:00,3.67,1.75,-52.32,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCLIFE,2022-01-21 03:00:00-05:00,2.04,1.35,-33.82,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCLIFE,2021-10-22 04:00:00-04:00,2.06,1.35,-34.47,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCLIFE,2021-07-19 04:00:00-04:00,2.52,1.49,-40.87,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCLIFE,2021-04-26 05:00:00-04:00,2.41,1.57,-34.85,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCLIFE,2021-01-22 05:00:00-05:00,1.43,1.3,-9.33,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCLIFE,2020-10-19 06:00:00-04:00,1.6,1.62,1.12,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCLIFE,2020-07-21 05:00:00-04:00,2.11,2.23,5.69,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCLIFE,2020-04-27 06:00:00-04:00,1.85,1.54,-16.53,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,
HDFCLIFE,2020-01-23 05:00:00-05:00,1.36,1.24,-9.12,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,
