Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Write Off,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
NATIONALUM,2026-02-10 05:00:00-05:00,,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONALUM,2025-11-07 10:00:00-05:00,6.2,7.8,25.81,2025-09-30,17437147.991543,0.244218,18932200000.0,71400000.0,71400000.0,14299400000.0,,7699000000.0,19003600000.0,19003600000.0,-83600000.0,83600000.0,14245437147.991545,14299400000.0,25473600000.0,1835609756.0,1835609756.0,7.79,7.79,14299400000.0,14299400000.0,0.0,14299400000.0,14299400000.0,14299400000.0,4620600000.0,18920000000.0,1514700000.0,71400000.0,-71400000.0,-83600000.0,83600000.0,17449800000.0,17774600000.0,13371100000.0,,,35224400000.0,7699000000.0,42923400000.0,42923400000.0,386737033484.76874
NATIONALUM,2025-08-07 05:00:00-04:00,5.7,5.79,1.58,2025-06-30,0.0,0.25826,14229300000.0,0.0,0.0,10494800000.0,,6127600000.0,14229300000.0,14229300000.0,-80400000.0,80400000.0,10494800000.0,10494800000.0,24937300000.0,1837968476.0,1837968476.0,5.71,5.71,10494800000.0,10494800000.0,0.0,10494800000.0,10494800000.0,10494800000.0,3654100000.0,14148900000.0,1235100000.0,0.0,,-80400000.0,80400000.0,13132100000.0,18809700000.0,14355300000.0,,,31941800000.0,6127600000.0,38069400000.0,38069400000.0,344823706834.2422
NATIONALUM,2025-05-21 09:00:00-04:00,8.1,11.32,39.75,2025-03-31,-92680858.890348,0.247876,28012200000.0,-373900000.0,-373900000.0,20672300000.0,,20124700000.0,27638300000.0,27638300000.0,2718100000.0,154000000.0,20953519141.109653,20672300000.0,24334200000.0,,,,,20672300000.0,20672300000.0,0.0,20672300000.0,20672300000.0,20671600000.0,6812700000.0,27484300000.0,-2026600000.0,-423000000.0,,2718100000.0,154000000.0,27089700000.0,4209500000.0,-1784300000.0,,,31299200000.0,20124700000.0,51423900000.0,51423900000.0,
NATIONALUM,2025-02-10 08:00:00-05:00,7.93,8.62,8.66,2024-12-31,0.0,0.256018,21244000000.0,0.0,0.0,15663200000.0,,8119000000.0,21244000000.0,21244000000.0,-190800000.0,190800000.0,15663200000.0,15663200000.0,26203300000.0,1836248535.0,1836248535.0,8.53,8.53,15663200000.0,15663200000.0,0.0,15663200000.0,15663200000.0,15663200000.0,5390000000.0,21053200000.0,990900000.0,0.0,,-190800000.0,190800000.0,20418900000.0,18084300000.0,13786400000.0,,,38503200000.0,8119000000.0,46622200000.0,46622200000.0,370561404320.47
NATIONALUM,2024-11-13 06:00:00-05:00,4.22,5.78,36.97,2024-09-30,1581466.409451,0.263578,14241700000.0,6000000.0,6000000.0,10459700000.0,,8256800000.0,14247700000.0,14247700000.0,-44300000.0,44300000.0,10455281466.40945,10459700000.0,26328900000.0,1835035088.0,1835035088.0,5.7,5.7,10459700000.0,10459700000.0,0.0,10459700000.0,10459700000.0,10459700000.0,3743700000.0,14203400000.0,717900000.0,6000000.0,-6000000.0,-44300000.0,44300000.0,13685900000.0,18072100000.0,13308200000.0,,,31758000000.0,8256800000.0,40014800000.0,40014800000.0,361941350822.80225
NATIONALUM,2024-08-12 04:00:00-04:00,4.58,3.27,-28.6,2024-06-30,,,,,,,1743000000.0,,,,,,,,,1838812500.0,1838812500.0,3.2,3.2,,,,,,,,,,,,,,,,,1743000000.0,1743000000.0,,,,,319165589072.2275
NATIONALUM,2024-05-27 09:00:00-04:00,3.33,3.81,14.2,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONALUM,2024-02-13 09:00:00-05:00,1.13,2.66,134.71,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONALUM,2023-11-09 03:00:00-05:00,1.7,1.12,-34.12,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONALUM,2023-08-11 09:00:00-04:00,2.17,1.9,-12.64,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONALUM,2023-05-24 11:00:00-04:00,2.2,2.84,29.09,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONALUM,2023-02-10 08:00:00-05:00,0.8,1.49,86.25,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONALUM,2022-11-09 02:00:00-05:00,0.8,0.93,16.25,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONALUM,2022-08-08 09:00:00-04:00,3.5,3.15,-10.0,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONALUM,2022-05-25 07:00:00-04:00,5.65,5.58,-1.24,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONALUM,2022-02-07 07:00:00-05:00,3.5,4.52,29.14,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONALUM,2021-11-12 09:00:00-05:00,3.3,4.07,23.33,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONALUM,2021-08-06 06:00:00-04:00,2.55,1.89,-25.88,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONALUM,2021-06-28 06:00:00-04:00,1.6,5.03,214.38,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONALUM,2021-02-12 04:00:00-05:00,1.1,1.29,17.27,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONALUM,2020-11-11 05:00:00-05:00,0.4,0.58,45.0,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONALUM,2020-09-04 07:00:00-04:00,,0.09,,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONALUM,2020-06-26 06:00:00-04:00,0.15,0.55,266.67,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONALUM,2020-02-10 05:00:00-05:00,0.1,-0.18,-280.0,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
