Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
TATASTEEL,2026-01-28 05:00:00-05:00,2.84,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATASTEEL,2025-11-12 07:00:00-05:00,2.41,2.74,13.88,2025-09-30,-1034858141.798521,0.246155,93108400000.0,-4204100000.0,-4204100000.0,31017500000.0,28930000000.0,244260800000.0,88904300000.0,59974300000.0,-17749600000.0,17749600000.0,34186741858.20148,31017500000.0,522125000000.0,12456827309.0,12456827309.0,2.49,2.49,31017500000.0,31017500000.0,0.0,31017500000.0,-813400000.0,31830900000.0,31830900000.0,10393800000.0,42224700000.0,3635500000.0,-4204100000.0,990900000.0,1668200000.0,1545000000.0,-17749600000.0,17749600000.0,60035400000.0,277864200000.0,190175900000.0,28930000000.0,28930000000.0,337899600000.0,244260800000.0,582160400000.0,582160400000.0,2102338798161.238
TATASTEEL,2025-07-30 08:00:00-04:00,1.99,1.74,-12.68,2025-06-30,-456493493.485661,0.345514,77959300000.0,-1321200000.0,-1321200000.0,20776800000.0,27443000000.0,205786600000.0,76638100000.0,49195100000.0,-18524300000.0,18524300000.0,21641506506.51434,20776800000.0,480608300000.0,12441197605.0,12441197605.0,1.67,1.67,20776800000.0,20776800000.0,0.0,20776800000.0,703200000.0,20073600000.0,20073600000.0,10597200000.0,30670800000.0,2886700000.0,-1321200000.0,282000000.0,0.0,1039200000.0,-18524300000.0,18524300000.0,46832400000.0,274821700000.0,185733500000.0,27443000000.0,27443000000.0,321654100000.0,205786600000.0,527440700000.0,527440700000.0,1987605661033.2605
TATASTEEL,2025-05-12 09:00:00-04:00,3.0,2.85,-4.89,2025-03-31,449430000.0,0.3,65636600000.0,1498100000.0,1498100000.0,13008100000.0,27250300000.0,528024000000.0,67134700000.0,39884400000.0,-9942000000.0,17887500000.0,11959430000.0,13008100000.0,522872700000.0,,,,,13008100000.0,13008100000.0,0.0,13008100000.0,999300000.0,12008800000.0,12008800000.0,9988100000.0,21996900000.0,-9433700000.0,-1626300000.0,-2302800000.0,1005800000.0,2923300000.0,-9942000000.0,17887500000.0,34197200000.0,-5151300000.0,-265361500000.0,27250300000.0,27250300000.0,29045900000.0,528024000000.0,557069900000.0,557069900000.0,
TATASTEEL,2025-01-27 08:00:00-05:00,-0.6,0.26,143.33,2024-12-31,-378570000.0,0.3,61715000000.0,-1261900000.0,-1261900000.0,3266400000.0,25691900000.0,239304400000.0,60453100000.0,34761200000.0,-18040900000.0,18040900000.0,4149730000.0,3266400000.0,498969800000.0,12563076923.0,12563076923.0,0.26,0.26,3266400000.0,3266400000.0,0.0,3266400000.0,311500000.0,2954900000.0,2954900000.0,13765400000.0,16720300000.0,2210300000.0,-1261900000.0,-727200000.0,186000000.0,1803100000.0,-18040900000.0,18040900000.0,33343000000.0,259665400000.0,177419000000.0,25691900000.0,25691900000.0,293008400000.0,239304400000.0,532312800000.0,532312800000.0,1694808841542.3572
TATASTEEL,2024-11-06 07:00:00-05:00,1.1,0.66,-39.28,2024-09-30,54270000.0,0.3,67143800000.0,180900000.0,180900000.0,8334500000.0,25967400000.0,239430600000.0,67324700000.0,41357300000.0,-19714000000.0,19714000000.0,8207870000.0,8334500000.0,499452000000.0,12439552239.0,12439552239.0,0.67,0.67,8334500000.0,8334500000.0,0.0,8334500000.0,746100000.0,7588400000.0,7588400000.0,14054900000.0,21643300000.0,5985900000.0,180900000.0,35800000.0,0.0,-216700000.0,-19714000000.0,19714000000.0,35445300000.0,260021400000.0,174938100000.0,25967400000.0,25967400000.0,295466700000.0,239430600000.0,534897300000.0,534897300000.0,2048904876490.4253
TATASTEEL,2024-07-31 08:00:00-04:00,1.07,0.88,-17.35,2024-06-30,,,,,,,,,,,,,,,,12462467532.0,12462467532.0,0.77,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,2119173612983.766
TATASTEEL,2024-05-29 09:00:00-04:00,1.25,0.64,-49.12,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATASTEEL,2024-01-24 08:00:00-05:00,0.67,0.35,-48.1,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATASTEEL,2023-11-01 10:00:00-04:00,3.6,0.38,-89.34,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
