Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Operating Expense,Other Operating Expenses,Total Revenue,Operating Revenue,Market Cap
INDUSINDBK,2026-01-29 05:00:00-05:00,5.04,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSINDBK,2025-10-18 05:00:00-04:00,5.62,-5.71,-201.6,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSINDBK,2025-07-28 07:00:00-04:00,7.65,7.75,1.31,2025-06-30,0.0,0.251793,0.0,0.0,6040700000.0,46398200000.0,76240600000.0,122638800000.0,6040700000.0,6040700000.0,779445161.0,779445161.0,7.75,7.75,6040700000.0,6040700000.0,6040700000.0,6040700000.0,0.0,6040700000.0,2032800000.0,8073300000.0,0.0,42294200000.0,24241500000.0,67967400000.0,67967400000.0,679754105878.6771
INDUSINDBK,2025-05-21 09:00:00-04:00,-0.46,-28.71,-6186.82,2025-03-31,4523855.299756,0.227033,19926000.0,19926000.0,-23288700000.0,30483340000.0,75855103000.0,106338443000.0,-23304102144.700245,-23288700000.0,,,,,-23288700000.0,-23288700000.0,-23288700000.0,-23288654000.0,0.0,-23288654000.0,-6840400000.0,-30129600000.0,19926000.0,40124969000.0,26463900000.0,35322574000.0,35322574000.0,
INDUSINDBK,2025-01-31 05:00:00-05:00,20.4,18.0,-11.76,2024-12-31,0.0,0.244839,0.0,0.0,14023300000.0,52280900000.0,75726800000.0,128007700000.0,14023300000.0,14023300000.0,779072222.0,778639645.0,18.0,18.01,14023300000.0,14023300000.0,14023300000.0,14023300000.0,0.0,14023300000.0,4546700000.0,18570200000.0,0.0,39824700000.0,24996500000.0,75831200000.0,75831200000.0,747610874156.507
INDUSINDBK,2024-10-24 06:00:00-04:00,28.48,17.0,-40.3,2024-09-30,0.0,0.251988,0.0,0.0,13312900000.0,53472600000.0,73390200000.0,126862800000.0,13312900000.0,13312900000.0,779443794.0,778987712.0,17.08,17.09,13312900000.0,13312900000.0,13312900000.0,13312900000.0,0.0,13312900000.0,4484700000.0,17797300000.0,0.0,39324000000.0,22778800000.0,75322300000.0,75322300000.0,1127662592872.9453
INDUSINDBK,2024-07-26 06:00:00-04:00,30.51,27.61,-9.52,2024-06-30,0.0,0.251981,0.0,0.0,21707900000.0,54076300000.0,71391400000.0,125467700000.0,21707900000.0,21707900000.0,779457810.0,778339907.0,27.85,27.89,21707900000.0,21707900000.0,21707900000.0,21707900000.0,0.0,21707900000.0,7312400000.0,29019600000.0,0.0,38974400000.0,23142100000.0,78492400000.0,78492400000.0,1139878793801.5
INDUSINDBK,2024-04-25 06:00:00-04:00,30.3,30.11,-0.62,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSINDBK,2024-01-18 05:00:00-05:00,29.6,29.5,-0.32,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSINDBK,2023-10-18 06:00:00-04:00,28.35,28.04,-1.09,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSINDBK,2023-07-18 06:00:00-04:00,27.41,27.33,-0.27,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSINDBK,2023-04-24 04:00:00-04:00,29.12,26.31,-9.64,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSINDBK,2023-01-18 05:00:00-05:00,24.38,25.23,3.47,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSINDBK,2022-10-19 07:00:00-04:00,22.03,23.02,4.49,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSINDBK,2022-07-20 06:00:00-04:00,16.26,20.67,27.11,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSINDBK,2022-04-29 08:00:00-04:00,18.13,17.55,-3.22,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSINDBK,2022-01-29 04:00:00-05:00,17.78,14.97,-15.8,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSINDBK,2021-10-27 07:00:00-04:00,14.53,14.36,-1.16,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSINDBK,2021-07-27 07:00:00-04:00,11.69,12.58,7.59,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSINDBK,2021-04-30 09:00:00-04:00,12.22,11.43,-6.46,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSINDBK,2021-01-29 05:00:00-05:00,9.26,11.25,21.49,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSINDBK,2020-10-30 07:00:00-04:00,5.74,9.07,58.01,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
