Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Write Off,Impairment Of Capital Assets,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Depreciation Income Statement,Research And Development,Selling General And Administration,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
DRREDDY,2026-01-22 05:00:00-05:00,14.7,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRREDDY,2025-10-24 07:00:00-04:00,17.2,17.87,3.9,2025-09-30,92130000.0,0.222,23893000000.0,415000000.0,415000000.0,14372000000.0,5051000000.0,39911000000.0,24308000000.0,19257000000.0,5000000.0,907000000.0,912000000.0,14049130000.0,14372000000.0,70184000000.0,17513000000.0,,,,,14372000000.0,14372000000.0,14372000000.0,104000000.0,14268000000.0,14268000000.0,4082000000.0,18350000000.0,478000000.0,,-354000000.0,308000000.0,,662000000.0,63000000.0,769000000.0,5000000.0,,907000000.0,912000000.0,17867000000.0,30273000000.0,-2365000000.0,,,,,,6202000000.0,26436000000.0,,,,48140000000.0,39911000000.0,88051000000.0,88051000000.0,
DRREDDY,2025-07-23 07:00:00-04:00,20.45,17.02,-16.78,2025-06-30,320196800.0,0.2599,23410000000.0,1232000000.0,1232000000.0,14178000000.0,4765000000.0,34526000000.0,24642000000.0,19877000000.0,298000000.0,830000000.0,1128000000.0,13266196800.0,14178000000.0,68610000000.0,17475000000.0,833019976.0,832042254.0,17.02,17.04,14178000000.0,14178000000.0,14178000000.0,82000000.0,14096000000.0,14096000000.0,4951000000.0,19047000000.0,1907000000.0,673000000.0,-40000000.0,-40000000.0,,0.0,2000000.0,1272000000.0,298000000.0,,830000000.0,1128000000.0,16842000000.0,31785000000.0,-106000000.0,2466000000.0,2466000000.0,1858000000.0,1858000000.0,608000000.0,6244000000.0,23181000000.0,23181000000.0,13650000000.0,9531000000.0,48627000000.0,36825000000.0,85452000000.0,85452000000.0,1061030703142.5066
DRREDDY,2025-05-09 08:00:00-04:00,18.39,19.11,3.94,2025-03-31,572016854.492869,0.208537,22521000000.0,2743000000.0,2743000000.0,15938000000.0,4554000000.0,37797000000.0,25264000000.0,20710000000.0,-92000000.0,656000000.0,564000000.0,13767016854.492868,15938000000.0,67712000000.0,17647000000.0,,833315900.0,19.1,19.12,15938000000.0,15938000000.0,15938000000.0,66000000.0,15872000000.0,15872000000.0,4182000000.0,20054000000.0,2798000000.0,,299000000.0,1067000000.0,,768000000.0,55000000.0,2444000000.0,-92000000.0,,656000000.0,564000000.0,17348000000.0,29915000000.0,-1398000000.0,,,,,,7258000000.0,24055000000.0,,,,47263000000.0,37797000000.0,85060000000.0,85060000000.0,947471023218.0908
DRREDDY,2025-01-23 06:00:00-05:00,18.16,16.94,-6.72,2024-12-31,26606000.0,0.251,24173000000.0,106000000.0,106000000.0,14133000000.0,4719000000.0,34534000000.0,24279000000.0,19560000000.0,-114000000.0,818000000.0,704000000.0,14053606000.0,14133000000.0,64878000000.0,18720000000.0,834297521.0,833313679.0,16.94,16.96,14133000000.0,14133000000.0,14133000000.0,95000000.0,14038000000.0,14038000000.0,4704000000.0,18742000000.0,148000000.0,,12000000.0,8000000.0,,-4000000.0,42000000.0,94000000.0,-114000000.0,,818000000.0,704000000.0,18708000000.0,30344000000.0,-431000000.0,,,,,,6658000000.0,24117000000.0,,,,49052000000.0,34534000000.0,83586000000.0,83586000000.0,1149764039985.9438
DRREDDY,2024-11-05 05:00:00-05:00,17.58,15.83,-9.99,2024-09-30,345900000.0,0.3,22746000000.0,1153000000.0,1153000000.0,12553000000.0,3975000000.0,32393000000.0,23899000000.0,19924000000.0,-92000000.0,757000000.0,665000000.0,11745900000.0,12553000000.0,62117000000.0,17551000000.0,834086379.0,832979429.0,15.05,15.07,12553000000.0,12553000000.0,12553000000.0,-862000000.0,13415000000.0,13415000000.0,5752000000.0,19167000000.0,1214000000.0,,-494000000.0,430000000.0,,924000000.0,61000000.0,1647000000.0,-92000000.0,,757000000.0,665000000.0,18045000000.0,29724000000.0,-554000000.0,,,,,,7271000000.0,23007000000.0,,,,47769000000.0,32393000000.0,80162000000.0,80162000000.0,1117700074751.819
DRREDDY,2024-07-27 06:00:00-04:00,15.96,16.7,4.62,2024-06-30,,,,,,,,,,,,,,,,,,834032355.0,832535885.0,16.69,16.72,,,,,,,,,,371000000.0,,,5000000.0,,,,,-837000000.0,,,,,,1804000000.0,1804000000.0,1291000000.0,1291000000.0,513000000.0,,,20887000000.0,12273000000.0,8614000000.0,,,,,1053082791495.3352
DRREDDY,2024-05-07 06:00:00-04:00,14.08,15.54,10.36,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRREDDY,2024-01-30 05:00:00-05:00,15.66,16.64,6.26,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRREDDY,2023-10-27 05:00:00-04:00,14.85,17.81,19.9,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRREDDY,2023-07-26 12:00:00-04:00,12.8,16.85,31.66,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRREDDY,2023-05-10 08:00:00-04:00,11.75,12.0,2.16,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRREDDY,2023-01-25 06:00:00-05:00,11.82,14.99,26.86,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRREDDY,2022-10-28 14:00:00-04:00,8.82,13.38,51.6,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRREDDY,2022-07-28 14:00:00-04:00,8.2,14.28,74.15,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRREDDY,2022-05-19 03:00:00-04:00,7.5,4.24,-43.53,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRREDDY,2022-01-28 10:00:00-05:00,9.0,8.5,-5.63,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRREDDY,2021-10-29 04:00:00-04:00,8.24,11.93,44.76,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRREDDY,2021-07-27 01:00:00-04:00,8.04,6.87,-14.62,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRREDDY,2021-05-14 02:00:00-04:00,7.58,6.67,-12.01,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRREDDY,2021-01-29 01:00:00-05:00,8.51,0.74,-91.33,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRREDDY,2020-10-28 03:00:00-04:00,7.44,9.17,23.23,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRREDDY,2020-07-29 03:00:00-04:00,5.91,6.97,17.95,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRREDDY,2020-06-09 10:00:00-04:00,6.41,9.21,43.63,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRREDDY,2020-01-27 01:00:00-05:00,6.06,9.05,49.37,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
