Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Total Revenue,Operating Revenue,Market Cap
SBICARD,2026-01-27 05:00:00-05:00,6.6,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBICARD,2025-10-24 08:00:00-04:00,6.06,4.67,-22.94,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBICARD,2025-07-25 07:00:00-04:00,6.04,5.84,-3.38,2025-06-30,0.0,0.257096,5559600000.0,350300000.0,16803300000.0,8128200000.0,24931500000.0,5559600000.0,5559600000.0,951986301.0,951986301.0,5.84,5.84,5559600000.0,5559600000.0,5559600000.0,5559600000.0,5559600000.0,1924000000.0,7483600000.0,,19351700000.0,17387200000.0,350300000.0,350300000.0,40350800000.0,40350800000.0,907338120241.247
SBICARD,2025-04-24 09:00:00-04:00,4.64,5.61,20.89,2025-03-31,0.0,0.256529,5343100000.0,-16800000.0,16199200000.0,7952500000.0,24151700000.0,5343100000.0,5343100000.0,,,,,5343100000.0,5343100000.0,5343100000.0,5343100000.0,5343100000.0,1843600000.0,7186700000.0,,18768600000.0,-15649000000.0,-16800000.0,-588300000.0,32842600000.0,32842600000.0,
SBICARD,2025-01-28 07:00:00-05:00,4.31,4.03,-6.6,2024-12-31,0.0,0.259645,3832300000.0,487600000.0,15704600000.0,8286400000.0,23991000000.0,3832300000.0,3832300000.0,950942928.0,950942928.0,4.03,4.03,3832300000.0,3832300000.0,3832300000.0,3832300000.0,3832300000.0,1344000000.0,5176300000.0,,19635600000.0,17625200000.0,487600000.0,487600000.0,37943300000.0,37943300000.0,629402912750.0918
SBICARD,2024-10-29 05:00:00-04:00,6.05,4.25,-29.78,2024-09-30,0.0,0.258231,4044200000.0,503500000.0,15020600000.0,7876800000.0,22897400000.0,4044200000.0,4044200000.0,951576471.0,951576471.0,4.25,4.25,4044200000.0,4044200000.0,4044200000.0,4044200000.0,4044200000.0,1407900000.0,5452100000.0,-1300000.0,18630500000.0,16639300000.0,503500000.0,503500000.0,36203000000.0,36203000000.0,734041582750.9973
SBICARD,2024-07-26 09:00:00-04:00,6.58,6.25,-5.01,2024-06-30,0.0,0.256166,5944500000.0,493700000.0,14764700000.0,7668300000.0,22433000000.0,5944500000.0,5944500000.0,951120000.0,951120000.0,6.25,6.25,5944500000.0,5944500000.0,5944500000.0,5944500000.0,5944500000.0,2047200000.0,7991700000.0,1300000.0,16692200000.0,14857200000.0,493700000.0,493700000.0,35690200000.0,35690200000.0,687128528364.2578
SBICARD,2024-04-26 08:00:00-04:00,6.06,6.96,14.87,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBICARD,2024-01-25 07:00:00-05:00,6.14,5.78,-5.83,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBICARD,2023-10-27 08:00:00-04:00,6.15,6.35,3.32,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBICARD,2023-07-28 06:00:00-04:00,6.11,6.24,2.13,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBICARD,2023-04-28 08:00:00-04:00,5.88,6.28,6.74,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBICARD,2023-01-24 03:00:00-05:00,5.63,5.36,-4.8,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBICARD,2022-10-27 09:00:00-04:00,6.9,4.64,-32.75,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBICARD,2022-07-28 04:00:00-04:00,6.9,5.53,-19.86,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBICARD,2022-04-29 06:00:00-04:00,4.76,6.11,28.36,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBICARD,2022-01-24 06:00:00-05:00,4.8,4.07,-15.21,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBICARD,2021-10-28 05:00:00-04:00,4.67,3.63,-22.27,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBICARD,2021-07-23 06:00:00-04:00,3.21,3.21,-0.1,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBICARD,2021-04-26 06:00:00-04:00,3.32,1.85,-44.28,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBICARD,2021-01-21 07:00:00-05:00,2.6,2.21,-15.0,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
