Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
KPITTECH,2026-01-28 05:00:00-05:00,7.27,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPITTECH,2025-11-09 19:00:00-05:00,7.1,6.18,-12.98,2025-09-30,0.0,0.266641,3215220000.0,,,1690870000.0,747060000.0,9961790000.0,3215220000.0,2468160000.0,-162510000.0,162510000.0,,1690870000.0,1690870000.0,10708850000.0,273603560.0,271844051.0,6.18,6.22,1690870000.0,1690870000.0,0.0,1690870000.0,0.0,1690870000.0,1690870000.0,614780000.0,2305650000.0,-2328580000.0,,,-162510000.0,162510000.0,,5168260000.0,747060000.0,,747060000.0,747060000.0,5915320000.0,9961790000.0,15877110000.0,15877110000.0,298403201509.0647
KPITTECH,2025-07-30 04:00:00-04:00,7.23,6.28,-13.11,2025-06-30,0.0,0.271028,3107190000.0,,,1718990000.0,628810000.0,9964290000.0,3107190000.0,2478380000.0,-120280000.0,120280000.0,,1718990000.0,1718990000.0,12777360000.0,273724522.0,271992089.0,6.28,6.32,1718990000.0,1718990000.0,0.0,1718990000.0,0.0,1718990000.0,1718990000.0,639110000.0,2358100000.0,159600000.0,,,-120280000.0,120280000.0,,2610250000.0,2813070000.0,2184260000.0,628810000.0,628810000.0,5423320000.0,9964290000.0,15387610000.0,15387610000.0,340682575484.39746
KPITTECH,2025-04-28 03:00:00-04:00,7.37,8.94,21.32,2025-03-31,0.0,0.225982,3832860000.0,,,2447250000.0,579230000.0,8817590000.0,3832860000.0,3253630000.0,58080000.0,91880000.0,,2447250000.0,2447250000.0,12542970000.0,,,,,2447250000.0,2447250000.0,0.0,2447250000.0,0.0,2447250000.0,2447250000.0,714500000.0,3161750000.0,-447900000.0,,,58080000.0,91880000.0,,2740470000.0,3725380000.0,-3885450000.0,579230000.0,-320590000.0,6465850000.0,8817590000.0,15283440000.0,15283440000.0,
KPITTECH,2025-01-29 06:00:00-05:00,6.88,6.83,-0.67,2024-12-31,0.0,0.271248,3253120000.0,,,1869700000.0,584400000.0,9373540000.0,3253120000.0,2668720000.0,-103100000.0,103100000.0,,1869700000.0,1869700000.0,12241850000.0,273748170.0,271364296.0,6.83,6.89,1869700000.0,1869700000.0,0.0,1869700000.0,0.0,1869700000.0,1869700000.0,695920000.0,2565620000.0,150200000.0,,,-103100000.0,103100000.0,,2537730000.0,2868310000.0,2283910000.0,584400000.0,584400000.0,5406040000.0,9373540000.0,14779580000.0,14779580000.0,394824483637.7119
KPITTECH,2024-10-23 03:00:00-04:00,6.72,7.45,10.85,2024-09-30,111096080.78753,0.28034,3097300000.0,396290000.0,396290000.0,2037450000.0,560830000.0,9591160000.0,3493590000.0,2932760000.0,-101630000.0,101630000.0,,1752256080.78753,2037450000.0,10151990000.0,273483221.0,271298269.0,7.45,7.51,2037450000.0,2037450000.0,0.0,2037450000.0,0.0,2037450000.0,2037450000.0,793680000.0,2831130000.0,-1936160000.0,396290000.0,-396290000.0,-101630000.0,101630000.0,,4562140000.0,560830000.0,,560830000.0,560830000.0,5122970000.0,9591160000.0,14714130000.0,14714130000.0,438736857651.98975
KPITTECH,2024-07-24 03:00:00-04:00,6.37,7.47,17.18,2024-06-30,,,,1370000.0,1370000.0,,,,,,,,39560000.0,,,,273306560.0,271128818.0,7.47,7.53,,,,,,,,,,,,,,,39560000.0,,,1942120000.0,,,,,,,439095205848.1111
KPITTECH,2024-04-29 03:00:00-04:00,5.94,6.02,1.37,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPITTECH,2024-01-30 01:00:00-05:00,5.45,5.69,4.4,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPITTECH,2023-10-30 02:00:00-04:00,4.86,5.16,6.23,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPITTECH,2023-07-25 02:00:00-04:00,4.28,4.91,14.77,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPITTECH,2023-04-26 08:00:00-04:00,3.84,4.09,6.59,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPITTECH,2023-01-31 08:00:00-05:00,3.42,3.68,7.55,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPITTECH,2022-10-19 02:00:00-04:00,3.09,3.06,-0.84,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPITTECH,2022-07-26 04:00:00-04:00,2.98,3.13,4.89,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPITTECH,2022-04-27 02:00:00-04:00,2.75,2.89,4.94,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPITTECH,2022-02-01 01:00:00-05:00,2.49,2.56,2.81,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPITTECH,2021-11-01 06:00:00-04:00,2.1,2.39,13.81,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPITTECH,2021-07-26 06:00:00-04:00,2.0,2.21,10.5,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPITTECH,2021-04-28 07:00:00-04:00,1.63,1.72,5.31,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPITTECH,2021-01-28 05:00:00-05:00,1.1,1.6,45.21,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPITTECH,2020-10-21 07:00:00-04:00,0.97,0.94,-2.76,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPITTECH,2020-08-03 06:00:00-04:00,0.8,0.89,11.25,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPITTECH,2020-05-27 05:00:00-04:00,1.43,1.57,9.67,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPITTECH,2020-01-29 05:00:00-05:00,1.3,1.69,29.87,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
