Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,General And Administrative Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
PERSISTENT,2026-01-20 05:00:00-05:00,28.72,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSISTENT,2025-10-13 20:00:00-04:00,28.74,30.15,4.91,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSISTENT,2025-07-23 06:00:00-04:00,26.91,27.21,1.13,2025-06-30,0.0,0.234911,6662550000.0,4249360000.0,937840000.0,23057160000.0,6662550000.0,5724710000.0,-170640000.0,170640000.0,4249360000.0,4249360000.0,28157780000.0,156169055.0,154916515.0,27.21,27.43,4249360000.0,4249360000.0,0.0,4249360000.0,4249360000.0,4249360000.0,1304710000.0,5554070000.0,546620000.0,-170640000.0,170640000.0,5178090000.0,5100620000.0,4162780000.0,937840000.0,937840000.0,,,10278710000.0,23057160000.0,33335870000.0,33335870000.0,933411488432.046
PERSISTENT,2025-04-23 19:00:00-04:00,25.15,25.39,0.95,2025-03-31,0.0,0.216639,6027720000.0,3957600000.0,791020000.0,23173460000.0,6027720000.0,5236700000.0,371800000.0,184620000.0,3957600000.0,3957600000.0,28800470000.0,,,,,3957600000.0,3957600000.0,0.0,3957600000.0,3957600000.0,3957600000.0,1094480000.0,5052080000.0,-1089120000.0,371800000.0,184620000.0,3620650000.0,5627010000.0,-4821320000.0,791020000.0,-436280000.0,,,9247660000.0,23173460000.0,32421120000.0,32421120000.0,
PERSISTENT,2025-01-22 10:00:00-05:00,22.85,23.93,4.72,2024-12-31,0.0,0.226224,5804740000.0,3729900000.0,821150000.0,21970690000.0,5804740000.0,4983590000.0,-163200000.0,163200000.0,3729900000.0,3729900000.0,26065590000.0,155867112.0,153620264.0,23.93,24.28,3729900000.0,3729900000.0,0.0,3729900000.0,3729900000.0,3729900000.0,1090490000.0,4820390000.0,426340000.0,-163200000.0,163200000.0,4557250000.0,4094900000.0,3273750000.0,821150000.0,821150000.0,4331320000.0,4331320000.0,8652150000.0,21970690000.0,30622840000.0,30622840000.0,986099126021.0234
PERSISTENT,2024-10-22 06:00:00-04:00,19.96,20.98,5.11,2024-09-30,0.0,0.252055,5272490000.0,3249970000.0,744960000.0,21509000000.0,5272490000.0,4527530000.0,-182330000.0,182330000.0,3249970000.0,3249970000.0,24909180000.0,154908008.0,153372817.0,20.98,21.19,3249970000.0,3249970000.0,0.0,3249970000.0,3249970000.0,3249970000.0,1095230000.0,4345200000.0,465200000.0,-182330000.0,182330000.0,4062330000.0,3400180000.0,2655220000.0,744960000.0,744960000.0,4256330000.0,4256330000.0,7462510000.0,21509000000.0,28971510000.0,28971510000.0,830942469096.2637
PERSISTENT,2024-07-18 08:00:00-04:00,19.81,19.89,0.43,2024-06-30,0.0,0.234999,4858530000.0,3064150000.0,711970000.0,19951860000.0,4858530000.0,4146560000.0,-141140000.0,141140000.0,3064150000.0,3064150000.0,23531540000.0,154054801.0,152521155.0,19.89,20.09,3064150000.0,3064150000.0,0.0,3064150000.0,3064150000.0,3064150000.0,941270000.0,4005420000.0,306400000.0,-141140000.0,141140000.0,3840160000.0,3579680000.0,2867710000.0,711970000.0,711970000.0,4216820000.0,4216820000.0,7419840000.0,19951860000.0,27371700000.0,27371700000.0,641638923405.0293
PERSISTENT,2024-04-21 10:00:00-04:00,21.04,20.48,-2.68,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSISTENT,2024-01-20 05:00:00-05:00,18.01,18.6,3.28,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSISTENT,2023-10-18 09:00:00-04:00,16.85,17.11,1.52,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSISTENT,2023-07-20 06:00:00-04:00,17.9,14.88,-16.9,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSISTENT,2023-04-25 13:00:00-04:00,17.54,16.45,-6.18,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSISTENT,2023-01-18 08:00:00-05:00,15.96,17.0,6.49,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSISTENT,2022-10-19 06:00:00-04:00,14.06,14.4,2.39,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSISTENT,2022-07-21 14:00:00-04:00,13.5,13.85,2.52,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSISTENT,2022-04-27 07:00:00-04:00,11.98,13.15,9.77,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSISTENT,2022-01-20 09:00:00-05:00,11.05,11.54,4.43,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSISTENT,2021-10-26 09:00:00-04:00,10.07,10.58,5.01,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSISTENT,2021-07-22 10:00:00-04:00,9.27,9.9,6.73,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSISTENT,2021-04-29 09:00:00-04:00,8.1,9.02,11.3,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSISTENT,2021-01-28 12:00:00-05:00,7.46,7.91,5.97,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSISTENT,2020-10-23 15:00:00-04:00,6.21,6.67,7.33,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSISTENT,2020-07-25 13:00:00-04:00,4.61,5.89,27.69,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSISTENT,2020-05-05 13:00:00-04:00,5.33,5.49,2.92,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERSISTENT,2020-01-30 11:00:00-05:00,5.86,5.75,-1.85,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
