Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Operating Expense,Other Operating Expenses,Total Revenue,Operating Revenue,Market Cap
UNIONBANK,2026-01-27 05:00:00-05:00,5.01,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIONBANK,2025-10-30 03:00:00-04:00,5.19,5.57,7.32,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIONBANK,2025-07-19 04:00:00-04:00,5.8,5.39,-7.07,2025-06-30,0.0,0.214875,0.0,0.0,44279400000.0,92438400000.0,182310900000.0,274749300000.0,44279400000.0,44279400000.0,7634379310.0,7634379310.0,5.8,5.8,44279400000.0,44279400000.0,44279400000.0,0.0,44279400000.0,0.0,44279400000.0,11321100000.0,52686800000.0,0.0,76890100000.0,36571000000.0,141128400000.0,141128400000.0,1134218705062.148
UNIONBANK,2025-05-08 11:00:00-04:00,5.6,6.53,16.61,2025-03-31,4133937.938672,0.186853,22124000.0,22124000.0,50112108000.0,96241833000.0,182448117000.0,278689950000.0,50094117937.938675,50112108000.0,,,,,50112108000.0,50112108000.0,50112108000.0,0.0,50112188000.0,0.0,50112188000.0,11735400000.0,62805488000.0,22124000.0,80018764000.0,-2589419000.0,159414144000.0,159414144000.0,
UNIONBANK,2025-01-27 09:00:00-05:00,4.97,6.03,21.41,2024-12-31,0.0,0.219329,0.0,0.0,46230300000.0,93701800000.0,177645900000.0,271347700000.0,46230300000.0,46230300000.0,7628762376.0,7628762376.0,6.06,6.06,46230300000.0,46230300000.0,46230300000.0,0.0,46230300000.0,0.0,46230300000.0,12915700000.0,58887400000.0,0.0,65959900000.0,30423400000.0,139845900000.0,139845900000.0,888186540290.0586
UNIONBANK,2024-10-21 10:00:00-04:00,4.8,6.18,28.75,2024-09-30,0.0,0.262892,0.0,0.0,47509300000.0,91666400000.0,177199400000.0,268865800000.0,47509300000.0,47509300000.0,7638151125.0,7638151125.0,6.22,6.22,47509300000.0,47509300000.0,47509300000.0,0.0,47509300000.0,0.0,47509300000.0,16840600000.0,64058900000.0,0.0,61602000000.0,24822400000.0,150921800000.0,150921800000.0,907010516225.5496
UNIONBANK,2024-07-19 10:00:00-04:00,4.7,4.82,2.55,2024-06-30,0.0,0.273195,0.0,0.0,36417800000.0,95229500000.0,170039700000.0,265269200000.0,36417800000.0,36417800000.0,7634758910.0,7634758910.0,4.77,4.77,36417800000.0,36417800000.0,36417800000.0,0.0,36417800000.0,0.0,36417800000.0,13535400000.0,49544900000.0,0.0,76520800000.0,40350100000.0,143215000000.0,143215000000.0,983408229664.7656
UNIONBANK,2024-05-10 10:00:00-04:00,5.15,4.42,-14.17,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIONBANK,2024-01-20 03:00:00-05:00,4.6,4.84,5.22,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIONBANK,2023-10-27 09:00:00-04:00,4.45,5.06,13.71,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIONBANK,2023-07-20 10:00:00-04:00,3.4,4.74,39.41,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIONBANK,2023-05-06 04:00:00-04:00,3.15,4.07,29.21,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIONBANK,2023-01-20 02:00:00-05:00,3.1,3.28,5.81,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIONBANK,2022-10-20 04:00:00-04:00,2.55,2.7,5.88,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIONBANK,2022-07-26 03:00:00-04:00,1.0,2.28,128.0,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIONBANK,2022-05-13 03:00:00-04:00,2.15,2.11,-1.86,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIONBANK,2022-02-07 03:00:00-05:00,1.3,1.59,22.31,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIONBANK,2021-11-02 04:00:00-04:00,1.6,2.23,39.38,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIONBANK,2021-07-29 05:00:00-04:00,0.6,1.79,198.33,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIONBANK,2021-01-29 04:00:00-05:00,0.2,1.13,465.0,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIONBANK,2020-11-06 07:00:00-05:00,0.1,0.81,710.0,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIONBANK,2020-08-21 08:00:00-04:00,-6.2,0.52,108.39,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIONBANK,2020-06-23 10:00:00-04:00,1.4,-1.85,-231.98,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIONBANK,2020-02-10 05:00:00-05:00,0.3,2.46,720.0,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIONBANK,2019-11-14 06:00:00-05:00,1.2,-6.77,-664.17,2019-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
