Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
COLPAL,2026-02-04 05:00:00-05:00,12.4,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLPAL,2025-10-23 06:00:00-04:00,12.81,12.04,-6.02,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLPAL,2025-07-22 03:00:00-04:00,12.64,11.79,-6.76,2025-06-30,0.0,0.257738,4705100000.0,,,3206200000.0,375400000.0,4456300000.0,4705100000.0,4329700000.0,-10200000.0,10200000.0,,3206200000.0,3206200000.0,10056100000.0,271942324.0,271942324.0,11.79,11.79,3206200000.0,3206200000.0,0.0,3206200000.0,3206200000.0,3206200000.0,1113300000.0,4319500000.0,179400000.0,,,-10200000.0,10200000.0,,4150300000.0,5599800000.0,2292500000.0,375400000.0,375400000.0,1884100000.0,1884100000.0,9750100000.0,4456300000.0,14206400000.0,14206400000.0,647588286402.2129
COLPAL,2025-05-21 09:00:00-04:00,13.7,13.05,-4.74,2025-03-31,-436443.197521,0.256731,5172400000.0,-1700000.0,-1700000.0,3550000000.0,383700000.0,7466900000.0,5170700000.0,4787000000.0,722200000.0,10800000.0,733000000.0,3551263556.802479,3550000000.0,9896000000.0,,,,,3550000000.0,3550000000.0,0.0,3550000000.0,3550000000.0,3550000000.0,1226200000.0,4776200000.0,-546000000.0,-1700000.0,,722200000.0,10800000.0,733000000.0,4624200000.0,2429100000.0,-2552500000.0,383700000.0,383700000.0,3561600000.0,3477700000.0,7053300000.0,7466900000.0,14520200000.0,14520200000.0,
COLPAL,2025-01-28 05:00:00-05:00,12.25,11.87,-3.13,2024-12-31,0.0,0.253722,4747600000.0,0.0,0.0,3227800000.0,411300000.0,4398600000.0,4747600000.0,4336300000.0,-11100000.0,11100000.0,0.0,3227800000.0,3227800000.0,10389800000.0,271929233.0,271929233.0,11.87,11.87,3227800000.0,3227800000.0,0.0,3227800000.0,3227800000.0,3227800000.0,1097400000.0,4325200000.0,204000000.0,0.0,,-11100000.0,11100000.0,0.0,4132300000.0,5991200000.0,2586900000.0,411300000.0,411300000.0,2001000000.0,2001000000.0,10123500000.0,4398600000.0,14522100000.0,14522100000.0,713399637489.237
COLPAL,2024-10-24 03:00:00-04:00,14.64,14.52,-0.79,2024-09-30,0.0,0.255255,5733300000.0,0.0,0.0,3950500000.0,417300000.0,5093100000.0,5733300000.0,5316000000.0,553100000.0,11500000.0,564600000.0,3950500000.0,3950500000.0,11535900000.0,272073003.0,272073003.0,14.52,14.52,3950500000.0,3950500000.0,0.0,3950500000.0,3950500000.0,3950500000.0,1354000000.0,5304500000.0,195200000.0,0.0,,553100000.0,11500000.0,564600000.0,4556200000.0,6442800000.0,2513800000.0,417300000.0,417300000.0,2427200000.0,2427200000.0,10999000000.0,5093100000.0,16092100000.0,16092100000.0,1005094731360.7052
COLPAL,2024-07-29 08:00:00-04:00,12.22,13.38,9.48,2024-06-30,0.0,0.256045,5317400000.0,0.0,0.0,3639800000.0,415100000.0,4393300000.0,5317400000.0,4902300000.0,-9800000.0,9800000.0,,3639800000.0,3639800000.0,10189300000.0,272032885.0,272032885.0,13.38,13.38,3639800000.0,3639800000.0,0.0,3639800000.0,3639800000.0,3639800000.0,1252700000.0,4892500000.0,234000000.0,0.0,0.0,-9800000.0,9800000.0,,4668300000.0,5796000000.0,2376400000.0,415100000.0,415100000.0,1990700000.0,1990700000.0,10464300000.0,4393300000.0,14857600000.0,14857600000.0,751008942807.2363
COLPAL,2024-05-14 09:00:00-04:00,13.68,13.96,2.04,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLPAL,2024-01-22 04:00:00-05:00,10.86,12.14,11.74,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLPAL,2023-10-26 06:00:00-04:00,11.89,12.5,5.13,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLPAL,2023-07-26 09:00:00-04:00,9.65,10.59,9.78,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLPAL,2023-05-12 07:00:00-04:00,9.36,11.68,24.81,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLPAL,2023-01-24 03:00:00-05:00,9.8,8.94,-8.82,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLPAL,2022-10-20 04:00:00-04:00,9.85,10.22,3.81,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLPAL,2022-07-27 04:00:00-04:00,9.3,7.97,-14.35,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLPAL,2022-05-26 02:00:00-04:00,9.14,11.9,30.22,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLPAL,2022-01-27 03:00:00-05:00,9.25,9.28,0.32,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLPAL,2021-10-25 04:00:00-04:00,10.67,9.9,-7.24,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLPAL,2021-07-29 02:00:00-04:00,8.81,8.58,-2.62,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLPAL,2021-05-17 03:00:00-04:00,9.17,11.57,26.22,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLPAL,2021-01-28 02:00:00-05:00,8.83,9.13,3.43,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLPAL,2020-10-21 05:00:00-04:00,9.13,10.08,10.38,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLPAL,2020-07-29 03:00:00-04:00,5.88,7.29,23.93,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLPAL,2020-05-21 04:00:00-04:00,7.89,7.51,-4.77,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLPAL,2020-01-30 03:00:00-05:00,7.89,7.32,-7.24,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
