Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
AMBUJACEM,2026-01-28 05:00:00-05:00,3.78,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBUJACEM,2025-11-03 02:00:00-05:00,2.23,8.05,261.9,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBUJACEM,2025-07-31 04:00:00-04:00,49.9,3.47,-93.05,2025-06-30,108948470.318093,0.272371,22213400000.0,400000000.0,400000000.0,7878800000.0,8615700000.0,15244600000.0,22613400000.0,13997700000.0,-671400000.0,671400000.0,7587748470.318093,7878800000.0,91445900000.0,2462125000.0,2462125000.0,3.2,3.2,7878800000.0,7878800000.0,0.0,7878800000.0,-1817800000.0,9696600000.0,9696600000.0,3629700000.0,13326300000.0,2560900000.0,400000000.0,-400000000.0,0.0,-671400000.0,671400000.0,10995200000.0,76201300000.0,39632500000.0,8615700000.0,8615700000.0,24225300000.0,24225300000.0,87196500000.0,15244600000.0,102441100000.0,102441100000.0,1421754111305.2368
AMBUJACEM,2025-04-29 05:00:00-04:00,3.78,3.77,-0.26,2025-03-31,878713432.533885,0.279462,22657700000.0,3144300000.0,3144300000.0,9562800000.0,7863500000.0,37796900000.0,25802000000.0,17938500000.0,24196200000.0,142900000.0,7297213432.533885,9562800000.0,83793300000.0,,,,,9562800000.0,9562800000.0,0.0,9562800000.0,-3259600000.0,12822400000.0,12822400000.0,4973200000.0,17795600000.0,-20403500000.0,1705200000.0,-3778000000.0,,24196200000.0,142900000.0,10878300000.0,45996400000.0,8313700000.0,7863500000.0,3288500000.0,29058200000.0,27091900000.0,56874700000.0,37796900000.0,94671600000.0,94671600000.0,
AMBUJACEM,2025-01-29 02:00:00-05:00,2.36,7.14,202.54,2024-12-31,0.0,0.3,30670400000.0,0.0,0.0,21153300000.0,6639800000.0,17861200000.0,30670400000.0,24030600000.0,-669900000.0,669900000.0,21153300000.0,21153300000.0,73674400000.0,2462549476.0,2462549476.0,8.59,8.59,21153300000.0,21153300000.0,0.0,21153300000.0,-5047600000.0,26200900000.0,26200900000.0,-2840200000.0,23360700000.0,13522400000.0,0.0,,,-669900000.0,669900000.0,10478700000.0,55813200000.0,34045100000.0,6639800000.0,6639800000.0,20437500000.0,20437500000.0,66291900000.0,17861200000.0,84153100000.0,84153100000.0,1314621606797.4124
AMBUJACEM,2024-10-28 03:00:00-04:00,1.8,2.03,12.78,2024-09-30,-519918029.482511,0.332854,14876800000.0,-1562000000.0,-1562000000.0,4795300000.0,5204600000.0,14224300000.0,13314800000.0,8110200000.0,-668500000.0,668500000.0,5837381970.517489,4795300000.0,67138000000.0,2459128205.0,2459128205.0,1.95,1.95,4795300000.0,4795300000.0,0.0,4795300000.0,-169300000.0,4964600000.0,4964700000.0,2477000000.0,7441700000.0,3740300000.0,-1562000000.0,,,-668500000.0,668500000.0,5909700000.0,52913700000.0,28448100000.0,5204600000.0,5204600000.0,18252000000.0,18252000000.0,58823400000.0,14224300000.0,73047700000.0,73047700000.0,1549847990288.165
AMBUJACEM,2024-07-31 02:00:00-04:00,2.6,2.38,-8.49,2024-06-30,0.0,0.284153,16379200000.0,0.0,0.0,6398600000.0,4760500000.0,14727200000.0,16379200000.0,11618700000.0,-678100000.0,678100000.0,6398600000.0,6398600000.0,74883400000.0,2442213740.0,2414566038.0,2.62,2.65,6398600000.0,6398600000.0,0.0,6398600000.0,-1433200000.0,7831800000.0,7831800000.0,3108800000.0,10940600000.0,3547200000.0,0.0,,0.0,-678100000.0,678100000.0,8037600000.0,60156200000.0,32264000000.0,4760500000.0,4760500000.0,20961200000.0,20961200000.0,68193800000.0,14727200000.0,82921000000.0,82921000000.0,1612460139562.2725
AMBUJACEM,2024-05-01 03:00:00-04:00,2.7,2.48,-8.29,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBUJACEM,2024-01-31 02:00:00-05:00,3.38,2.41,-28.77,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBUJACEM,2023-11-01 03:00:00-04:00,2.88,3.03,5.09,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBUJACEM,2023-08-02 02:00:00-04:00,3.02,3.07,1.66,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBUJACEM,2023-05-02 06:00:00-04:00,2.5,3.54,41.53,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBUJACEM,2023-02-07 04:00:00-05:00,1.74,1.94,11.49,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBUJACEM,2022-10-21 04:00:00-04:00,1.2,0.76,-36.82,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBUJACEM,2022-07-19 07:00:00-04:00,2.97,5.28,77.78,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBUJACEM,2022-04-28 08:00:00-04:00,2.41,2.49,3.41,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBUJACEM,2022-02-17 08:00:00-05:00,4.96,1.82,-63.36,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBUJACEM,2021-10-26 07:00:00-04:00,2.74,2.22,-18.83,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBUJACEM,2021-07-23 08:00:00-04:00,3.22,4.41,37.11,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBUJACEM,2021-04-29 07:00:00-04:00,2.51,3.35,33.57,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBUJACEM,2021-02-18 07:00:00-05:00,2.42,2.5,3.41,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBUJACEM,2020-10-22 07:00:00-04:00,2.02,3.13,54.95,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
