Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
SIEMENS,2026-02-04 05:00:00-05:00,,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIEMENS,2025-11-14 05:00:00-05:00,14.42,13.63,-5.48,2025-09-30,0.0,0.268315,7396000000.0,0.0,0.0,4849000000.0,717000000.0,36528000000.0,7396000000.0,6679000000.0,-45000000.0,45000000.0,4849000000.0,4849000000.0,46257000000.0,,,,,4849000000.0,4849000000.0,0.0,4849000000.0,-5000000.0,4854000000.0,0.0,4854000000.0,1780000000.0,6634000000.0,1224000000.0,0.0,0.0,-45000000.0,45000000.0,5455000000.0,9729000000.0,4563000000.0,717000000.0,717000000.0,15184000000.0,36528000000.0,51712000000.0,51712000000.0,
SIEMENS,2025-08-08 11:00:00-04:00,12.64,11.89,-5.93,2025-06-30,14109745.390694,0.256541,6400000000.0,55000000.0,55000000.0,4229000000.0,711000000.0,30349000000.0,6455000000.0,5744000000.0,-49000000.0,49000000.0,4188109745.390694,4229000000.0,38965000000.0,355677040.0,355677040.0,11.89,11.89,4229000000.0,4229000000.0,0.0,4229000000.0,-5000000.0,4234000000.0,0.0,4234000000.0,1461000000.0,5695000000.0,1186000000.0,55000000.0,-55000000.0,-49000000.0,49000000.0,4503000000.0,8616000000.0,3726000000.0,711000000.0,711000000.0,13119000000.0,30349000000.0,43468000000.0,43468000000.0,1156483895560.0
SIEMENS,2025-05-12 20:00:00-04:00,18.73,16.36,-12.64,2025-03-31,0.0,0.255793,6190000000.0,0.0,0.0,4074000000.0,686000000.0,29608000000.0,6190000000.0,5504000000.0,-23000000.0,23000000.0,4074000000.0,5820000000.0,38601000000.0,355745721.0,355745721.0,16.36,16.36,5820000000.0,5820000000.0,0.0,5820000000.0,-5000000.0,5825000000.0,1746000000.0,4079000000.0,1402000000.0,5481000000.0,1515000000.0,0.0,,-23000000.0,23000000.0,3989000000.0,8993000000.0,4064000000.0,686000000.0,686000000.0,12982000000.0,29608000000.0,42590000000.0,42590000000.0,1101612048663.4343
SIEMENS,2025-02-12 03:00:00-05:00,17.41,10.45,-39.98,2024-12-31,0.0,0.257137,5732000000.0,0.0,0.0,3718000000.0,689000000.0,24209000000.0,5732000000.0,5043000000.0,-34000000.0,34000000.0,3718000000.0,6143000000.0,32552000000.0,355909618.0,355909618.0,17.26,17.26,6143000000.0,6143000000.0,0.0,6143000000.0,-3000000.0,6146000000.0,2425000000.0,3721000000.0,1288000000.0,5009000000.0,1723000000.0,0.0,,-34000000.0,34000000.0,3320000000.0,8343000000.0,3601000000.0,689000000.0,689000000.0,11663000000.0,24209000000.0,35872000000.0,35872000000.0,1360710766723.3137
SIEMENS,2024-11-26 07:00:00-05:00,20.68,23.35,12.92,2024-09-30,254220209.80902,0.25473,11222000000.0,998000000.0,998000000.0,8308000000.0,862000000.0,43701000000.0,12220000000.0,11358000000.0,5719000000.0,205000000.0,7564220209.80902,8308000000.0,55326000000.0,,,,,8308000000.0,8308000000.0,0.0,8308000000.0,-4000000.0,8312000000.0,,8312000000.0,2841000000.0,11153000000.0,-3887000000.0,765000000.0,-657000000.0,5719000000.0,205000000.0,8410000000.0,11625000000.0,-2037000000.0,862000000.0,206000000.0,20035000000.0,43701000000.0,63736000000.0,63736000000.0,
SIEMENS,2024-08-09 11:00:00-04:00,15.0,14.9,-0.67,2024-06-30,,,,,,,,,,,,,,,,355726601.0,355726601.0,16.24,16.24,,,,,,,1411000000.0,,,,,,-28000000.0,,,,,,,,,,,,1603140462496.606
SIEMENS,2024-05-14 06:00:00-04:00,15.4,25.18,63.51,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIEMENS,2024-02-13 03:00:00-05:00,13.26,14.21,7.13,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIEMENS,2023-11-28 07:00:00-05:00,14.56,16.05,10.26,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIEMENS,2023-08-08 10:00:00-04:00,12.5,11.9,-4.8,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIEMENS,2023-05-11 06:00:00-04:00,11.08,13.26,19.65,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIEMENS,2023-02-14 07:00:00-05:00,9.18,12.99,41.58,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIEMENS,2022-11-22 09:00:00-05:00,12.6,10.72,-14.9,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIEMENS,2022-08-02 12:00:00-04:00,8.4,8.3,-1.19,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIEMENS,2022-05-12 09:00:00-04:00,9.2,9.23,0.33,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIEMENS,2022-02-04 05:00:00-05:00,8.3,5.92,-28.67,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIEMENS,2021-11-24 07:00:00-05:00,10.95,9.07,-17.17,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIEMENS,2021-08-10 12:00:00-04:00,7.15,4.54,-36.5,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIEMENS,2021-05-11 06:00:00-04:00,15.4,8.87,-42.4,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
