Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Total Revenue,Operating Revenue,Market Cap
LICHSGFIN,2026-01-30 05:00:00-05:00,24.88,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LICHSGFIN,2025-10-29 10:00:00-04:00,27.44,24.61,-10.31,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LICHSGFIN,2025-08-01 10:00:00-04:00,26.11,24.72,-5.32,2025-06-30,0.0,0.199812,13638900000.0,249000000.0,20756700000.0,50460100000.0,71216800000.0,13638900000.0,13638900000.0,549955645.0,549955645.0,24.8,24.8,13638900000.0,13638900000.0,13638900000.0,-1100000.0,13640000000.0,13640000000.0,3406000000.0,17046000000.0,275100000.0,2922100000.0,917100000.0,249000000.0,249000000.0,21894000000.0,21894000000.0,334450268972.69196
LICHSGFIN,2025-05-15 09:00:00-04:00,25.43,24.87,-2.19,2025-03-31,0.0,0.228325,13733800000.0,264100000.0,21744800000.0,49500200000.0,71245000000.0,13733800000.0,13733800000.0,,,,,13733800000.0,13733800000.0,13733800000.0,-2400000.0,13736200000.0,13736200000.0,4064300000.0,17800500000.0,218300000.0,3957200000.0,955600000.0,264100000.0,264100000.0,20315100000.0,20315100000.0,
LICHSGFIN,2025-01-31 08:00:00-05:00,23.94,26.03,8.71,2024-12-31,0.0,0.20209,14348400000.0,249200000.0,20078200000.0,49504100000.0,69582300000.0,14348400000.0,14348400000.0,549957838.0,549957838.0,26.09,26.09,14348400000.0,14348400000.0,14348400000.0,-500000.0,14348900000.0,14348900000.0,3634200000.0,17983100000.0,204200000.0,3422700000.0,997000000.0,249200000.0,249200000.0,20960800000.0,20960800000.0,323210429506.52795
LICHSGFIN,2024-10-28 05:00:00-04:00,22.8,24.16,5.98,2024-09-30,0.0,0.202543,13277100000.0,239400000.0,19813500000.0,48786100000.0,68599600000.0,13277100000.0,13277100000.0,550004143.0,550004143.0,24.14,24.14,13277100000.0,13277100000.0,13277100000.0,-800000.0,13277900000.0,13277900000.0,3372400000.0,16650300000.0,115800000.0,2950900000.0,886600000.0,239400000.0,239400000.0,20361300000.0,20361300000.0,358044976087.5746
LICHSGFIN,2024-08-02 09:00:00-04:00,23.51,23.64,0.54,2024-06-30,0.0,0.201208,13063000000.0,225000000.0,19973700000.0,47493200000.0,67466900000.0,13063000000.0,13063000000.0,550021053.0,550021053.0,23.75,23.75,13063000000.0,13063000000.0,13063000000.0,-1000000.0,13064000000.0,13064000000.0,3290700000.0,16354700000.0,273200000.0,2548100000.0,712600000.0,225000000.0,225000000.0,20311000000.0,20311000000.0,424992042446.47375
LICHSGFIN,2024-05-15 10:00:00-04:00,21.62,19.83,-8.3,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LICHSGFIN,2024-02-02 10:00:00-05:00,19.53,21.14,8.25,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LICHSGFIN,2023-11-01 09:00:00-04:00,21.26,21.6,1.58,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LICHSGFIN,2023-08-03 09:00:00-04:00,20.4,24.06,17.93,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LICHSGFIN,2023-05-16 10:00:00-04:00,15.97,21.46,34.4,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LICHSGFIN,2023-02-06 06:00:00-05:00,15.3,8.73,-42.94,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LICHSGFIN,2022-11-01 06:00:00-04:00,17.02,5.54,-67.44,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LICHSGFIN,2022-08-04 06:00:00-04:00,16.19,16.82,3.9,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LICHSGFIN,2022-05-18 07:00:00-04:00,16.33,21.1,29.23,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LICHSGFIN,2022-01-27 08:00:00-05:00,12.01,13.95,16.13,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LICHSGFIN,2021-10-21 09:00:00-04:00,11.42,4.51,-60.51,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LICHSGFIN,2021-07-29 04:00:00-04:00,14.23,3.04,-78.64,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LICHSGFIN,2021-06-15 06:00:00-04:00,11.2,7.9,-29.46,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LICHSGFIN,2021-01-29 03:00:00-05:00,12.11,14.41,19.02,2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LICHSGFIN,2020-11-11 05:00:00-05:00,13.85,15.67,13.11,2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LICHSGFIN,2020-08-24 08:00:00-04:00,10.08,16.2,60.66,2020-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LICHSGFIN,2020-06-19 07:00:00-04:00,11.72,8.35,-28.77,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LICHSGFIN,2020-01-30 04:00:00-05:00,13.4,11.84,-11.64,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
