Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
SUZLON,2026-01-28 05:00:00-05:00,0.35,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUZLON,2025-11-03 19:00:00-05:00,0.25,0.93,272.0,2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUZLON,2025-08-13 01:00:00-04:00,0.27,0.24,-11.11,2025-06-30,0.0,0.293774,6325400000.0,0.0,0.0,3243200000.0,702400000.0,19136800000.0,6325400000.0,5623000000.0,-1030700000.0,1030700000.0,3243200000.0,3243200000.0,25847000000.0,13513333333.0,13513333333.0,0.24,0.24,3243200000.0,3243200000.0,0.0,3243200000.0,0.0,3243200000.0,,3243200000.0,1349100000.0,4592300000.0,334700000.0,0.0,-1030700000.0,1030700000.0,5326300000.0,6710200000.0,3611500000.0,702400000.0,702400000.0,12036500000.0,19136800000.0,31173300000.0,31173300000.0,915122949806.5282
SUZLON,2025-05-29 06:00:00-04:00,0.29,0.86,196.55,2025-03-31,-194580000.0,0.3,6444500000.0,-648600000.0,-648600000.0,11822200000.0,927500000.0,27355200000.0,5795900000.0,4868400000.0,182600000.0,-644000000.0,12276220000.0,11822200000.0,30654200000.0,,,,,11822200000.0,11822200000.0,0.0,11822200000.0,12400000.0,11809800000.0,,11809800000.0,-6297400000.0,5512400000.0,-532700000.0,-652700000.0,182600000.0,-644000000.0,6201700000.0,3299000000.0,-3458500000.0,927500000.0,253500000.0,9500700000.0,27355200000.0,36855900000.0,37735400000.0,
SUZLON,2025-01-28 06:00:00-05:00,0.2,0.28,40.0,2024-12-31,0.0,0.009123,5270400000.0,0.0,0.0,3869200000.0,661800000.0,18855700000.0,5270400000.0,4608600000.0,-695300000.0,695300000.0,3869200000.0,3869200000.0,25303900000.0,13818571429.0,13818571429.0,0.28,0.28,3869200000.0,3869200000.0,0.0,3869200000.0,-8400000.0,3877600000.0,,3877600000.0,35700000.0,3913300000.0,275300000.0,0.0,-695300000.0,695300000.0,4384200000.0,6448200000.0,3192200000.0,661800000.0,661800000.0,10832400000.0,18855700000.0,29688100000.0,29688100000.0,859791531180.7533
SUZLON,2024-10-28 07:00:00-04:00,0.21,0.15,-28.57,2024-09-30,0.0,0.004862,3120300000.0,0.0,0.0,2002000000.0,544200000.0,13039800000.0,3120300000.0,2576100000.0,-560300000.0,560300000.0,2002000000.0,2002000000.0,18550300000.0,13346666667.0,13346666667.0,0.15,0.15,2002000000.0,2002000000.0,0.0,2002000000.0,-4000000.0,2006000000.0,,2006000000.0,9800000.0,2015800000.0,178500000.0,0.0,-560300000.0,560300000.0,2379600000.0,5510500000.0,2650800000.0,544200000.0,544200000.0,7890100000.0,13039800000.0,20929900000.0,20929900000.0,1068400707424.1444
SUZLON,2024-07-22 11:00:00-04:00,0.23,0.22,-4.35,2024-06-30,0.0,0.000628,3928400000.0,0.0,0.0,3022900000.0,458400000.0,12522800000.0,3928400000.0,3470000000.0,-445200000.0,445200000.0,3022900000.0,3022900000.0,16944700000.0,13740454545.0,13740454545.0,0.22,0.22,3022900000.0,3022900000.0,0.0,3022900000.0,0.0,3022900000.0,0.0,3022900000.0,1900000.0,3024800000.0,227600000.0,0.0,-445200000.0,445200000.0,3215100000.0,4421900000.0,2060900000.0,458400000.0,458400000.0,7637000000.0,12522800000.0,20159800000.0,20159800000.0,726320435635.2079
SUZLON,2024-05-24 05:00:00-04:00,0.24,0.19,-20.83,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUZLON,2023-11-02 05:00:00-04:00,0.1,0.08,-20.0,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUZLON,2017-11-10 07:00:00-05:00,-0.2,-0.47,-132.6,2017-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
