Symbol,Earnings Date,EPS Estimate,Reported EPS,Surprise(%),Quarter End,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Market Cap
IRCTC,2026-02-10 05:00:00-05:00,,,,2025-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRCTC,2025-11-12 09:00:00-05:00,4.3,4.22,-1.96,2025-09-30,14624441.184653,0.251933,4557914000.0,58049000.0,58049000.0,3420243000.0,7090216000.0,4615963000.0,4615963000.0,-43857000.0,43857000.0,3376818441.184653,3420243000.0,7531831000.0,799122196.0,799122196.0,4.28,4.28,3420243000.0,3420243000.0,0.0,3420243000.0,3420243000.0,3420243000.0,1151863000.0,4572106000.0,629844000.0,58049000.0,-58049000.0,-43857000.0,43857000.0,3928070000.0,441615000.0,441615000.0,4369685000.0,7090216000.0,11459901000.0,11459901000.0,555724373296.2922
IRCTC,2025-08-13 07:00:00-04:00,4.2,4.13,-1.67,2025-06-30,0.0,0.252029,4465892000.0,0.0,0.0,3307034000.0,7328019000.0,4465892000.0,4465892000.0,-44551000.0,44551000.0,3307034000.0,3307034000.0,7742801000.0,800734625.0,800734625.0,4.13,4.13,3307034000.0,3307034000.0,0.0,3307034000.0,3307034000.0,3307034000.0,1114307000.0,4421341000.0,611883000.0,0.0,,-44551000.0,44551000.0,3854009000.0,414782000.0,414782000.0,4268791000.0,7328019000.0,11596810000.0,11596810000.0,620467141009.468
IRCTC,2025-05-28 09:00:00-04:00,4.23,4.04,-4.57,2025-03-31,94224163.248333,0.241532,4410673000.0,390110000.0,390110000.0,3582290000.0,8045151000.0,4800783000.0,4800783000.0,1588797000.0,77721000.0,3286404163.248333,3582290000.0,8872859000.0,,,,,3582290000.0,3582290000.0,0.0,3582290000.0,3582290000.0,3582290000.0,1140772000.0,4723062000.0,-1063318000.0,390110000.0,,1588797000.0,77721000.0,3807472000.0,827708000.0,-562303000.0,4635180000.0,8045151000.0,12680331000.0,12680331000.0,
IRCTC,2025-02-11 05:00:00-05:00,4.17,4.27,2.48,2024-12-31,0.0,0.252899,4597659000.0,0.0,0.0,3410894000.0,7736270000.0,4597659000.0,4597659000.0,-32155000.0,32155000.0,3410894000.0,3410894000.0,8214361000.0,800679343.0,800679343.0,4.26,4.26,3410894000.0,3410894000.0,0.0,3410894000.0,3410894000.0,3410894000.0,1154610000.0,4565504000.0,565461000.0,0.0,,-32155000.0,32155000.0,4032198000.0,478091000.0,478091000.0,4510289000.0,7736270000.0,12246559000.0,12246559000.0,622138063255.0605
IRCTC,2024-11-04 07:00:00-05:00,4.0,3.85,-3.75,2024-09-30,0.0,0.260966,4196574000.0,0.0,0.0,3078653000.0,6502388000.0,4196574000.0,4196574000.0,-30794000.0,30794000.0,3078653000.0,3078653000.0,7043049000.0,799650130.0,799650130.0,3.85,3.85,3078653000.0,3078653000.0,0.0,3078653000.0,3078653000.0,3078653000.0,1087127000.0,4165780000.0,599662000.0,0.0,,-30794000.0,30794000.0,3596912000.0,540661000.0,540661000.0,4137573000.0,6502388000.0,10639961000.0,10639961000.0,729526026162.1033
IRCTC,2024-08-13 05:00:00-04:00,3.83,3.83,-0.1,2024-06-30,,,,,,,,,,,,,,,799269091.0,799269091.0,3.85,3.85,,,,,,,,,,,,,,,,,,,,,773537446080.9689
IRCTC,2024-05-28 09:00:00-04:00,3.9,3.63,-6.99,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRCTC,2024-02-13 09:00:00-05:00,3.87,3.88,0.45,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRCTC,2023-11-07 05:00:00-05:00,3.85,3.68,-4.42,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRCTC,2023-08-09 06:00:00-04:00,3.3,3.38,2.48,2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRCTC,2023-05-29 11:00:00-04:00,3.2,3.24,1.25,2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRCTC,2023-02-09 03:00:00-05:00,2.97,3.18,7.24,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRCTC,2022-11-14 06:00:00-05:00,3.25,2.82,-13.23,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRCTC,2022-08-10 06:00:00-04:00,2.83,3.07,8.35,2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRCTC,2022-05-30 08:00:00-04:00,2.43,2.71,11.28,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRCTC,2022-02-08 05:00:00-05:00,9.23,2.61,-71.73,2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRCTC,2021-11-01 03:00:00-04:00,4.27,1.98,-53.58,2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRCTC,2021-08-12 04:00:00-04:00,1.33,1.03,-22.21,2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRCTC,2021-06-29 06:00:00-04:00,1.67,1.34,-19.98,2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
